and	in
settlement	poravnave
settlement	poravnava
agreement	sporazum
agreement	dogovor
translation	prevajanje
translation	prevod
males	samci
kansas	kansas
managed	uspela
managed	uspelo
bring	prinesi
fails	spodleti
dedicated	namenski
dedicated	namenske
dedicated	posvečena
dedicated	predan
dedicated	posvečeno
estate	posest
estate	posestvo
nearby	bližnje
residents	stanovalci
residents	prebivalcev
residents	prebivalci
piece	kos
piece	delček
piece	košček
piece	kosa
growth	rast
growth	rasti
trust	zaupanje
trust	zaupanja
drums	bobni
issued	izdana
issued	izdani
issued	izdano
issued	izdane
murder	umor
normal	normalno
normal	običajno
normal	normalen
normal	normalna
normal	običajna
twenty	twenty
twenty	dvajset
tony	tony
norwegian	norveško
norwegian	norveške
norwegian	norveška
norwegian	norveški
criteria	merilo
criteria	kriteriji
criteria	merila
context	kontekst
context	konteksta
suggested	predlagane
suggested	predlagan
suggested	predlagano
suggested	predlagani
suggested	predlagana
revolution	revolucijo
revolution	revolucije
revolution	revolucija
wars	vojne
wars	vojn
aug	avg
leaves	listje
leaves	listi
leaves	listov
advanced	napredno
advanced	napredna
advanced	napredni
advanced	napreden
distribution	razdelitev
distribution	porazdelitev
distribution	distribucija
distribution	razdeljevanje
distribution	razporeditev
medicine	zdravilo
medicine	medicino
medicine	medicina
garden	garden
garden	vrt
reach	doseg
reach	reach
reach	doseči
turkey	turčija
females	samice
publications	publikacije
impact	učinek
impact	trk
impact	vpliv
households	gospodinjstva
survey	anketa
survey	anketo
survey	raziskava
height	višina
height	višine
morning	dopoldne
morning	jutranja
morning	jutro
honor	častno
honor	časti
honor	čast
honor	častna
deep	globoka
deep	globoko
deep	globok
argument	utemeljitev
argument	argument
publication	objava
publication	objavo
publication	objavljanje
arthur	arthur
arthur	arthurja
arthur	artur
elizabeth	elizabeta
elizabeth	elizabeth
disambiguation	razločitev
worth	vreden
worth	vredna
worth	vredno
worth	vredne
colorado	koloradu
colorado	kolorado
colorado	colorado
median	mediana
maryland	marylandu
falls	slapovi
falls	falls
falls	pade
falls	padci
zone	cona
zone	območje
solo	solo
learning	učenje
pay	plača
pay	plačilo
choice	izbira
vol	vol
flag	označitev
flag	zastava
flag	zastavo
flag	zastave
engineer	inženir
cars	avte
cars	avtomobili
cars	avti
cars	avtomobile
farm	farma
farm	kmetiji
farm	kmetija
wilson	wilson
principal	ravnatelj
principal	ravnateljica
principal	glavnica
acquired	pridobljena
acquired	pridobljen
acquired	pridobljene
acquired	pridobljeno
constructed	konstruirana
constructed	zgrajeno
secret	skrivna
secret	skrivnost
secret	skrivno
poet	pesnik
poet	pesnika
poet	pesnica
build	zgradi
build	zgraditi
build	zgradil
orchestra	orkester
versions	različice
fixed	popravljeno
fixed	fiksno
fixed	popravil
fixed	fiksna
efforts	napori
efforts	prizadevanja
documentary	dokumentarec
equipment	opremo
equipment	oprema
ray	ray
yellow	rumena
yellow	rumeni
yellow	rumene
yellow	rumen
yellow	rumeno
guard	stražar
guard	straža
guard	čuvaj
guard	garda
pressure	pritisk
pressure	tlak
grant	grant
prison	zapora
prison	zapor
freedom	svoboda
freedom	prostost
freedom	svobode
freedom	svobodo
norway	norveško
norway	norveška
store	prodajalna
store	trgovina
taylor	taylor
taylor	taylorja
quarter	četrt
quarter	četrtina
designated	določen
designated	določena
independence	samostojnost
independence	neodvisnost
platform	ploščad
platform	platforma
platform	platformo
rome	rimu
rome	rim
rome	rima
teacher	učiteljica
teacher	učitelj
copy	kopiranje
copy	kopiraj
copy	kopijo
effort	prizadevanja
effort	napora
effort	napor
effort	trud
effort	prizadevanje
nuclear	jedrska
nuclear	jedrski
pictures	slike
pictures	slik
models	modeli
models	modelov
sep	sept
everyone	vsi
description	opis
description	poimenovanje
agreed	dogovorjena
agreed	dogovorjeni
agreed	dogovorjeno
institutions	institucije
institutions	nosilci
institutions	ustanove
covers	zajema
covers	prevleke
covers	pokrovi
facilities	objekti
target	tarča
target	ciljna
stack	kup
rationale	utemeljitev
combined	kombinirano
combined	kombinirana
bronze	bron
hosted	gostil
hosted	gostila
programming	programiranje
railroad	železnico
railroad	železnice
railroad	železnica
unique	edinstveno
unique	edinstven
unique	edinstvena
unique	enkratna
defined	opredeljen
defined	opredeljeni
defined	opredeljeno
defined	opredeljena
ocean	ocean
cell	celico
cell	celice
cell	celic
cell	celica
missouri	missouri
concert	koncert
improve	izboljšanje
improve	izboljšati
improve	izboljša
biography	življenjepis
biography	biografijo
loan	posojilo
contact	kontakt
contact	stik
contact	stika
holy	sveti
holy	sveto
tennessee	tennessee
sub	podmornico
sub	sub
safety	varnosti
safety	varnost
competed	tekmoval
competed	tekmovala
stephen	stephen
stephen	štefan
stephen	stephena
policies	politik
policies	police
policies	politike
painting	sliko
painting	slikanje
painting	barvanje
painting	slika
price	cena
mexican	mehiško
mexican	mehiški
mexican	mehičan
mexican	mehiška
leadership	vodstvo
leadership	vodenje
flying	leteči
flying	letenje
message	sporočilo
municipal	občinski
serious	resne
serious	resna
serious	resno
serious	resni
headquarters	poveljstvo
headquarters	štab
headquarters	sedež
officially	uradno
cemetery	pokopališču
cemetery	pokopališče
memory	pomnilnik
memory	spomini
memory	spomin
memory	spomina
fields	polji
fields	polja
generation	generacija
generation	generacije
generation	ustvarjanje
generation	generacijo
copies	kopij
copies	kopije
finals	finale
fox	fox
fox	lisica
fox	lisjak
continues	nadaljuje
representative	zastopnik
representative	reprezentativno
representative	reprezentativni
representative	predstavnik
destroyed	uničena
destroyed	uničeni
destroyed	uničene
destroyed	uničen
destroyed	uničeno
feet	noge
feet	stopala
feet	stopali
feet	nogice
guy	guy
guy	tip
philippines	filipini
revealed	razkril
revealed	pokazala
revealed	razkrili
revealed	razkrita
revealed	razkrila
organized	organizirani
organized	organizirano
organized	organiziran
organized	organizirana
organized	organizirane
serves	služi
conservative	konzervativne
share	deli
share	delimo
share	delež
share	delim
maria	marijo
maria	marija
maria	maria
disease	bolezen
disease	bolezni
sections	poglavji
sections	oddelki
philosophy	filozofija
philosophy	filozofijo
ways	načine
ways	načini
arrived	prispele
arrived	prispel
arrived	prispela
arrived	prispeli
divided	deljena
divided	deljeno
divided	razdeljene
divided	razdeljeni
divided	razdeljeno
floor	tla
floor	nadstropje
latd	latd
longd	longd
logo	logo
logo	logotip
meets	izpolnjuje
yard	ladjedelnica
yard	dvorišče
cancer	raku
cancer	rak
cancer	raka
offer	ponudba
offer	ponudbo
tax	davki
tax	davčna
tax	davek
expected	pričakovani
expected	pričakovana
expected	pričakovan
expected	pričakovali
expected	pričakovano
traffic	prometni
traffic	promet
concerns	pomisleki
concerns	zaskrbljenost
graduated	diplomiral
graduated	diplomirala
guest	gosta
guest	gostja
guest	gost
jews	židje
jews	judje
formation	nastanek
formation	formacijo
meant	pomenilo
meant	mišljeno
economy	ekonomija
economy	gospodarstvo
storm	vihar
storm	nevihta
storm	storm
storm	neurje
mile	miljo
mile	mile
protected	zaščiteno
protected	zaščitena
protected	zaščiteni
protected	zaščiten
bowl	skleda
bowl	skledo
letters	pisma
letters	črke
letters	pisem
classic	klasika
classic	klasično
classic	klasična
classic	klasičen
classic	klasični
damage	škoda
harry	harry
offers	ponudbe
offers	ponuja
davis	davis
davis	davisa
challenge	izziv
views	ogledov
views	mnenja
views	stališča
views	pogledi
marked	označena
marked	označeni
marked	označene
marked	označeno
allows	dopušča
allows	omogoča
allows	dovoljuje
density	gostote
density	gostota
literary	literarni
htm	htm
ben	bena
ben	ben
transportation	prevoz
transportation	prevozi
kentucky	kentucky
sales	prodaja
fleet	ladjevje
fleet	floto
fleet	flota
fleet	flote
supporting	podpiranje
captured	ujeli
captured	ujeta
captured	zajeti
captured	ujet
extra	dodatno
extra	dodaten
extra	ekstra
extra	extra
recognized	priznan
recognized	prepoznal
recognized	priznana
recognized	priznano
arizona	arizona
arizona	arizono
theme	temo
theme	tema
francis	franc
francis	francis
moscow	moskvi
moscow	moskva
interested	zanima
interested	zainteresirani
interested	zainteresirana
interested	zainteresirane
heard	slišal
heard	slišala
behavior	vedenje
behavior	obnašanje
transferred	prenesen
transferred	premeščen
transferred	prenesenih
transferred	preneseno
transferred	preneseni
environmental	okoljsko
environmental	okoljski
blank	prazen
blank	prazno
musician	glasbenik
assigned	dodeljene
assigned	dodeljena
assigned	dodeljeno
assigned	dodeljen
assigned	dodeljeni
seats	sedeže
seats	sedeži
tennis	tenisu
tennis	tenis
percent	odstotek
logs	dnevniki
logs	hlode
display	prikaz
convention	konvencija
convention	konvencijo
convention	konvencije
ring	prstan
ring	ring
ring	obroč
joint	joint
joint	skupno
brian	brian
deputy	namestnica
deputy	namestnik
planned	načrtovan
planned	načrtovani
planned	načrtovana
planned	načrtovano
planned	načrtovane
universities	univerze
universities	univerz
universities	univerzami
yards	ladjedelnice
yards	jardov
communist	komunistično
communist	komunist
communist	komunistična
communist	komunistični
agent	agentka
agent	zastopnik
agent	agent
difference	razlika
difference	razliko
difference	razlike
animal	živalsko
animal	živalska
animal	žival
animal	živali
czech	češka
czech	češki
positions	položaji
positions	stališča
positions	pozicije
combat	bojna
palace	palačo
palace	palača
card	kartico
card	kartica
card	karta
ordered	naročila
ordered	urejen
ordered	naročeno
ordered	naročil
opposition	nasprotovanje
opposition	nasprotovanja
opposition	opozicija
opposition	opozicije
understanding	razumevanje
wrestling	rokoborba
wrestling	rokoborbo
critics	kritiki
critics	kritike
growing	raste
growing	rastoče
growing	gojenje
hands	roke
latm	latm
longm	longm
participated	sodelovala
participated	sodeloval
participated	sodelovali
participated	sodelovalo
poetry	poezija
poetry	poezijo
poetry	poezije
materials	materiali
materials	material
materials	materialov
turkish	turška
turkish	turški
turkish	turško
paid	plačano
paid	plačani
paid	plačan
paid	plačana
promotion	promocije
promotion	promocijo
promotion	napredovanje
promotion	spodbujanje
promotion	promocija
apparently	očitno
battalion	bataljon
mobile	mobilna
mobile	mobilni
mobile	mobilnih
mobile	mobilno
row	vrstica
merged	združeni
merged	združena
metropolitan	metropolitan
figures	številke
figures	figure
existence	obstoja
existence	obstoj
eye	očesu
eye	eye
eye	oko
longs	hrepeni
louisiana	louisiani
lewis	lewis
melbourne	melbourne
austria	avstrijo
austria	avstrija
brigade	brigada
brigade	brigade
screen	ekran
screen	zaslon
risk	tveganje
risk	tveganja
lats	lats
ban	ban
ban	prepoved
ban	prepovedi
labor	porod
legislative	zakonodajno
legislative	zakonodajna
definition	opredelitev
definition	definicija
indeed	dejansko
indeed	zares
draw	žreb
draw	narisal
application	zahtevek
application	vloga
steel	jekla
steel	jeklo
steel	jeklena
steel	jeklene
steel	jekleni
steel	jekleno
presence	prisotnost
presence	prisotnosti
presence	navzočnost
expansion	razširitev
expansion	širjenje
expansion	širitev
earl	earl
max	max
max	največ
max	maks
wild	divja
wild	wild
wild	divje
wild	divji
planning	načrtovanje
comic	komik
comic	strip
adopted	sprejeta
adopted	sprejet
adopted	sprejeto
easy	počasi
plus	plus
happy	srečna
happy	srečen
happy	vesela
happy	srečno
acts	dejanja
acts	akti
classes	razredi
classes	pouk
iowa	iowa
grew	zrasel
grew	rasel
grew	zrasla
save	reši
save	shrani
wins	zmaga
theater	gledališče
exists	obstaja
roles	vloge
roles	vlog
chance	chance
chance	priložnost
chance	možnost
prevent	preprečiti
prevent	prepreči
prevent	preprečite
candidates	kandidati
candidates	kandidatov
candidates	kandidatke
candidates	kandidata
candidates	kandidate
object	predmet
object	objekt
felt	čutila
felt	počutil
felt	čutil
felt	občutila
powers	moči
powers	pooblastila
powers	powers
powers	pristojnosti
birds	ptic
birds	ptički
birds	ptiči
birds	ptice
birds	ptiče
spread	razširi
spread	širjenje
defeat	poraz
defeat	porazi
cape	ogrinjalo
cape	rt
cape	cape
identified	ugotovljene
identified	ugotovljena
regions	regije
regions	regij
mine	moj
mine	moja
mine	rudnik
mine	moje
sides	strani
showing	prikazovanje
teaching	poučevanje
guidelines	smernicami
guidelines	smernice
simon	simon
simon	simona
depth	globina
lyrics	besedila
lyrics	besedilo
christmas	božič
declined	odklonil
declined	zavrnjena
greece	grčija
express	izraziti
express	express
federation	federacija
federation	federacije
journalist	novinarka
journalist	novinarja
journalist	novinar
intelligence	inteligenca
intelligence	obveščevalna
connection	priključitev
connection	povezava
displayed	prikazana
displayed	prikazanih
displayed	prikazano
displayed	prikazane
displayed	prikazan
portuguese	portugalski
portuguese	portugalsko
portuguese	portugalska
declared	prijavljeni
declared	prijavljenih
declared	prijavljena
constitution	ustava
presidential	predsedniške
presidential	predsedniško
presidential	predsedniški
sons	sinove
sons	sinov
sons	sinovi
sons	sinova
plot	zarota
plot	zaroto
dates	zmenki
dates	datume
dates	datumi
firm	trdno
ends	konci
ends	konča
pilot	pilotni
pilot	pilot
relatively	relativno
receive	prejeti
educated	izobražen
educated	izobraženi
educated	izobražena
manchester	manchester
queensland	queensland
americans	američani
introduction	uvedba
introduction	uvod
introduction	uvajanje
introduction	vnos
directors	direktorjev
directors	direktorji
vehicle	vozilo
stock	stalež
stock	zaloge
stock	zaloga
vehicles	vozil
vehicles	vozila
israeli	izraelske
israeli	izraelsko
israeli	izraelska
israeli	izraelski
frequently	pogosto
hills	hribi
hills	hills
performing	nastopati
performing	opravljanje
northwest	severozahodni
northwest	sz
northwest	severozahodno
drug	zdravilo
drug	droga
visit	obisk
visit	obiščite
residence	prebivanje
residence	bivališče
residence	bivanje
residence	rezidenca
residence	prebivališče
walter	walterja
walter	walter
interesting	zanimiv
interesting	zanimivo
interesting	zanimiva
moon	mesec
moon	luna
moon	luni
moon	moon
limit	omejitev
limit	omeji
limit	meja
minute	minuta
minute	minuto
bell	zvonec
bell	zvon
bell	bell
athletics	atletika
reduced	zmanjšan
reduced	zmanjšana
reduced	znižana
reduced	zmanjšano
reduced	zmanjšani
wind	vetru
wind	veter
wind	vetra
oklahoma	oklahoma
architect	arhitekta
architect	arhitekt
ideas	zamisli
ideas	idej
ideas	ideje
electronic	elektronsko
electronic	elektronska
crown	krona
crown	krono
younger	mlajši
younger	mlajša
younger	mlajše
anderson	anderson
step	korak
weapons	orožja
weapons	orožje
unable	nezmožen
neutral	nevtralno
neutral	nevtralni
neutral	nevtralen
connected	povezana
connected	povezani
connected	povezano
switzerland	švico
switzerland	švici
switzerland	švice
switzerland	švica
armed	oboroženi
armed	oborožena
armed	oborožen
armed	oborožene
weekly	tedenska
weekly	tedenski
weekly	tedensko
rating	rating
programme	program
squad	vod
multi	multi
dynasty	dinastije
dynasty	dinastija
cold	mraz
cold	mrzlo
cold	hladno
cold	mrzla
cold	mrzel
granted	podeljena
granted	odobreno
alliance	zavezništvo
methods	metode
sam	sam
alabama	alabama
albert	albert
tropical	tropske
tropical	tropski
tropical	tropskih
vietnam	vietnam
dvd	dvd
heat	vročina
heat	toplota
heat	toplote
fans	ventilatorji
fans	ljubitelji
fans	oboževalci
fans	navijači
surrounding	okoliških
surrounding	obdaja
credit	zasluge
credit	kreditne
credit	kredit
credit	kreditno
commons	commons
boat	jadrnica
boat	ladja
boat	čoln
boxes	škatle
ethnic	etničnih
ethnic	etnične
ethnic	etnično
speaking	govorjenje
fell	padel
fell	padla
fell	padlo
arena	arena
arena	areni
arena	areno
roads	ceste
roads	cest
core	jedro
dog	dog
dog	pasja
dog	kuža
dog	pasji
dog	pes
kill	ubil
wikiproject	wikiproject
negative	negativen
negative	negativna
negative	negativno
negative	negativni
confirmed	potrjen
confirmed	potrjeno
confirmed	potrjeni
confirmed	potrjena
sixth	šesti
sixth	šesta
sixth	šesto
edge	robu
edge	rob
edge	ostrino
jesus	jezus
tools	orodja
tools	orodje
colonel	polkovnik
weak	šibki
weak	šibak
weak	šibek
weak	šibka
weak	šibko
chosen	izbrano
chosen	izbrani
chosen	izbrana
chosen	izbran
brand	znamka
nfl	nfl
rise	dvig
rise	vzpon
supply	oskrba
supply	dobava
tradition	tradicije
tradition	tradicijo
tradition	tradicija
elementary	osnovno
elementary	osnovni
household	gospodinjstvo
household	gospodinjski
spirit	duh
task	naloga
task	opravilo
slightly	rahlo
howard	howard
incident	incident
develop	razviti
southeast	jugovzhodno
southeast	jugovzhodni
sunday	nedeljsko
sunday	nedeljo
sunday	nedelje
sunday	nedeljski
sunday	nedelja
stats	statistika
stats	statistiko
climate	podnebje
topics	teme
purchased	kupljen
purchased	kupljene
purchased	kupljeno
purchased	kupljena
communications	komunikacije
communications	komuniciranje
chapter	poglavje
broken	zlomljen
broken	zlomljeni
broken	zlomljeno
singapore	singapur
license	dovoljenje
license	licenca
haven	pristan
haven	haven
deaths	smrti
citizens	meščani
citizens	državljane
citizens	državljani
guns	topovi
guns	puške
guns	orožje
guns	pištole
trees	dreves
trees	drevje
trees	drevesa
gone	odšel
improved	izboljšano
improved	izboljšani
improved	izboljšana
improved	izboljšan
visual	vizualno
pope	pope
pope	papež
officials	uradniki
sat	sedeli
sat	sedela
sat	sedel
sat	sat
glass	steklo
glass	stekla
glass	kozarec
glass	steklena
miller	miller
posted	objavljeno
posted	objavil
estimated	ocenjeno
estimated	ocenjen
estimated	ocenjeni
estimated	ocenjena
contain	vsebujejo
contain	vsebovati
contain	vsebuje
brazilian	brazilski
sexual	spolno
sexual	spolna
defence	obramba
rich	bogato
rich	bogati
rich	rich
rich	bogat
rich	bogata
fast	hitri
fast	hiter
fast	hitra
fast	hitro
properties	lastnosti
taught	naučil
extensive	obsežna
extensive	obširno
extensive	obsežno
extensive	obsežne
exhibition	razstave
exhibition	razstavi
exhibition	razstavo
exhibition	razstava
speech	govor
les	les
proposal	predlog
proposal	predloga
straight	naravnost
straight	ravne
internal	notranja
internal	interno
internal	notranje
internal	notranji
effective	učinkoviti
effective	učinkovita
effective	učinkovit
effective	učinkovito
solution	rešitev
solution	raztopina
fashion	fashion
fashion	modno
fashion	modna
fashion	moda
fashion	modo
foot	nogo
foot	noga
foot	stopalo
orange	oranžno
orange	oranžni
orange	pomaranča
orange	oranžne
orange	oranžna
argentina	argentina
argentina	argentino
brief	kratek
performances	nastope
adult	odraslih
adult	odrasel
adult	odrasli
identity	identiteto
identity	identiteta
singers	pevke
singers	pevci
inspired	navdih
transfer	premestitev
transfer	prenos
egypt	egipt
cells	celice
cells	celic
patrick	patrick
patrick	patrik
quebec	quebec
connecticut	connecticut
connecticut	connecticutu
anthony	anthony
permanent	trajni
permanent	trajen
permanent	trajna
permanent	trajno
permanent	stalna
phase	faza
phase	fazo
audience	občinstvo
audience	gledalci
motion	predlog
motion	gibanje
blues	blues
hungarian	madžarsko
hungarian	madžarski
hungarian	madžarska
arab	arabska
arab	arabski
arab	arabec
trains	vlaki
trains	vlake
sets	določa
sets	kompleti
sets	nizi
eyes	oci
eyes	oči
studios	studios
criminal	kriminalno
criminal	kazensko
criminal	kriminalec
criminal	kazenskih
commonwealth	commonwealtha
communication	obveščanje
communication	komunikacija
communication	komuniciranje
communication	sporazumevanje
communication	sporočanje
scope	obseg
accused	obtožen
accused	obtožena
accused	obtoženi
divisions	delitve
divisions	divizije
divisions	oddelki
accept	sprejeti
accept	sprejmi
warning	opozorilo
alan	alan
objects	objekti
objects	predmete
objects	predmeti
objects	predmetov
diego	diego
contest	tekmovanje
contest	natečaj
contest	natečaja
fighter	borka
fighter	borca
fighter	borec
finds	najde
coaches	trenerjev
coaches	trenerji
beat	ritem
beat	premagal
extremely	izjemno
extremely	izredno
ford	ford
swiss	švicarski
swiss	švicarska
sorry	žal
houston	houston
worldwide	svetovna
worldwide	svetovno
cathedral	katedrala
cathedral	katedrali
cathedral	katedralo
losing	izgublja
advance	vnaprej
reality	resničnost
reality	realnost
reality	stvarnost
broadcasting	oddajanje
adam	adam
vandalism	vandalizem
enemy	sovražnik
enemy	sovražniki
youtube	youtube
assessed	ocenjeno
assessed	ocenjeni
assessed	ocenjen
assessed	ocenjena
billion	milijard
billion	milijarde
billion	milijarda
buried	zakopan
buried	zakopano
buried	pokopani
buried	pokopan
buried	pokopana
belgium	belgijo
belgium	belgija
respect	spoštovanja
respect	spoštovati
respect	spoštovanje
respect	spoštuj
rare	redki
rare	redko
detroit	detroit
graduate	diplomiral
colleges	fakultete
colleges	kolegijev
explain	razloži
explain	pojasni
authorities	oblasti
killing	ubijanje
killing	uboj
maximum	maksimum
maximum	največja
fan	ventilator
fan	oboževalec
fan	navijač
fan	oboževalka
notify	obvestite
notify	obvesti
painter	slikar
hamilton	hamilton
attempted	poizkus
attempted	poskus
universe	vesolje
universe	vesolju
obvious	očitno
obvious	očiten
obvious	očitna
suffered	trpel
suffered	trpela
pieces	koščki
pieces	kosi
apply	uveljavi
actresses	igralke
competitions	tekmovanj
competitions	tekmovanja
aid	pomoč
aid	pomoči
driver	voznika
driver	voznik
driver	strojevodja
driver	šofer
folk	folk
dan	dan
khan	khan
khan	kan
baby	otrok
baby	punčka
baby	dojenček
denmark	dansko
denmark	danski
denmark	danska
tokyo	tokio
billboard	pano
calling	kličem
calling	klicanje
calling	kliče
anne	anne
anne	ana
danish	dansko
danish	danske
danish	danski
wants	hoče
wants	želi
formula	formula
formula	formulo
interior	notranjosti
interior	notranja
interior	notranjost
interior	notranje
interior	notranji
kevin	kevin
weather	vreme
powerful	močan
powerful	močni
powerful	močno
powerful	mogočna
powerful	močna
muslim	muslimani
muslim	musliman
registered	registrirana
registered	registrirano
registered	registrirani
registered	registriran
publisher	založnik
publisher	izdajatelj
sounds	zvoki
sounds	zveni
eric	eric
eric	erik
approved	odobrena
approved	odobrene
approved	odobreni
approved	odobreno
approved	odobren
achieved	dosežene
achieved	dosežen
achieved	dosežena
achieved	doseženo
achieved	doseženi
douglas	douglas
fund	sklad
portugal	portugalska
portugal	portugalsko
portugal	portugalski
portugal	portugalske
athletes	športniki
athletes	športnike
bird	ptica
bird	ptiček
bird	bird
bird	ptič
bands	trakovi
audio	zvok
audio	avdio
cat	mačji
cat	muca
cat	maček
cat	mačka
cat	cat
bureau	predsedstvo
bureau	urad
bureau	biro
centuries	stoletja
valid	veljavna
valid	veljaven
valid	veljavni
valid	veljavno
chemical	kemikalija
chemical	kemična
chemical	kemijsko
chemical	kemično
items	postavk
items	predmeti
items	postavke
lane	lane
holding	držala
holding	gospodarstvu
holding	držanje
holding	holding
holding	gospodarstvo
counties	okrožjih
counties	okrožja
update	posodobi
update	posodabljanje
update	posodobitev
ncaa	ncaa
speak	govori
speak	spregovori
domestic	domači
domestic	domačih
domestic	domače
domestic	domača
false	lažno
equivalent	ekvivalent
equivalent	enakovreden
equivalent	enakovredna
equivalent	enakovredni
equivalent	enakovredno
caught	ujeta
caught	ujel
caught	ujeli
caught	ujet
christ	kristus
puerto	puerto
perform	opravljanje
partner	partnerja
partner	partner
partner	partnerka
romania	romunija
aviation	letalsko
aviation	letalstvo
aviation	aviation
aviation	letalski
failure	neuspeh
failure	izpad
ward	ward
strength	jakost
strength	trdnost
strength	moč
knight	vitez
nominations	kandidature
hungary	madžarsko
hungary	madžarska
concern	skrb
concern	zaskrbljenost
recordings	posnetki
functions	funkcije
functions	funkcij
mississippi	mississippi
calls	klicev
calls	klice
calls	klici
criticism	kritika
criticism	kritiko
criticism	kritik
criticism	kritike
magic	čarobno
magic	čarovnija
magic	magic
magic	magično
magic	magijo
gordon	gordon
treaty	pogodba
antonio	antonio
selection	izbira
selection	izbor
selection	izbiranje
rear	zadaj
colonial	kolonialni
motor	motor
obtained	pridobljena
obtained	pridobljen
obtained	pridobljeno
circuit	vezja
circuit	vezje
circuit	dirkališče
wish	željo
wish	želja
compilation	pripravljanje
harvard	harvardu
harvard	harvard
islamic	islamske
islamic	islamski
determined	odločna
determined	odločena
determined	odločni
determined	odločen
geography	zemljepis
arkansas	arkansas
fuel	gorivo
fuel	goriva
artillery	topništvo
medieval	srednjeveški
locations	lokacij
locations	lokacije
inclusion	vključitev
inclusion	vključenost
inclusion	vključevanje
recognition	prepoznava
recognition	priznavanje
recognition	priznanje
recognition	prepoznavanje
northeast	severovzhodno
chamber	dvorani
chamber	komora
chamber	komoro
moment	moment
moment	trenutek
succeeded	uspeli
succeeded	uspela
succeeded	uspelo
succeeded	uspel
historian	zgodovinar
condition	pogoj
condition	stanje
physics	fiziko
physics	fiziki
physics	fizika
newspapers	časopisi
represent	zastopati
represent	predstavljajo
allen	allen
watch	opazuj
watch	glej
watch	ura
watch	glejte
kitt	kitt
protect	zaščiti
grey	sive
grey	sivo
grey	sivi
grey	grey
grey	siva
launch	izstrelitev
dave	dave
dave	dava
philip	philip
philip	filip
iraq	irak
iraq	iraku
changing	spreminjanje
changing	spreminja
ukraine	ukrajina
ukraine	ukrajino
municipalities	občin
municipalities	občine
mix	premeša
mix	mix
mix	mešanica
shift	izmeno
shift	premik
shared	skupna
shared	deljeno
shared	deljena
austrian	avstrijski
austrian	avstrijska
austrian	avstrijsko
door	vrata
investigation	preiskavo
investigation	preiskava
investigation	preiskovanje
investigation	preiskave
investigation	raziskava
institution	nosilec
institution	zavod
institution	institucijo
institution	ustanova
institution	institucija
princess	princesa
princess	princess
princess	princeske
princess	princeska
trail	sled
parks	parke
parks	parki
parks	parkov
applications	vloge
applications	prošnje
applications	prijave
applications	aplikacije
hundred	sto
requirements	zahteve
talking	govorjenje
kim	kim
ltd	ltd
metres	metrov
gray	gray
gray	siv
gray	siva
gray	sivo
gray	sivi
sector	sektor
dean	dekan
dean	dean
agricultural	kmetijska
agricultural	kmetijske
agricultural	kmetijsko
agricultural	kmetijski
escape	pobeg
escape	beg
orders	naročila
orders	ukazi
orders	ukaz
corner	vogal
corner	kotu
founding	ustanovne
founding	ustanovni
mill	mlin
mill	mill
mill	žaga
subjects	osebki
subjects	osebah
temperature	temperatura
temperature	temperature
temperature	temperaturo
settled	poravnana
settled	urejeno
spacewatch	spacewatch
miami	miami
promote	spodbujanje
values	vrednosti
values	vrednote
spot	spot
progress	progress
progress	napredek
learn	naučil
planet	planet
planet	planeta
occupied	zasedeno
occupied	zasedena
usage	uporaba
southwest	jugozahodno
southwest	jz
refused	zavrnjena
refused	zavrnjeno
truth	resnico
truth	resnice
truth	resnica
clark	clark
sufficient	zadostno
sufficient	zadostna
equal	enaka
equal	enaki
equal	enako
administrator	administrator
administrator	upravitelj
administrator	administratorja
persons	oseb
persons	osebe
factory	tovarna
factory	tovarno
fought	boril
magazines	revije
flow	tok
flow	pretok
peer	strokovnem
attacked	napaden
attacked	napadeni
attacked	napadel
attacked	napadena
attacked	napadli
generate	ustvari
shape	oblika
shape	oblike
shape	forme
shape	obliko
creator	stvarnika
creator	ustvarjalec
creator	stvarnik
option	možnost
lincoln	lincoln
starts	prične
stands	stoji
stands	stojala
carry	nositi
establishment	ustanova
establishment	ustanavljanje
establishment	ustanovitev
establishment	obrat
establishment	vzpostavitev
selling	prodaja
causes	vzroki
budget	proračun
battles	bitke
battles	bitk
sky	sky
sky	nebo
legend	legend
legend	legenda
arrested	aretirani
arrested	aretirali
arrested	aretirana
arrested	aretiran
forum	forum
metro	metro
broke	zlomil
strike	udarec
strike	stavka
strike	stavki
injury	poškodbe
injury	poškodba
ryan	ryan
zero	ničla
violence	nasilje
significantly	znatno
significantly	občutno
statements	izjave
statements	izjavi
controlled	nadzorovano
controlled	nadzorovanih
controlled	nadzorovana
controlled	nadzorovan
controlled	nadzorovani
welsh	welsh
roger	roger
roger	sprejeto
pdf	pdf
distinguished	ugleden
distinguished	razlikovati
samuel	samuel
papers	papirji
papers	papirje
detail	podrobnost
detail	podrobnosti
chapel	kapelo
chapel	kapela
frederick	frederick
thousands	tisoči
thousands	tisoče
banks	banks
banks	bankam
banks	bankah
banks	bankami
banks	banke
offensive	ofenzivo
offensive	žaljivo
kings	kralje
kings	kralji
factor	dejavnik
factor	faktor
replace	nadomesti
replace	zamenjaj
museums	muzeje
resistance	upor
resistance	odpornost
resistance	odpor
resistance	upiranje
junction	križišče
tim	tim
engines	motorje
engines	motorji
