referenciado	hivatkozott
felix	felix
felix	félix
orgulho	büszkeség
orgulho	büszke
houten	houten
fantástico	fantasztikus
fantástico	király
fantástico	szuper
operado	működtetett
operado	üzemeltetett
chagas	chagas
chagas	sebek
membrana	membrán
provoca	provokálja
jato	jet
zeus	zeusz
dominar	uralni
suposta	elvileg
todd	todd
poluição	környezetszennyezés
poluição	szennyezés
poluição	szennyeződés
citações	idézetek
citações	idéz
citações	idézetek
citações	árfolyamok
nassau	nassau
ditador	diktátor
romero	romero
estranha	fura
estranha	furcsa
estranha	különös
estranha	furcsa
estranha	idegen
nacionalista	nacionalista
camp	camp
camp	tábor
cadeiras	székek
cadeiras	székeket
cadeiras	szék
juliana	juliana
rogers	rogers
desenvolvendo	fejlődő
desenvolvendo	fejlesztése
cuiabá	cuiabá
olga	olga
marrom	brown
marrom	barna
isolamento	szigetelés
isolamento	elszigeteltség
amostras	mintavétel
amostras	minta
amostras	minták
amostras	mintákat
harvey	harvey
passeio	járdán
passeio	járda
passeio	lovagolni
passeio	séta
passeio	séta
passeio	gyalog
passeio	járni
lentamente	lassan
adventures	kaland
adventures	kalandjai
adventures	kalandok
controlada	ellenőrzött
búlgaro	bolgár
emerson	emerson
palestra	előadás
desastre	katasztrófa
pintores	festők
panorama	panorama
ligando	hívás
ligando	hív
emílio	templeton
emílio	emil
emílio	emilio
omar	umar
omar	omar
cry	sírj
cry	sír
cry	sírás
deutsche	deutsche
olha	nézd
pago	fizetve
pago	fizetett
pago	kifizetett
vasto	tág
vasto	széles
colaborador	hozzájáruló
colaborador	közreműködő
colaborador	kollaboráns
queijo	sajtos
queijo	sajtok
queijo	sajt
rpg	rpg
colin	colin
gaga	gaga
chanceler	kancellár
lucy	lucy
ain	ain
middle	középre
middle	közép
middle	középső
ídolo	idol
colaborar	együttműködni
migração	áttérés
migração	átállás
migração	bevándorlás
migração	migráció
servia	szolgálta
servia	szolgált
bate	veri
bate	ütés
bate	találat
levantar	emelés
levantar	felnevelni
levantar	emelés
levantar	emelő
levantar	emelés
mede	mérték
mede	intézkedés
grade	rács
bit	ilo
bit	bites
bit	kicsit
validade	érvényessége
validade	érvényességi
retratos	portrék
pat	pat
sacerdotes	papok
raras	ritka
glenn	glenn
fraca	gyenge
fraca	gyengék
acústico	akusztikus
organizadas	rendezett
organizadas	szervezett
óscar	oscar
destinos	rendeltetési
pânico	pánik
infantis	gyerekes
paciência	türelem
brad	brad
intercontinental	intercontinental
consumidores	fogyasztó
consumidores	fogyasztói
consumidores	fogyasztók
consumidores	fogyasztók
depósito	betétek
depósito	betét
depósito	letétbe
depósito	foglaló
claire	claire
supervisão	felügyeleti
supervisão	felügyelet
prisioneiro	rab
prisioneiro	fogoly
prisioneiro	elítélt
