細分	подразделение
親指	палеца
親指	палецът
親指	палците
親指	палци
フォロー	следвайте
フォロー	следва
政治局	политбюро
粉末	брашно
粉末	пудра
粉末	прах
粉末	барут
粉末	прахове
ジブラルタル	гибралтар
プレイボーイ	плейбой
マーズ	марс
グレゴリー	григорий
グレゴリー	грегори
グレゴリー	грегъри
セバスティアン	себастиан
セバスティアン	себастиян
台所	кухни
台所	кухня
台所	кухнята
ちあき	чиаки
ナシオナル	национал
ドルトムント	дортмунд
レミ	реми
パウエル	пауъл
ジョエル	джоел
ジョエル	джоуел
誘発	предизвикана
誘発	предизвикано
誘発	индуцирана
リッチー	ричи
リッチー	ричи
公道	магистрала
公道	магистралата
峡谷	кениън
峡谷	каньон
峡谷	каньона
峡谷	клисура
救世主	спасители
救世主	спасителят
救世主	спасител
馬術	конен
書式	формати
書式	формат
アレルギー	алергия
ガードナー	гарднър
序文	предговор
序文	предговор
ヘッドライト	фарове
ヘッドライト	фар
ヘッドライト	фарове
知覚	възприятия
知覚	схващане
知覚	възприятие
知覚	възприемане
知覚	възприемат
脊椎動物	гръбначни
ダーリン	скъпа
ブルズ	биковете
ブルズ	бикове
勇敢	смели
勇敢	смело
勇敢	смела
勇敢	смел
ワンダフル	чудесен
ワンダフル	прекрасен
ワンダフル	чудесна
ワンダフル	прекрасна
モーメント	мигове
モーメント	моменти
モーメント	момент
モーメント	миг
農産物	култури
農産物	насаждения
トムソン	томсън
リエージュ	лиеж
洗練	изтънченост
レベッカ	ребека
マルティネス	мартинез
マルティネス	мартинес
バクー	баку
わざと	преднамерено
わざと	съзнателно
わざと	умишлено
レプリカ	реплика
レプリカ	копие
ウィレム	вилем
フーガ	фуга
キラキラ	блести
キラキラ	блясък
キラキラ	блестящи
叙事詩	епично
叙事詩	епична
注射	инжекции
注射	инжекция
注射	инжектиране
注射	впръскване
ファックス	факс
