το	на
δημιουργείται	создадено
δημιουργείται	создадени
δημιουργείται	креирано
δημιουργείται	создадена
δημιουργείται	создаден
δημιουργείται	креира
δημιουργείται	создава
άθλημα	sport
άθλημα	спорт
χωρητικότητα	капацитет
χωρητικότητα	тонажа
πιθανή	можно
πιθανή	можни
πιθανή	возможно
πιθανή	можен
παραδοσιακή	традиционални
παραδοσιακή	традиционално
παραδοσιακή	традиционална
παραδοσιακή	традиционален
αποφάσισαν	одлучил
αποφάσισαν	одлучено
αποφάσισαν	одлучи
έμαθε	научиле
έμαθε	научив
έμαθε	научено
έμαθε	научија
δραματική	драматичен
δραματική	драматично
δραματική	драматична
δραματική	драматични
πλήκτρα	клучевите
πλήκτρα	тастери
πλήκτρα	клучеви
πλήκτρα	копчиња
πλήκτρα	клавијатури
πλήκτρα	тастатура
χαλκού	бакар
αποχώρηση	поаѓање
αποχώρηση	заминување
αποχώρηση	повлекување
καταφύγιο	засолниште
καταφύγιο	бункер
καταφύγιο	прибежиште
καταφύγιο	засолниште
καταφύγιο	светилиште
καταφύγιο	прибежиште
καταφύγιο	засолниште
μουσεία	музеите
μουσεία	музеи
μετάλλια	медали
μετάλλια	ордени
απόλυτη	апсолутен
απόλυτη	апсолутна
αποτυχία	неуспех
αποτυχία	неуспех
αποτυχία	неуспехот
αποτυχία	неуспешно
αποτυχία	пропадна
τοποθέτηση	позиционирање
τοποθέτηση	поставување
κοζάνης	кожани
φανέλα	џерси
τροφή	храна
πύργο	chateau
πύργο	шато
πύργο	кула
πύργο	кулата
πύργο	топот
διάμετρο	дијаметар
κατείχε	опседнат
κατείχε	опседната
διαχείρισης	управување
διαχείρισης	менаџмент
διαχείρισης	раководење
θεατρικό	театарска
ταυτότητα	идентификација
ταυτότητα	идентитет
δείγματα	примероци
δείγματα	примероци
μετρό	метро
μετρό	метрото
μετρό	метро
ύλη	материја
ύλη	материјата
επιμέρους	поединец
επιμέρους	индивидуален
επιμέρους	индивидуална
επιμέρους	индивидуа
επιμέρους	индивидуални
πανεπιστήμια	универзитети
διαλύθηκε	распуштен
διαλύθηκε	распушти
γιατρός	лекар
γιατρός	доктор
γιατρός	лекар
γιατρός	докторка
χημικός	хемичар
φυτό	билка
φυτό	растение
φυτό	централа
φίλους	пријатели
ταξίδεψε	патувал
ταξίδεψε	патувале
ταξίδεψε	патуваше
ταξίδεψε	патувал
όγκος	волумен
όγκος	обем
όγκος	обемот
όγκος	тумор
κακό	bad
κακό	лоша
κακό	лош
κακό	лошо
κακό	бад
κακό	злото
κακό	зла
κακό	зли
κακό	зло
σπάρτη	спарта
δύσκολη	тешко
δύσκολη	тежок
δύσκολη	тешка
δύσκολη	тешки
συμπεριλαμβανομένου	вклучувајќи
κίτρινο	жолта
κίτρινο	жолти
κίτρινο	жолто
τραγουδιστές	пеачи
τραγουδιστές	пејачи
ρωμαίους	римјани
ρωμαίους	римјаните
γραφεία	канцелариите
γραφεία	канцеларии
γραφεία	клупи
όντως	навистина
φιλμ	филмски
φιλμ	филмска
φιλμ	филм
ουκρανία	украина
ισχυρό	моќен
ισχυρό	моќна
ισχυρό	моќно
ισχυρό	моќни
στατιστική	статистика
συνθέτες	композитори
μητρόπολη	метрополис
μητρόπολη	метропола
ηχογράφηση	снимање
αντικειμένων	објекти
αντικειμένων	предмети
γιόχαν	јохан
γιόχαν	јохан
σύσταση	препорака
θεσσαλίας	тесалија
αρχιεπίσκοπος	архиепископот
ποίημα	поема
μέθοδοι	методи
δανία	данска
δέντρο	дрво
δέντρο	стебло
γουίλιαμ	вилијам
μέγιστο	максимална
μέγιστο	максимално
μέγιστο	максимален
μέγιστο	максимум
ήρωα	херој
ήρωα	јунак
ανώτατο	врховната
ανώτατο	врховниот
ανώτατο	врховен
διαχειριστή	админ
διαχειριστή	администратор
διαχειριστή	администратор
χημικό	хемиско
χημικό	хемиски
άκρα	екстремитети
άκρα	крајности
άκρα	екстремитети
μονάχου	минхен
παραδόσεις	традиции
παραδόσεις	традициите
παραδόσεις	дотурот
παραδόσεις	испораки
κοινωνικό	социјална
κοινωνικό	социјално
κοινωνικό	општествени
κανένας	никој
πεθάνει	умри
απειλή	закана
πρωί	сабајле
πρωί	утро
πρωί	утринска
πρωί	утринско
πρωί	утрински
κάπου	негде
κάπου	некаде
ετήσια	годишно
ετήσια	годишен
ετήσια	годишна
υποθέσεις	случаи
υποθέσεις	случаеви
νεκροταφείο	гробишта
νεκροταφείο	гробишта
παραλλαγές	варијанти
παραλλαγές	варијации
σκοτ	скот
βαθιά	deep
βαθιά	длабок
βαθιά	длабока
βαθιά	длабоко
βαθιά	длабоки
κώδικας	шифра
κώδικας	код
τσαρλς	чарлс
τσαρλς	шарл
επιτυχημένη	успешните
επιτυχημένη	успешни
επιτυχημένη	успешно
επιτυχημένη	успешна
επιτυχημένη	успешен
απαραίτητο	неопходни
απαραίτητο	неопходно
απαραίτητο	неопходна
απαραίτητο	потребно
απαραίτητο	основно
απαραίτητο	суштински
απαραίτητο	основни
αδερφός	брате
αδερφός	брат
εργαλείο	алатка
εργαλείο	алат
αρχιτέκτονας	архитект
γιουγκοσλαβία	југославија
ελεύθερος	слободни
ελεύθερος	бесплатно
ελεύθερος	слободно
ελεύθερος	слободна
ελεύθερος	слободен
αποικία	колонија
αποικία	колонијата
συνδέει	поврзува
καβάλας	кавала
βασισμένη	засновано
βασισμένη	базирано
κυρία	мадам
κυρία	госпоѓа
κυρία	дама
κυρία	лејди
κλίση	падина
κλίση	градиенти
κλίση	наклон
κλίση	наклонетост
δημοφιλής	популарно
δημοφιλής	популарен
δημοφιλής	популарни
δημοφιλής	популарна
αφγανιστάν	афганистан
αφγανιστάν	авганистан
μεταβολές	промени
μεταβολές	измени
ενεργά	активни
ενεργά	активно
ενεργά	активна
ενεργά	активен
ενεργά	активно
τόνους	тона
προηγούμενες	претходен
προηγούμενες	претходно
προηγούμενες	претходна
προηγούμενες	претходни
δημοκρατική	демократски
δημοκρατική	демократска
παίκτη	играчот
παίκτη	играч
κιλκίς	кукуш
ναυτική	поморски
αργεντινής	аргентина
αργεντινής	аргентинска
αργεντινής	аргентинскиот
εισήγαγε	воведена
εισήγαγε	воведен
εισήγαγε	воведе
εισήγαγε	воведени
θεία	тето
θεία	тетка
θεία	тета
θεία	стрина
θεία	тетка
θεία	тета
θεία	вујна
γουινέα	гвинеја
διαιρείται	поделени
διαιρείται	поделено
διαιρείται	поделена
διαιρείται	поделен
ικανότητες	способности
ικανότητες	вештини
ικανότητες	способности
αντιπολίτευσης	опозициски
αντιπολίτευσης	опозицијата
αντιπολίτευσης	противење
αντιπολίτευσης	опозиција
κιλά	kg
κιλά	кг
κιλά	кила
κιλά	кг
κιλά	кила
φάσμα	спектар
κάπως	донекаде
ελάχιστη	минимално
ελάχιστη	минимална
ελάχιστη	минимум
ελάχιστη	минимална
ελάχιστη	минимално
ελάχιστη	минимални
ελάχιστη	минимален
βιετνάμ	виетнам
βιετνάμ	виетнамски
παρούσα	сегашност
παρούσα	сегашна
παρούσα	поклон
παρούσα	присутни
παρούσα	претстави
παρούσα	подарок
ντοκιμαντέρ	документарец
ντοκιμαντέρ	документарни
ντοκιμαντέρ	документарци
υψηλότερη	највисоко
υψηλότερη	највисока
υψηλότερη	највисок
υψηλότερη	повисоко
υψηλότερη	повисок
υψηλότερη	повисока
υψηλότερη	повисоки
συνθέσεις	композиции
συνθέσεις	конфигурации
πωλ	пол
πωλ	паул
πωλ	павле
άμστερνταμ	амстердам
επιθυμία	желба
επιθυμία	посакувам
επιθυμία	желба
επιθυμία	посакуваат
γεωγραφικό	географски
προφορά	изговор
προφορά	изговорот
προφορά	нагласок
προφορά	акцент
προφορά	акценти
άγιοι	светци
αναπτύσσεται	развива
ακολουθώντας	следење
ακολουθώντας	следејќи
ιούλιος	јули
σκότωσε	убие
σκότωσε	убивање
σκότωσε	убиваат
σκότωσε	убиј
σκότωσε	убиена
σκότωσε	убиени
σκότωσε	убиено
σκότωσε	уби
σκότωσε	убиен
εγκαταλείψει	напуштат
τζακ	џек
τζακ	jack
συμπέρασμα	заклучок
σταυρό	крос
σταυρό	крстот
σταυρό	крст
χερσόνησο	полуостров
μηχανές	моторите
μηχανές	мотори
μηχανές	машини
μηχανές	машинерија
μηχανές	машини
αγωνιστές	борци
αγωνιστές	борците
αγωνιστές	милитантите
αγωνιστές	милитанти
μεταβολή	промени
μεταβολή	промена
μεταβολή	смени
μεταβολή	измени
απαραίτητα	нужно
εκατό	стотка
εκατό	hundred
εκατό	стотици
εκατό	сто
εκατό	стотина
μάρτιν	мартин
φορείς	носачи
φορείς	превозници
φορείς	носители
σκάφος	медиумот
σκάφος	медиум
σκάφος	брод
σκάφος	занает
σκάφος	брод
σκάφος	чамец
ένταση	напнатост
ένταση	тензии
ένταση	тензија
ένταση	јачина
ένταση	интензитет
απουσία	отсутен
απουσία	отсутна
απουσία	отсутни
απουσία	отсуството
απουσία	отсуство
όροι	термини
όροι	услови
όροι	услови
δίσκους	дискови
δίσκους	дискови
δέντρα	стебла
δέντρα	дрвја
δέντρα	дрва
δέντρα	дрвца
μέγιστη	максимална
μέγιστη	максимално
μέγιστη	максимален
μέγιστη	максимум
μόναχο	минхен
μόνιμα	траен
μόνιμα	трајна
μόνιμα	трајно
μόνιμα	постојана
μόνιμα	постојан
μόνιμα	трајно
σταυρός	крос
σταυρός	крстот
σταυρός	крст
δίκτυα	мрежи
δημιουργός	создател
δημιουργός	творецот
δημιουργός	создавач
δημιουργός	создателот
δημιουργός	креатор
δημιουργός	творец
δημιουργός	творецот
μέσων	инструменти
φίλοι	пријатели
στελέχη	раководители
όπλων	оружје
δείκτης	индекс
δείκτης	индикатор
δείκτης	показател
εντύπωση	импресија
εντύπωση	импресии
αναλογία	пропорција
αναλογία	сооднос
άγνωστος	непознати
άγνωστος	непознато
άγνωστος	непозната
άγνωστος	непознат
πρόσφατες	неодамнешно
πρόσφατες	неодамнешни
πρόσφατες	скорешни
πρόσφατες	неодамнешна
πρόσφατες	неодамнешните
δυνατότητες	можности
δυνατότητες	потенцијална
δυνατότητες	потенцијал
ουρά	редицата
ουρά	опашка
ουρά	опашката
ουρά	опаш
αποικίες	колонии
λογότυπο	лого
λογότυπο	логото
ήρωας	херој
ήρωας	јунак
κορυφαία	top
κορυφαία	топ
κορυφαία	врвот
μικρότερα	помала
μικρότερα	помало
μικρότερα	помал
μικρότερα	помали
επιτρέπεται	дозволени
επιτρέπεται	дозволено
επιτρέπεται	дозволена
επιτρέπεται	дозволени
επιτρέπεται	дозволено
αέριο	плин
αέριο	бензин
αέριο	гас
συν	плус
νήσος	островот
νήσος	остров
μεραρχία	дивизија
μεραρχία	поделба
ακολουθία	низа
ακολουθία	секвенца
οξυγόνο	кислород
ταξινόμηση	подредување
ταξινόμηση	сортирање
ταξινόμηση	класификација
ποινή	пенал
ποινή	казна
ποινή	реченица
ποινή	пресуда
αναπαράσταση	застапник
αναπαράσταση	претставништво
αναπαράσταση	претставување
αναπαράσταση	застапеност
αναπαράσταση	глуми
ματς	поклопување
ματς	натпревар
ματς	совпаѓање
έντουαρντ	едвард
λαμβάνουν	примаат
λαμβάνουν	прими
αυτόματα	автоматски
αυτόματα	автоматска
αυτόματα	автоматско
αυτόματα	автоматски
γυμναστήριο	сала
γυμναστήριο	физичко
γυμναστήριο	теретана
γυμναστήριο	гимназијата
λίμνες	езера
πίστευε	верувал
πίστευε	веруваше
πίστευε	верувале
χαν	хан
χαν	кан
χαν	хан
νόμους	законите
νόμους	закони
λήψη	симнување
λήψη	преземи
λήψη	земи
λήψη	земете
χριστιανοί	христијански
χριστιανοί	кристијан
χριστιανοί	христијан
χριστιανοί	христијани
χριστιανοί	христијанин
χριστιανοί	христијани
εμφανίζει	прикажува
οπτική	визуелен
οπτική	визуелни
οπτική	оптика
αποκατάσταση	реставрацијата
αποκατάσταση	реставрација
αποκατάσταση	рехабилитација
διευθυντή	режисер
διευθυντή	директор
ευγενείς	благородници
ευγενείς	благородниците
ευγενείς	благородници
ευγενείς	благородниците
ευγενείς	благородник
ευγενείς	благородни
ευγενείς	благородно
ευγενείς	благородна
ευγενείς	благороден
μάρκος	маркос
μάρκος	маркос
δέρμα	кожни
δέρμα	кожа
δέρμα	кожа
οθόνη	екран
οθόνη	монитор
σάο	сао
σάο	сао
τουρκικά	турска
τουρκικά	турско
τουρκικά	турски
τουρκικά	турскиот
μίλια	мајлс
μίλια	милји
μίλια	km
προτείνω	препорача
προτείνω	препорачувам
προτείνω	препорачуваме
ιδρύματα	институции
ήχο	звук
ήχο	аудио
στρατευμάτων	трупи
στρατευμάτων	трупа
στόλος	флота
σκωτία	шкотска
ίδιοι	истите
ίδιοι	истото
ίδιοι	исто
ίδιοι	исти
ίδιοι	ист
ίδιοι	иста
ακτινοβολία	зрачење
ακτινοβολία	радијација
ακτινοβολία	радиација
μένει	останува
έγκλημα	злосторство
έγκλημα	криминал
συσκευές	апарати
συσκευές	помагала
συσκευές	апарат
παράγουν	произведе
παράγουν	произведува
γιαν	јан
ρωμαίος	римска
ρωμαίος	римски
ρωμαίος	римјанин
ρωμαίος	роман
ρωμαίος	римско
ρωμαίος	ромео
τάφος	гроб
τάφος	гробница
τάφος	гробот
τάφος	гроб
σχολές	школи
σχολές	училишта
σχολές	факултети
σχολές	факултетите
ρίζα	корен
κοινωνικά	социјална
κοινωνικά	социјално
κοινωνικά	општествени
σωστό	десно
σωστό	надесно
σωστό	право
σωστό	точен
σωστό	исправи
σωστό	точна
κομητεία	жупанија
κομητεία	округот
κομητεία	округ
κεφάλαιο	поглавје
κεφάλαιο	престолнина
κεφάλαιο	капитал
αντιπροσωπεύει	представува
αντιπροσωπεύει	претставува
πνευματική	духовна
πνευματική	духовни
πνευματική	духовен
πνευματική	духовно
πνευματική	интелектуален
πνευματική	интелектуалец
πνευματική	интелектуална
πνευματική	интелектуално
εκδότης	издавач
εκδότης	уредник
εκδότης	уредувач
χρυσά	златно
χρυσά	златни
χρυσά	златна
χρυσά	златен
χρυσά	златен
χρυσά	златни
χρυσά	злато
παλαιότερη	најстари
παλαιότερη	најстара
παλαιότερη	најстариот
παλαιότερη	најстарата
παλαιότερη	најстар
παλαιότερη	постара
παλαιότερη	постари
παλαιότερη	постар
παλαιότερη	постаро
υψηλό	високиот
υψηλό	висок
υψηλό	висока
υψηλό	хај
υψηλό	високо
υψηλό	high
παραδοσιακό	традиционални
παραδοσιακό	традиционално
παραδοσιακό	традиционална
παραδοσιακό	традиционален
απόστολος	апостол
όρη	планини
αποφασίστηκε	одлучил
αποφασίστηκε	одлучено
αποφασίστηκε	одлучи
μοναδικός	единствени
μοναδικός	уникатни
μοναδικός	уникатна
μοναδικός	уникатно
μοναδικός	уникатен
παραλλαγή	варијанта
παραλλαγή	варијација
ξεκινάει	започнува
ξεκινάει	почнува
ξεκινάει	започнува
ξεκινάει	почнува
σκοτώθηκαν	убиена
σκοτώθηκαν	убиени
σκοτώθηκαν	убиено
σκοτώθηκαν	уби
σκοτώθηκαν	убиен
ζακ	зак
ζακ	зек
ζακ	зак
ζακ	зек
ζακ	жак
φινλανδία	финска
επιδρομές	рации
νωρίς	рано
νωρίς	ран
κατασκευάστηκαν	произведена
κατασκευάστηκαν	произведен
μάτι	окото
μάτι	око
μάτι	мати
μάτι	мети
συλλογικό	колективни
συλλογικό	колектив
συλλογικό	колективна
συλλογικό	колективно
συλλογικό	колективен
ύμνος	химна
ύμνος	химни
ύμνος	химна
κανάλια	канали
κανάλια	каналите
νορβηγία	норвешка
ορυκτά	минерали
ορυκτά	минерална
ορυκτά	минерални
ορυκτά	минерали
ιδιοκτησία	имот
ιδιοκτησία	сопственост
ιδιοκτησία	сопственост
ιδιοκτησία	сопственоста
ιδιοκτησία	сопствеништво
είσοδος	влезот
είσοδος	влез
είσοδος	влегување
είσοδος	влегуваме
είσοδος	влегува
είσοδος	внес
είσοδος	влезни
είσοδος	влез
είσοδος	ставка
είσοδος	влезна
σχηματίζεται	формирање
σχηματίζεται	формирајќи
σχηματίζεται	формирана
σχηματίζεται	формирани
σχηματίζεται	формиран
σχηματίζεται	формирано
αποσαφήνιση	разјаснува
αποσαφήνιση	разјасни
αποσαφήνιση	појаснување
αποσαφήνιση	разјаснување
αποσαφήνιση	појаснување
μεσόγειο	медитерански
μεσόγειο	медитеранска
αεροσκαφών	летала
αεροσκαφών	авионски
πάντοτε	секогаш
χάρτες	мапи
χάρτες	мапите
χάρτες	maps
χοσέ	жозе
χοσέ	хозе
χοσέ	жозе
χοσέ	хозе
χοσέ	хосе
ζηλανδία	зеланд
κυβερνήσεις	владите
κυβερνήσεις	влади
μαξ	max
μαξ	макс
επαγγελματίας	професионална
επαγγελματίας	професионален
επαγγελματίας	професионални
επαγγελματίας	професионално
επαγγελματίας	professional
επαγγελματίας	професионалец
επαγγελματίας	про
επαγγελματίας	pro
επαγγελματίας	професионалец
αντίστασης	отпорност
αντίστασης	отпорот
αντίστασης	отпор
συστηματική	систематски
συστηματική	систематско
κινητήρες	моторите
κινητήρες	мотори
ίχνη	траки
ίχνη	траги
ίχνη	трагови
ίχνη	траги
ίχνη	трагови
ίχνη	трага
μηνών	месеци
σπορ	sport
σπορ	спорт
σπορ	спортски
σπορ	спортови
σπορ	спортски
σπορ	спорт
διαστάσεων	димензионални
στρατηγική	стратегија
δημοσίευση	објавува
δημοσίευση	објавување
δημοσίευση	објави
δημοσίευση	публикација
δημοσίευση	публикацијата
δημοσίευση	објавена
δημοσίευση	објавени
δημοσίευση	објавено
δημοσίευση	објавен
δημοσίευση	објава
δημοσίευση	објавата
δημοσίευση	пост
δημοσίευση	објави
παρέμειναν	останаа
παρέμειναν	останале
παρέμειναν	остана
βιβλιοθήκες	библиотеките
βιβλιοθήκες	библиотеки
ανακοίνωση	соопштение
ανακοίνωση	комуникација
ανακοίνωση	комуникации
ευρύ	широко
ευρύ	широка
ευρύ	широк
ευρύ	широки
κόμικς	стрип
κόμικς	графичко
κόμικς	стрипови
κόμικς	стриповите
σκάφη	бродови
σκάφη	чамци
σκάφη	бродови
σκάφη	бродовите
σκάφη	бродови
γνώσεις	познавање
γνώσεις	знаењето
γνώσεις	познавања
γνώσεις	знаење
γνώσεις	знаења
απαραίτητη	неопходни
απαραίτητη	неопходно
απαραίτητη	неопходна
απαραίτητη	потребно
ζώνες	зони
ζώνες	појасите
ζώνες	појаси
ζώνες	појаси
θύματα	жртви
επιθετικός	агресивни
επιθετικός	агресивна
επιθετικός	агресивно
επιθετικός	агресивен
επιθετικός	напаѓачот
πετρούπολη	петербург
πετρούπολη	петерсбург
πνευματικά	духовна
πνευματικά	духовни
πνευματικά	духовен
πνευματικά	духовно
πνευματικά	духовно
πνευματικά	ментално
λαρούς	larousse
άλμα	скокни
άλμα	скок
άλμα	скокај
άλμα	скок
άλμα	алма
πολιτικούς	политичарите
πολιτικούς	политичари
δήλωση	изјава
δήλωση	соопштение
δήλωση	декларација
δήλωση	прогласување
δήλωση	декларацијата
θέα	поглед
ολυμπιάδα	олимпијада
ουκρανίας	украина
ουκρανίας	украински
ηθική	етички
ηθική	етика
ηθική	морални
ηθική	морален
ηθική	морално
ηθική	морал
ηθική	морал
ξύλο	дрво
ξύλο	дрва
ανάγνωση	читај
ανάγνωση	читам
ανάγνωση	читање
ανάγνωση	читајте
ανάγνωση	прочитај
ανάγνωση	прочитајте
ανάγνωση	четиво
ανάγνωση	читањето
ανάγνωση	читање
ναπολέοντα	наполеон
αλή	али
μαθηματικός	математичар
λίβερπουλ	ливерпул
μιλάνο	milan
μιλάνο	милано
μιλάνο	милан
μιλάνο	милано
νεότερη	помладо
νεότερη	помлади
νεότερη	помлад
νεότερη	помлада
νεότερη	понови
νεότερη	понова
θερμότητα	топлина
θερμότητα	жештина
γερουσία	сенат
γερουσία	сенатот
αε	рои
εξελίχθηκε	развиен
προσωπικού	персонал
λάρισα	лариса
λάρισα	лариса
προκαλώντας	предизвикувајќи
προκαλώντας	предизвикување
προκαλώντας	провоцира
αργά	доцна
αργά	доцни
αργά	касно
αργά	slow
αργά	спори
αργά	бавна
αργά	бавен
αργά	побавно
αργά	споро
αργά	бавно
αργά	пополека
αργά	полека
εκδήλωση	настан
εκδήλωση	настанот
αύγουστος	август
αύγουστος	аугуст
καθηγητές	професори
καθηγητές	учители
καθηγητές	наставниците
καθηγητές	наставници
τοπίο	пејсаж
τοπίο	пејсаж
τοπίο	сцена
τοπίο	пејзаж
επιτέθηκε	нападнати
επιτέθηκε	нападнат
επιτέθηκε	нападната
κανόνας	владеење
κανόνας	правило
ιερός	свето
ιερός	света
ιερός	свети
όγκο	волумен
όγκο	обем
όγκο	обемот
ξεχωριστά	одвоено
ξεχωριστά	одделно
ξεχωριστά	одделни
ξεχωριστά	одделно
ξεχωριστά	одвоени
μουσικούς	музичари
άγνωστη	непознати
άγνωστη	непознато
άγνωστη	непозната
άγνωστη	непознат
κατάλληλη	соодветни
κατάλληλη	соодветна
κατάλληλη	соодветен
κατάλληλη	соодветно
κατάλληλη	погодна
κατάλληλη	соодветен
κατάλληλη	погодно
εξώφυλλο	насловната
εξώφυλλο	корица
εξώφυλλο	насловна
σχεδιασμός	планирање
σχεδιασμός	дизајн
σχεδιασμός	проектирање
ναυτικών	морнари
ανθρώπινο	човечко
ανθρώπινο	човек
ανθρώπινο	човечки
ανθρώπινο	човечка
τζόουνς	јонс
τζόουνς	џонс
αντόνιο	antonio
αντόνιο	антонио
αδέλφια	браќа
σουδάν	судан
εύρος	опсег
θρησκευτικές	верски
θρησκευτικές	религиозен
θρησκευτικές	религиски
θρησκευτικές	религиозно
θρησκευτικές	религиозна
ευρεία	широки
ευρεία	широка
υποστηρικτές	поддржувачи
υποστηρικτές	приврзаници
υποστηρικτές	подржувачи
υποστηρικτές	поддржувачите
λατρεία	култ
λατρεία	секта
λατρεία	богослужба
σύμβαση	договор
σύμβαση	конвенција
κακή	bad
κακή	лоша
κακή	лош
κακή	лошо
κακή	бад
ορισμός	дефиниција
ιταλικό	италијанска
ιταλικό	италијански
ιταλικό	италијанецот
ιταλικό	италијанец
τυχαία	случаен
τυχαία	случајно
τυχαία	случајни
τυχαία	рандом
τυχαία	случајна
τυχαία	случајно
πετρελαίου	нафта
πετρελαίου	масло
πετρελαίου	петролеум
πετρελαίου	нафта
ντράμερ	тапанарот
ντράμερ	тапанар
ακρωτήριο	кејп
ακρωτήριο	наметка
μέτρησης	мерење
σικελίας	сицилија
μπάλα	топка
μπάλα	бал
μπάλα	топката
μπάλα	топче
ξεκινώντας	почнувам
ξεκινώντας	почнувајќи
ξεκινώντας	почетна
διαστήματα	интервали
συνεχείς	континуирано
συνεχείς	континуиран
συνεχείς	континуирани
επισκέπτες	посетители
επισκέπτες	гости
ορίζει	предвидува
ορίζει	дефинира
συσκευή	уред
συσκευή	направа
συσκευή	апарат
απαιτήσεις	услови
απαιτήσεις	барања
απαιτήσεις	барања
απαιτήσεις	тврдења
απαιτήσεις	претензии
απαιτήσεις	тврди
κονγκό	конго
κονγκό	конго
υδρογόνο	хидроген
πρόποδες	падини
εβραίοι	еврејка
εβραίοι	евреин
εβραίοι	еврејски
εβραίοι	евреј
εβραίοι	еврејско
εβραίοι	евреите
εβραίοι	евреи
κατάρρευση	слом
κατάρρευση	уривање
κατάρρευση	колапс
κινείται	преселба
κινείται	селење
κινείται	преместување
κινείται	движење
εισήχθη	воведена
εισήχθη	воведен
εισήχθη	воведе
εισήχθη	воведени
εισήχθη	примена
επιχείρημα	расправање
επιχείρημα	аргумент
τομέας	сектор
μετατροπή	конверзија
μετατροπή	претворена
μετατροπή	претворени
μετατροπή	преобрати
αστρονόμος	астроном
εισόδου	влез
εισόδου	ставка
εισόδου	влезна
εισόδου	внес
εισόδου	влезни
γεωγραφικά	географски
γεωγραφικά	географски
αικατερίνη	кетрин
αικατερίνη	катрин
αικατερίνη	катерин
αικατερίνη	катерина
επιχειρήματα	аргументи
ανθολογία	антологија
ανθολογία	антологијата
φρουρά	стража
φρουρά	гарда
φρουρά	стражар
φρουρά	чувар
άγνωστα	непознати
άγνωστα	непознато
άγνωστα	непозната
άγνωστα	непознат
προσωπικότητες	личности
προσωπικότητες	особини
επιπρόσθετα	дополнително
εκπομπές	емисиите
άραβες	арапи
άραβες	арапите
όπλο	оружје
όπλο	пушка
όπλο	пиштол
νεαρός	младите
νεαρός	млад
νεαρός	јанг
νεαρός	young
νεαρός	млади
νεαρός	млада
γραμμένο	напишано
γραμμένο	напишани
γραμμένο	пишано
γραμμένο	пишан
πέτρα	камени
πέτρα	камен
πέτρα	стон
πέτρα	петра
πέτρα	рок
πέτρα	камен
πέτρα	карпа
δολοφονήθηκε	убиена
δολοφονήθηκε	убиени
δολοφονήθηκε	убивани
δολοφονήθηκε	убиен
διάδοση	ширење
κύκλους	кругови
κύκλους	циклуси
φτάνοντας	пристигнуваат
φτάνοντας	пристигнува
φτάνοντας	достигнувајќи
θείο	сулфур
θείο	сулфур
ανταλλαγή	трговија
ανταλλαγή	размена
ανταλλαγή	замена
λέων	лав
λέων	лион
λέων	леон
λέων	лео
λέων	лав
αναγνωρίστηκε	идентификуван
αναγνωρίστηκε	идентификувани
αναγνωρίστηκε	идентификувано
αναγνωρίστηκε	препознаат
αναγνωρίστηκε	призната
αναγνωρίστηκε	признат
αναγνωρίστηκε	препознаен
νίκο	нико
νίκο	нико
καταστήματα	продавници
καταστήματα	продавници
παρατήρηση	набљудување
μόνιμη	траен
μόνιμη	трајна
μόνιμη	трајно
μόνιμη	постојана
μόνιμη	постојан
κροατία	хрватска
πρωταθλητή	шампион
πρωταθλητή	првак
πρωταθλητή	шампион
πρωταθλητή	champion
δευτερόλεπτα	секунди
τζων	јован
τζων	џон
δομές	структури
δομές	градби
αρχιτέκτονα	архитект
ουίλιαμ	вилијам
ντελ	дел
ντελ	del
ντελ	дел
αμυντικός	бранител
αμυντικός	одбрамбена
αμυντικός	одбранбен
αμυντικός	одбранбена
ηχώ	ехо
αγώνισμα	настан
αγώνισμα	настанот
απόσπασμα	цитат
απόσπασμα	извадок
απόσπασμα	оттргнување
απόσπασμα	одред
απόσπασμα	извлекување
απόσπασμα	екстракт
πέναλτι	пенал
κατανόηση	разбирањето
κατανόηση	сфаќање
κατανόηση	разбирање
ναζί	нацистичка
ναζί	нацистички
ναζί	нацист
ναζί	наци
ναζί	нацисти
κορυφές	најмногу
κορυφές	врвови
αστέρια	ѕвезди
δημοσιεύτηκε	објавена
δημοσιεύτηκε	објавени
δημοσιεύτηκε	објавено
δημοσιεύτηκε	објавен
δημοσιεύτηκε	објавено
λευκή	бело
λευκή	бели
λευκή	бел
λευκή	бела
λευκή	вајт
συγγενείς	роднини
συγγενείς	роднините
λουί	луј
λουί	луис
διαταγή	ред
διαταγή	наредба
διαταγή	нарачка
διαταγή	редослед
πολιτιστική	културни
πολιτιστική	културен
πολιτιστική	културно
πολιτιστική	културна
περιορισμένη	ограничено
περιορισμένη	лимитирана
περιορισμένη	ограничена
περιορισμένη	ограничен
περιορισμένη	ограничени
περιορισμένη	ограничено
περιορισμένη	ограничен
μετακίνηση	помести
μετακίνηση	премести
μετακίνηση	преселба
μετακίνηση	селење
μετακίνηση	преместување
μετακίνηση	движење
μετακίνηση	движење
ουάσινγκτον	вашингтон
πω	кажи
πω	речи
κύματα	бранови
αναπτυχθεί	развиени
αναπτυχθεί	развиено
αναπτυχθεί	развиен
αναπτυχθεί	развиена
φύλλο	лист
φύλλο	чаршав
φύλλο	табела
ελληνιστική	хеленистички
εφαρμόζεται	применет
εφαρμόζεται	применети
εφαρμόζεται	применета
εφαρμόζεται	применливи
μεταφράσεις	преводи
μικρότερες	помала
μικρότερες	помало
μικρότερες	помал
μικρότερες	помали
περιλαμβάνεται	вклучени
