メチル	মিথাইল
敬虔	পুণ্য
ゴキブリ	তেলাপোকা
エチレン	ইথাইল
パスタ	পাস্তা
スパム	স্প্যাম
スパム	অযাচিত
クラスメート	সহপাঠী
ガロン	গ্যালন
オゾン	ওজোন
発芽	অঙ্কুরোদগম
マテリアル	উপাদান
マテリアル	সামগ্রী
網膜	রেটিনা
ハジ	হাজি
ハジ	হাজী
アナスタシア	আনাস্তাসিয়া
ハッカー	হ্যাকার
ハッカー	হ্যাকারদের
ハッカー	হ্যাকাররা
キャッツ	বিড়াল
キャッツ	বেড়াল
再帰	পুনরাবৃত্তির
性欲	কাম
傲慢	প্রাইড
傲慢	অহংকার
傲慢	গর্ব
傲慢	গর্ববোধ
傲慢	অহংকারী
傲慢	অহংকার
傲慢	ঔদ্ধত্য
クッション	কুশন
エゴ	ego
ひざ	হাঁটুতে
ひざ	হাঁটু
ひざ	হাটুর
ディア	প্রিয়
ディア	ডিয়ার
キャベツ	বাঁধাকপি
熱意	উদ্যম
受刑者	আসামী
ランタン	লন্ঠন
セレン	সেলেনিয়াম
セビリア	সেভিলা
セビリア	সেভিয়া
セビリア	সেভিল
ジープ	জীপ
偏差	বক
折りたたみ	ভাঁজ
甘味	মিষ্ট
甘味	মধুর
甘味	মিষ্টতা
痙攣	খিচুনি
痙攣	খিঁচুনি
オイラー	অয়লার
模写	প্রজনন
泳ぐ	সাঁতার
フェデラー	ফেদেরার
アブドゥッラー	abdullah
アブドゥッラー	আব্দুল্লাহ
アブドゥッラー	আবদুল্লাহ
田野	তানোর
マラガ	মালাগা
飢え	ক্ষুধা
寄生虫	পরজীবী
失明	অন্ধত্ব
マティアス	mathias
ビター	তেতো
ビター	তিক্ত
ノーム	gnome
ノーム	গনোম
ハンバーガー	হ্যামবার্গার
ハンバーガー	বার্গার
トライアスロン	ট্রায়াথলন
家賃	ভাড়া
家賃	ভাড়ার
オバケ	ভুতুড়ে
アフガン	আফগান
ロレンソ	lorenzo
ゲーリー	গ্যারি
フリードマン	ফ্রিডম্যান
スリラー	থ্রিলার
アウトドア	আউটডোর
アウトドア	বহিরঙ্গন
ピープル	লোকেরা
ピープル	লোকজন
ピープル	মানুষ
ピープル	জনগণ
ピープル	ব্যক্তিগণ
ピープル	লোকে
吉林省	জিলিন
ブロス	ঝোল
ブロス	ব্রস
ビュー	প্রদর্শন
ビュー	দেখুন
ビュー	ভিউ
ビュー	দর্শন
クローム	chrome
クローム	ক্রোম
グレイス	গ্রেস
グレイス	অনুগ্রহ
自閉症	অটিজম
プレゼンテーション	উপস্থাপনা
ネオン	নিয়ন
電話機	ফোন
電話機	টেলিফোন
利息	সুদ
利息	আগ্রহ
リバプール	লিভারপুল
インサイド	ভেতর
インサイド	ভিতর
インサイド	অভ্যন্তরে
インサイド	ভিতরে
インサイド	ভেতরে
バルーン	বেলুন
ファール	ফাউল
ヒーター	হিটার
ステファニー	স্টেফানি
ディスコグラフィ	ডিস্কতালিকা
ひじ	কনুই
髑髏	খুলি
数式	ফর্মুলা
超音波	আল্ট্রাসাউন্ড
寺井	তেরাই
加速器	নিষ্ক্রিয়
メシア	মসীহ
威嚇	হুমকি
威嚇	হুমকির
威嚇	হুমকি
ヴァレリー	ভ্যালেরি
アイリーン	আইরিন
散逸	বিক্ষিপ্ত
アルビオン	অ্যালবিয়ন
エコノミスト	অর্থনীতিবিদ
中空	ফাঁপা
ルピー	রুপি
ネヴィル	নেভিল
イリヤ	ইলিয়া
花びら	পাপড়ি
花びら	পাপড়ির
花びら	পাপড়ি
茶室	teahouse
イートン	ইটন
ライフスタイル	লাইফস্টাইল
ライフスタイル	জীবনধারা
アイズ	চোখে
アイズ	চোখের
アイズ	চোখ
アイズ	চোখকে
寝室	বেডরুম
寝室	বেডরুম
セルジオ	সার্জিও
シュワルツ	শোয়ার্জ
コンパニオン	সহচর
算定	গণনা
ハゲ	টাক
イサベル	ইসাবেল
イサベル	ইসাবেলা
シーモア	seymour
織機	তাঁত
ディリ	দিলি
渦巻	সর্পিল
ボーア	বোর
摂氏	সেলসিয়াস
センサ	সেন্সর
吸着	adsorption
夕焼け	সূর্যাস্ত
無限大	অসীম
無限大	অনন্ত
トラキア	থ্রেস
割る	ভাগ
サリバン	sullivan
ポーク	শুয়োরের
ノール	নর্ড
カキ	কাকি
カキ	ঝিনুক
カキ	ঝিনুক
