option	opsyon
unterhaltung	libangan
unterhaltung	entertainment
festgenommen	naaresto
festgenommen	arestado
festgenommen	inaresto
zukünftige	kinabukasan
zukünftige	hinaharap
allan	allan
gutenberg	gutenberg
kosmos	cosmos
kontinent	kalapagang
kontinent	kontinente
nationalparks	parke
nationalparks	parks
aufgeführten	nakalista
aufgeführten	inilista
zusammenhänge	contexts
castro	castro
götz	götz
happy	masaya
föderation	pederasyon
reg	reg
widmet	nakatutok
widmet	dedikado
symptome	sintomas
aktiver	active
aktiver	aktibong
aktiver	aktibo
fluggesellschaft	carrier
fluggesellschaft	airline
fluggesellschaft	airlines
hopkins	hopkins
nfl	nfl
rohr	pipe
rohr	tubo
danny	danny
maier	maier
dean	dean
ringe	singsing
ringe	rings
neutrale	neutral
liberale	liberal
ausgedrückt	ipinahayag
ausgedrückt	nagpahayag
ausgedrückt	nakiramay
zell	zell
albanien	albanian
albanien	albanya
albanien	albania
albanien	tirana
angreifer	jeanne
durchzusetzen	ipatupad
valencia	valencia
umgehend	kaagad
umgehend	agad
unterzeichnet	pinirmahan
alexandre	alexandre
alexandre	alejandro
alexandre	alexander
vertreibung	displaced
vertreibung	displacement
toni	toni
schlachten	pagpatay
schlachten	patayan
schlachten	battles
marmor	marmol
kant	kant
längste	pinakamatagal
katze	kuting
katze	kitty
katze	pusa
katze	cat
brd	frg
judith	judith
erweiterungen	extension
erweiterungen	palugit
adalbert	adalberto
sternbild	konstelasyon
bedeutungen	kahulugan
lok	lok
justus	justus
angriffen	umaatake
objekten	bagay
monster	halimaw
kinofilm	pelikula
kinofilm	sine
kinofilm	movie
kinofilm	sinehan
kinofilm	cinema
call	tumawag
call	tawagan
call	tawag
betreffen	makakaapekto
anbindung	koneksyon
landau	landau
statistiken	istatistika
statistiken	istatistika
statistiken	stats
statistiken	statistic
pos	pos
kulturgeschichte	sibilisasyon
kulturgeschichte	kabihasnan
sorten	grades
sorten	grado
sorten	varieties
sorten	variety
liberal	liberal
march	marso
paula	paula
