மெத்தை	ที่นอน
கனமாக	หนัก
டோரஸ்	ทอร์เรส
ஆச்சர்யம்	เซอร์ไพรส์
கானோ	kano
பெரென்	perrin
கவ்வி	ประแจ
இவ்வுலகின்	กิเลส
பிளையர்	ใบปลิว
பயமும்	กลัว
பயமும்	fear
துவங்கு	เริ่ม
துவங்கு	ต่อ
அனுப்பு	ส่ง
பிணங்கள்	ร่างกาย
கேள்விக்கும்	คำถาม
குத்தினார்	แทง
நசுக்கி	บดขยี้
நசுக்கி	ขยี้
முத்தமிடும்	จูบ
இறால்கள்	กุ้ง
அமர்னா	amarna
ஏவியேட்டர்	aviator
தவறவிட்ட	คิดถึง
தவறவிட்ட	พลาด
லேப்டாப்	แล็ปท็อป
லேப்டாப்	แล็ปท็อป
ஊழியர்களுக்கான	บุคลากร
சங்கடம்	เขิน
சங்கடம்	อาย
குத்தல்	แทง
பிளெண்டர்	ปั่น
ஹிஸ்டிடின்	histidine
முற்காப்பு	prophylaxis
ஒளிவீச்சு	พลุ
பிளான்ட்	จืด
வசீகரம்	เสน่ห์
குட்பை	อำลา
குட்பை	goodbye
குட்பை	ลา
உடைத்தது	แตก
உடைத்தது	พัง
உடைத்தது	หัก
ராக்கெட்டுகள்	จรวด
மகிக்	magik
மதிப்பிடவும்	อัตรา
பயத்தில்	สยอง
முடங்கி	อัมพาต
வாட	เช่า
செலாசி	selassie
கூப்	รัฐประหาร
கூப்	เล้า
டிங்	ติง
வேலைவாய்ப்புகள்	งาน
நோக்	nok
திருத்து	แก้ไข
கூழாங்கல்	กรวด
தண்டாயுதம்	เมส
தண்டாயுதம்	เมซ
ஸ்டிக்	ติด
வால்வ்	วาล์ว
சக்சினிக்	succinic
ஸ்லிம்	slim
நண்பனும்	friend
நண்பனும்	เพื่อน
மனோர்	คฤหาสน์
அதா	adha
திறந்துள்ளது	เปิด
போர்டிங்	ประจำ
உருவாக்குக	สร้าง
கிளட்ச்	คลัช
கிளட்ச்	คลัตช์
ஐன்சுடைனியம்	einsteinium
ட்விஸ்ட்	บิด
ஈயத்தை	หนัก
அறியாமையை	งมงาย
என்னுடையது	เหมือง
பிக்செல்	พิกเซล
நம்பு	ใจ
நம்பு	ไว้ใจ
எம்பிஏ	mba
பரோஸ்	barros
ஓய்வெடுக்க	relax
ஆங்கர்	สมอ
ஆங்கர்	สม
கடுஞ்	ถดถอย
அழைக்கப்பட்டார்கள்	เชิญ
இரைபோசோம்	ribosome
