gloria	gloria
dumas	dumas
meele	minte
meele	mintea
hare	hare
ülalpool	deasupra
pre	pre
tõestus	dovezi
tõestus	dovada
tõestus	dovada
tor	tor
kokkupuude	expunere
kokkupuude	expunerea
kasutuselevõtt	desfasurare
kasutuselevõtt	desfasurarea
stress	stres
stress	stress
stress	stresul
kahn	kahn
putnam	putnam
lode	lode
jalakäijate	pieton
jalakäijate	pietoni
detaili	detaliu
detaili	detalii
hoiak	atitudinea
hoiak	atitudine
hoiak	postura
hoiak	postura
spektroskoopia	spectroscopie
karp	casuta
karp	cutie
karp	cutia
karp	carton
karp	cutie
gay	homosexual
gay	homo
gay	gay
pausi	pauza
pausi	pauza
hoidmine	pastrarea
hoidmine	holding
koostisosa	constitutiv
koostisosa	ingredientul
koostisosa	ingredient
tõmbab	atrage
stern	pupa
stern	stern
erosiooni	eroziune
merkel	merkel
kuulsus	celebritate
kuulsus	celebritatea
kuulsus	faima
kuulsus	faima
kuulsus	fame
elise	elise
kong	kong
attila	attila
duncan	duncan
amour	amour
braun	braun
issn	issn
tehingu	tranzactia
tehingu	tranzactie
uuendused	inovare
uuendused	inovarea
uuendused	actualizari
uuendused	actualizarile
kasutegur	randament
kasutegur	eficienta
kasutegur	eficienta
kasutegur	eficienta
horisontaalne	orizontal
horisontaalne	orizontale
horisontaalne	orizontala
kafka	kafka
seire	monitorizarea
seire	monitorizare
mongolid	mongoli
mongolid	mongolilor
mongolid	mongolii
vabariiklaste	republicani
vabariiklaste	republican
vabariiklaste	republicane
vabariiklaste	republicana
terminid	termenii
terminid	termeni
regulatsioon	regulament
regulatsioon	regulamentul
regulatsioon	reglementare
regulatsioon	reglementarea
spetsiifiline	specific
spetsiifiline	specifica
spetsiifiline	specifice
sügavale	adanc
sügavale	profund
sügavale	adanca
sügavale	adanc
dets	dec
antenni	antena
antenni	antena
ios	ios
castel	castel
ohvreid	victime
ohvreid	victimele
keeruliseks	complica
keeruliseks	complica
salzburgi	salzburg
stabiilsed	stabil
stabiilsed	stabile
stabiilsed	grajd
stabiilsed	stabila
murdoch	murdoch
iha	dorinta
iha	dorinta
iha	dorinta
iha	pofta
iha	pofta
tunded	sentimente
tunded	sentimentele
pantvangi	ostatici
pantvangi	ostatec
pantvangi	ostatic
alvar	alvar
vaadeldud	observate
vaadeldud	observat
vaadeldud	observata
määramata	nedeterminat
määramata	nedeterminata
määramata	nedeterminata
määramata	nedefinit
määramata	nedefinita
määramata	nespecificate
golf	golf
golf	golful
impulss	pulsul
impulss	puls
impulss	impuls
jackie	jackie
käsud	comenzi
käsud	ordine
käsud	ordinele
käsud	comenzi
blake	blake
transistor	tranzistor
troopiline	tropical
troopiline	tropicala
troopiline	tropicale
alu	alu
hobuseid	cai
hobuseid	cailor
hobuseid	caii
martínez	martínez
lihased	muschi
lihased	muschii
teenindab	serveste
teenindab	serveste
trento	trento
kahjustatud	deteriorat
kahjustatud	deteriorata
kahjustatud	avariate
kahjustatud	avariat
kahjustatud	deteriorate
côte	côte
ulla	ulla
jurisdiktsiooni	competenta
määratlus	definitie
määratlus	definirea
määratlus	definitia
lugemist	citirea
lugemist	citire
lugemist	citesc
lugemist	citind
lugemist	lectura
alejandro	alejandro
bali	bali
