ফ্রেডরিক	فردریک
দরিয়া	داریا
ধর্মযাজক	راهب
ধর্মযাজক	پاستور
যক্ষ্মা	سل
অ্যানালগ	قیاسی
অ্যানালগ	آنالوگ
অ্যানালগ	قیاسی
অয়েল	نفت
অয়েল	اویل
অয়েল	روغن
কলিন্স	کالینز
কারিনা	کرینا
কারিনা	کارینا
বোটানিক্যাল	گیاهشناسی
ফ্রেজার	فریزر
খুলি	جمجمه
বর্ণালী	طیف
পাঙ্ক	ولگرد
পাঙ্ক	پانک
স্পর্শকাতর	حساس
স্পর্শকাতর	حساسی
সোয়াহিলি	سواحلی
বারমুডা	برمودا
ক্রোধ	عصبانیت
ক্রোধ	غضب
ক্রোধ	خشم
ক্রোধ	غضب
চেস্টার	چستر
জার্মানদের	آلمانیا
জার্মানদের	آلمانیها
জার্মানদের	آلمانها
পুরা	pura
বেল্ট	کمربند
আসলাম	اسلم
চুম্বক	مغناطیس
চুম্বক	آهنربا
চুম্বক	آهنربا
লস্কর	لاسکر
রুজভেল্ট	روزولت
মুবারক	مبارک
মুবারক	mubarak
আসবাবপত্র	اثاث
আসবাবপত্র	اثاثیه
আসবাবপত্র	مبل
আসবাবপত্র	مبلمان
মেহেদী	مهدی
মেহেদী	mehdi
ফেরেশতা	فرشتگان
মূর্ধন্য	retroflex
কোয়া	کوآ
ডার	der
আজিম	عظیم
আকাঙ্ক্ষা	اشتیاق
সেশন	فصل
সেশন	جلسه
সেশন	نشست
সেশন	نشستهای
সেশন	جلسات
কাশি	سرفه
কাশি	سرفه
শখ	سرگرمی
শখ	hobby
শখ	سرگرمی
তাইপে	تایپه
কই	koi
প্রতিবেদক	گزارشگر
পুণ্য	پرهیزگاری
পুণ্য	تقوای
পুণ্য	پرهیزکاری
পুণ্য	پرهیزگار
পুণ্য	تقوا
প্রলেপ	دورانی
মেকানিক্যাল	مکانیک
মেকানিক্যাল	mechanical
মেকানিক্যাল	مکانیکی
শা	شا
শা	sha
মজনু	مجنون
গার্সিয়া	گارسیا
গার্সিয়া	گارسیا
ক্রেতাদের	خریداران
কারাগারের	زندان
হ্যালো	الو
হ্যালো	سلام
অভূতপূর্ব	سابقه
হাইতি	هائیتی
অ্যান্টি	ضد
ফার্নান্দো	فرناندو
লিবার্টি	لیبرتی
নিশান	پرچم
অপ্রত্যাশিত	غیرمنتظره
রলিন্স	رولینز
রলিন্স	رالینز
রলিন্স	راولینز
ঐকমত্য	اجماع
হং	هونگ
হং	هوانگ
হং	هانگ
হং	هنگ
হীরক	الماس
হীরক	دیاموند
হীরক	الماسی
হীরক	دایموند
মুজাফফর	مظفر
রম	رام
রম	rom
হার্ডি	اردی
হার্ডি	هاردی
পুনর্বাসন	بازپروری
পুনর্বাসন	توانبخشی
পুনর্বাসন	اعاده
পুনর্বাসন	نوسازی
পুনর্বাসন	توانبخشی
টলেমি	بطلمیوس
নীরব	صامت
নীরব	سایلنت
নীরব	خاموش
নীরব	خموش
নীরব	لاله
নীরব	لال
নীরব	بیصدا
ট্রাঙ্ক	تنه
প্যারেড	رژه
গার্হস্থ্য	اهلی
কর্মশালা	کارگاه
ফ্রিকোয়েন্সি	فرکانسی
ফ্রিকোয়েন্সি	فرکانس
ফ্রিকোয়েন্সি	بسامد
স্ট্যাম্প	مهر
স্ট্যাম্প	بکوب
স্ট্যাম্প	تمبر
স্ট্যাম্প	پایت
ডার্বি	داربی
ডার্বি	دربی
ডার্বি	داربی
বার্টন	برتون
বার্টন	بارتون
জাম্বিয়া	گامبیا
জাম্বিয়া	زامبیا
চৌ	چوی
চৌ	چویی
বেলে	بل
মন্টি	مونته
মন্টি	مونتی
মন্টি	مانتی
ফেজ	مرحله
ফেজ	فازی
ফেজ	فاز
আর্মস্ট্রং	آرمسترانگ
কাব্যিক	شاعرانه
অট্টালিকা	عمارت
সিড	ساید
সিড	سید
পাপড়ি	گلبرگ
পাপড়ি	گلبرگ
তেও	تئو
লয়	اختتامیه
শ্বসন	استنشاق
শ্বসন	تنفس
সালিম	سلیم
হ্যান্ডবল	هندبال
হজম	گوارش
হজম	هضم
হজম	چکیده
হজম	هضم
নারীবাদ	فمینیسم
বিঘ্ন	وقفه
হরতাল	اعتصاب
হ্যামিলটন	همیلتون
নিকিতা	نیکیتا
ব্যঙ্গ	طعنه
ব্যঙ্গ	کنایه
জেনি	ژنی
জেনি	جنی
শিকারি	هانتر
শিকারি	شکارچی
ঝগড়া	نزاع
ঝগড়া	مشاجره
ঝগড়া	ستیزه
ঝগড়া	بجنگ
আউয়াল	حصه
রুমি	مولوی
রুমি	رومی
স্থিতিশীলতা	پایدارسازی
স্থিতিশীলতা	تثبیت
ফতোয়া	فتوا
পাচ্ছে	شدن
মেধার	لیاقت
মেধার	شایستگی
মিনা	mina
মিনা	مینا
রিয়ার	عقب
পর্যবেক্ষন	مشاهده
পর্যবেক্ষন	رصد
আদনান	عدنان
আদনান	adnan
সালভাদোর	سالوادور
ন্যাটো	ناتو
কমিক্স	کمیک
লিন্ডসে	لیندزی
শর্তাবলী	شروط
শর্তাবলী	اصطلاحات
শর্তাবলী	شرایط
কবুতর	کبوتری
কবুতর	کبوتر
তাজা	تازه
টিলা	بلندی
কিলো	کیلو
ইউরিয়া	اوره
ভক্তরা	هواداران
ভক্তরা	هوادارن
ভক্তরা	طرفداران
মাছি	پرواز
স্ট্রিপ	استریپ
পেরি	پری
চাকার	ویلر
ফারাহ	فراه
ফারাহ	فرح
ভিজে	خیس
ভিজে	مرطوب
ভিজে	خیس
শিমলা	شیملا
ম্যাকডোনাল্ড	مکدونالد
দৃঢ়ভাবে	شدیدا
দৃঢ়ভাবে	ثابت
দৃঢ়ভাবে	یکنواخت
জাং	یانگ
জাং	جانگ
জাং	جونگ
জাং	یونگ
জুতো	کفش
জুতো	کفش
অচেনা	غریبه
অচেনা	غریبه
শুমচা	pitta
পেন্সিল	مداد
পেন্সিল	مدادی
পেন্সিল	مداد
আন্তঃ	اینتر
চ্যাট	گپ
চ্যাট	گپی
গার্ডিয়ান	گاردین
ব্যানার	بنر
ব্যানার	بیرق
হাজারো	هزاران
হাজারো	هزارها
এমএসসি	msc
ওয়্যারলেস	بیسیم
ওয়্যারলেস	وایرلس
নওয়াজ	نواز
চোয়াল	فک
চোয়াল	آرواره
চোয়াল	چونه
নির্বাণ	نیروانا
স্টোকস	استوکس
আসামী	محکوم
অ্যাঙ্গোলার	آنگولایی
ওয়াজ	نواز
সার্জারি	جراحی
প্রতিবন্ধকতা	موانعی
প্রতিবন্ধকতা	موانع
কার্টিস	کورتیس
ডিএসসি	dsc
প্রেমিকা	lover
ফাইটার	رزمنده
ফাইটার	جنگنده
ফাইটার	مبارز
ফাইটার	مبارزان
গুজ	غاز
গুজ	گوس
রেডিয়াম	رادیوم
এহসান	احسان
এহসান	ehsan
রসুন	سیر
বেলিজ	بلیز
ক্যালকুলেটর	محاسبه
গ্রিড	توری
গ্রিড	گرید
গ্রিড	شبکه
বিজেপির	bjp
মনোবিজ্ঞানী	روانپزشک
সহস্রাব্দ	هزاره
ব্যবসায়ীরা	تاجران
ব্যবসায়ীরা	بازرگان
ব্যবসায়ীরা	تجار
ব্যবসায়ীরা	بازرگانان
মাইক্রোওয়েভ	مایکروویو
ওসাকা	اوساکا
দীপিকা	دیپیکا
ইথানল	اتانول
অবয়ব	ظاهر
কামড়ে	گاز
উল্কা	شهاب
উল্কা	شهابی
বেলুচিস্তান	بلوچستان
হাশেম	هاشم
হায়	haye
লিংকন	لینکن
লিংকন	لینکولن
লিংকন	لینکلن
ক্লান্ত	خسته
সাজ্জাদ	سجاد
পট	قوری
পট	دیگ
ভয়েজার	وویجر
গেলো	وقتی
গেলো	چون
কিউবান	کوبایی
সিঙ্গেল	تکی
সিঙ্গেল	single
সিঙ্গেল	تک
গুস্তাভ	گوستاو
ভাঙ্গার	شکستن
ভাঙ্গার	شکنی
ডজন	دهها
ডজন	چندین
ডজন	دوجین
ডজন	دوجین
মিথানল	متانول
দেশগুলি	کشورها
বঙ্গে	بنگال
ব্রুক	بروک
বাসে	اتوبوس
বাসে	bus
অস্ট্রিয়ান	اتریش
অস্ট্রিয়ান	اتریشی
পরীক্ষিত	آزموده
ইউরেনাস	اورانوس
লিডস	لیدز
চিন্তিত	نگران
চিন্তিত	دلواپس
চিন্তিত	نگران
মথ	شاپرک
বাজি	شرط
এয়ারক্রাফট	هواپیمای
এয়ারক্রাফট	هواگرد
সিম্পসন	سیمپسون
বুদ্ধির	هوش
বুদ্ধির	هوشی
শর্টস	شلوارک
কম্পক	لرزاننده
রেনে	رنی
রেনে	رنه
রেনে	رنه
স্টুডেন্ট	محصل
স্টুডেন্ট	شاگرد
স্টুডেন্ট	دانشجو
শকুন্তলা	شکونتلا
কার্বি	کربی
জোসেপ	جوزپ
মোম	مومی
মোম	موم
মোম	واکس
মোম	وکس
যুদ্ধক্ষেত্র	کلاهک
যথেষ্ঠ	سو
স্কেটিং	اسکیت
স্কেটিং	پاتیناژ
ইচ্ছাকৃতভাবে	عمدا
ইচ্ছাকৃতভাবে	عمد
ইচ্ছাকৃতভাবে	عمداً
তৃষ্ণা	تشنه
তৃষ্ণা	عطش
তৃষ্ণা	تشنگی
জোশ	جاش
ভগ্নাংশ	جهت
ভগ্নাংশ	قبله
ভগ্নাংশ	شناور
ভগ্নাংশ	اعشاری
ভগ্নাংশ	کسر
সেক্রেটারী	دبیر
সেক্রেটারী	منشی
সাবিত্রী	ساویتری
নিরক্ষীয়	استوایی
আদা	زنجبیل
পারভীন	پروین
সিগমা	سیگما
লাও	چیدمان
তুষারপাত	اسنو
তুষারপাত	برف
তুষারপাত	برفی
মোরগ	خروس
মোরগ	کیر
ইলা	ایلا
ওয়েলশ	ولش
ওয়েলশ	ولز
বালু	شن
বালু	سند
বালু	ماسه
বালু	شنی
মঈন	معین
কিল	کیل
মাইলস	مایل
মাইলস	مایلز
জীবনকাল	عمری
জীবনকাল	عمره
জাবাল	جبل
ক্রমিক	متوالی
ক্রমিক	سریالی
ক্রমিক	سریالهای
ফিতর	فطر
কার্পেট	فرش
কার্পেট	موکت
কার্পেট	قالی
কার্পেট	قالیچه
ওয়াহাব	وهاب
ব্রিস্টল	بریستول
এগার	یازده
এগার	eleven
সার্কুলার	دایره
আরউইন	ایروین
আরউইন	اروین
আরউইন	آروین
বাংলো	بنگله
রেস্তোরাঁ	رستورانی
রেস্তোরাঁ	رستوران
ইউনূস	یونس
দেউলিয়া	ورشکستگی
দেউলিয়া	ورشکسته
দেউলিয়া	ورشکستگی
রমন	رامان
আকর্ষনীয়	آراسته
আকর্ষনীয়	جذاب
অচল	شکسته
জুলি	جولی
ঘাড়ে	نک
ঘাড়ে	گردن
টোগো	توگو
দাঁড়ানো	قیام
দাঁড়ানো	ایستاده
দাঁড়ানো	ایستادن
ম্যাসিডনের	مقدونی
ব্যাজ	نشان
পর্যায়ক্রমিক	دورهای
পর্যায়ক্রমিক	متناوب
থেরাপি	درمانی
থেরাপি	معالجه
থেরাপি	درمان
সৌন্দর্য্য	زیبایی
সৌন্দর্য্য	زیبای
আইটেম	فقره
আইটেম	موارد
পাইপ	لوله
পিক	پیکاپ
পিক	اوج
পিক	قله
পিক	برداشتن
ক্ষমতাশালী	توانا
ক্ষমতাশালী	نیرومند
ক্ষমতাশালী	پرقدرت
ক্ষমতাশালী	قدرتمند
পরিমার্জন	بازبینی
থর	تور
থর	ثور
ব্রাঞ্চ	چاشت
রুস্তম	رستم
উইলার্ড	ویلارد
বোতল	بطری
বোতল	بطری
বিষয়গুলি	موضوعات
বিষয়গুলি	موضوعاتی
বিষয়গুলি	مسائل
কোলহাপুর	کولاپور
ডুব	غواصی
ডুব	شیرجه
ডেনভার	دنور
হ্যাক	هک
হ্যাক	هک
হ্যাক	hack
কেইন	کین
বেলজিয়ান	بلژیکی
বেলজিয়ান	بلژیک
কার্ডিফ	کاردیف
বিএসএফ	bsf
প্রুশিয়া	پروس
স্ক্যান	اسکن
স্ক্যান	پویش
ফেসবুকের	facebook
ফেসবুকের	فیسبوک
ফেসবুকের	فیس
মির	میر
মির	mir
পালনকর্তা	لرد
পালনকর্তা	پروردگارا
জিন্দাবাদ	جوانی
ব্লেড	بلید
ব্লেড	تیغه
ব্লেড	تیغ
নাসরিন	نسرین
ব্রুনো	برونو
ম্যাগনেসিয়াম	تنگستن
ম্যাগনেসিয়াম	منیزیم
থ্রাশ	ترش
কসাই	قصاب
কসাই	قصابی
মোহামেদ	محمد
বেতনের	حقوق
লোভ	طمع
লোভ	حرص
নাইজার	نیجر
নেভিগেশন	ناوبری
ত্রুটিপূর্ণ	فاسد
ত্রুটিপূর্ণ	معیوب
ত্রুটিপূর্ণ	بدشکل
স্পন্সর	اسپانسر
স্পন্সর	مولای
স্পন্সর	حامی
নিযুক্তি	تعامل
নিযুক্তি	نامزدی
সকালের	صبح
সকালের	بامداد
খামারে	مزارع
লাজুক	خجالتی
নাকের	دماغ
নাকের	بینی
হিথ	هیت
খালা	عمه
খালা	خاله
খালা	عمه
যৌনাঙ্গ	اندامش
গুয়াতেমালার	گواتمالا
কর্মচারীরা	کارمندان
কর্মচারীরা	کارکنان
কর্মচারীরা	کارمند
অনুকূলে	لطفی
ওয়ার্কশপ	کارگاه
লাক্স	لوکس
সর্পিল	مارپیچ
সর্পিল	مارپیچی
সুসান	سوسن
সুসান	سوزان
স্টার্স	ستارگان
হ্যামলেট	هملت
তাকিয়ে	نگاه
তাকিয়ে	نظاره
তাকিয়ে	خیره
বিলম্বিত	تعویق
ইনিয়েস্তা	اینیستا
রিমিক্স	ریمیکس
তালেবান	طالبان
স্কোয়াশ	کدو
জুহি	جوهی
অহংকার	پراید
অহংকার	غرور
অহংকার	تکبر
অহংকার	تکبر
স্যামি	سامی
বাট	باسن
বাট	بات
সোমনাথ	سومنات
চাণক্য	چاناکیا
কাই	خی
কাই	chi
কাই	کای
সক্রেটিস	سقراط
সুনিশ্চিত	مطلق
পান্ডে	پاندی
কোলন	روده
