হর্ন	แตร
পণ্যদ্রব্য	สินค้า
ইঞ্জিনিয়ারদের	วิศวกร
আত্মীয়স্বজন	ญาติๆ
আত্মীয়স্বজন	ญาติ
হেন্ড্রিক	hendrik
ধ্বনিত	โซนิค
থ্রেড	ด้าย
লজিক্যাল	ตรรก
নাইলন	nylon
নাইলন	ไนลอน
বাঁদর	ลิง
বাঁদর	ลิง
বর্গক্ষেত্র	ตาราง
বিষণ্ণ	หดหู่
বিষণ্ণ	เบื่อ
কটেজ	กระท่อม
কোরিয়	เกาหลี
ওয়াইস	ฉลาด
বহিরঙ্গন	outdoor
দুষ্টু	ซน
দুষ্টু	ซุกซน
দুষ্টু	ดื้อ
পুডিং	พุดดิ้ง
অ্যাসপিরিন	แอสไพริน
হেলেনের	hélène
পাসে	ผ่าน
সেফ	เชฟ
বাবুর্চি	เชฟ
আবছা	จาง
কাধে	ไหล่
কোটিপতি	เศรษฐี
প্যাচ	หย่อม
খাট	นอน
খাট	ที่นอน
খাট	เตียง
ড্রেন	ระบาย
