epitsenter	epicenter
telekommunikatsiooni	telekomunikacije
kink	darilo
tooli	stol
tooli	predseduje
tooli	predsedujoči
pood	prodajalna
pood	shop
pood	trgovino
pood	trgovina
pood	prodajalna
pood	trgovina
subjektiivne	subjektivno
sonja	sonja
kahjustused	lezij
kahjustused	lezije
kahjustused	škoda
soojus	vročina
soojus	toplota
soojus	toplote
soojus	toplota
soojus	toplino
grove	grove
hara	hara
marche	marke
sark	sark
issand	gospod
trumm	boben
juhatab	vodi
sõdu	vojne
sõdu	vojn
puudega	invalidne
puudega	onemogočen
puudega	onemogočeno
ruttu	hitro
ruttu	hitro
registreerida	registrira
registreerida	register
registreerida	evidenca
sõrme	prst
gertrude	gertrude
tagasihoidlik	skromna
tagasihoidlik	skromen
tagasihoidlik	skromno
tagasihoidlik	skromna
tagasihoidlik	skromni
tagasihoidlik	skromen
tagasihoidlik	ponižno
tagasihoidlik	skromno
mauri	mauri
lena	lena
järjekindlalt	dosledno
nano	nano
mitteametlikult	neuradno
mitteametlikult	neuradno
nhl	nhl
toetamine	podpiranje
toetamine	podporo
toetamine	podpore
toetamine	podpora
intensiivne	intenzivne
intensiivne	intenzivni
intensiivne	intenzivno
intensiivne	intenzivna
intensiivne	intenzivno
intensiivne	napeto
intensiivne	intenzivna
lahustub	topen
pankrotti	bankrotiral
avignon	avignonu
nooremad	mlajši
nooremad	mlajša
nooremad	mlajše
helid	zvoki
helid	zveni
šiauliai	šiauliai
teadaolevad	znana
teadaolevad	znane
teadaolevad	znan
teadaolevad	znani
teadaolevad	znano
teadaolevad	poznan
ettepoole	naprej
cash	gotovino
cash	gotovina
jose	jose
jose	josé
peavalu	glavobol
jerome	jerome
beatrice	beatrice
bogdan	bogdan
sülearvuti	prenosnik
teatanud	poročali
teatanud	prijavljenih
vastuseid	odgovore
vastuseid	odgovori
renessanss	renesančni
saag	žago
saag	videl
saag	vidu
saag	žaga
kael	vrat
kael	vratu
progress	progress
progress	napredek
richter	richter
sooritatud	opravljen
sooritatud	opravljeni
sooritatud	opravljene
uskuma	verjemi
mitmuses	množina
tolmu	prah
tolmu	praha
kohtub	izpolnjuje
ettevalmistamine	priprave
ettevalmistamine	priprava
ettevalmistamine	pripravljanje
ettevalmistamine	priprava
spetsiifilised	specifično
spetsiifilised	specifični
steiner	steiner
marius	marius
eksperimentaalne	eksperimentalno
eksperimentaalne	poskusno
eksperimentaalne	poskusni
eksperimentaalne	poskusnih
eksperimentaalne	poskusna
fsb	fsb
sokid	nogavice
jupiter	jupiter
earl	earl
tööandja	delodajalca
tööandja	delodajalec
kahjulik	škodljivo
kahjulik	škodljivega
kahjulik	škodljivi
kahjulik	škodljiv
kahjulik	škodljiva
kahjulik	škodljivo
hjalmar	hjalmar
allikat	vir
hiline	zamuja
hiline	pozno
hiline	pozen
hiline	pozni
hiline	pozna
vaidluse	spor
lou	lou
foster	foster
hiroshima	hirošimo
dokumenteeritud	dokumentirano
dokumenteeritud	dokumentiran
toro	toro
üritused	dogodki
üritused	prireditve
üritused	dogodke
üritused	dogodkov
gemini	dvojček
gemini	gemini
kohtunikud	sodniki
kohtunikud	sodnikov
paralleelne	vzporedno
paralleelne	vzporedni
paralleelne	vzporedna
pauline	pauline
alpha	alpha
alpha	alfa
teraapia	terapija
teraapia	terapije
teraapia	terapijo
teraapia	zdravljenje
tiberius	tiberius
fraas	stavek
fraas	fraza
jamie	jamie
autobiograafia	avtobiografijo
antropoloogia	antropologije
bailey	bailey
sébastien	sébastien
iata	iata
katherine	katherine
katherine	katarina
machiavelli	machiavelli
sylvia	sylvia
kirjeldused	opise
kirjeldused	opisi
kits	kozje
kits	kozo
kits	koza
kits	kozel
tuberkuloos	tuberkulozo
tuberkuloos	tuberkuloze
tuberkuloos	tuberkuloza
müüb	proda
prunus	prunus
staadium	faza
staadium	oder
jeltsin	jelcin
juliana	juliana
proov	vzorec
proov	vaje
proov	vajo
proov	vaja
roosevelt	roosevelt
lionel	lionel
terminal	terminal
terminal	terminalu
väljakutse	izziv
väljakutse	zahtevna
väljakutse	zahtevno
gravitatsiooni	gravitacijsko
palace	palačo
palace	palača
bernd	bernd
üleandmine	premestitev
üleandmine	prenos
mia	mia
mia	mio
hindu	hindujski
ace	as
ace	ace
eritrea	eritreji
kirjalik	pisno
kirjalik	napisano
kirjalik	napisana
kirjalik	pisna
kirjalik	zapisano
gertrud	gertrud
tuhk	pepel
tuhk	pepel
tuhk	ash
pühapäev	nedeljsko
pühapäev	nedeljo
pühapäev	nedelje
pühapäev	nedeljski
pühapäev	nedelja
täpsust	natančnosti
täpsust	natančnost
täpsust	točnost
täpsust	natančnost
fidži	fidži
lääs	zahodna
lääs	zahod
lääs	zahodno
cola	kola
cola	cola
lämmastik	dušik
lämmastik	dušika
strateegiline	strateško
strateegiline	strateški
strateegiline	strateška
detektiiv	detektiv
vastuvõtt	sprejem
märkused	pripombe
märkused	opombe
märkused	opombe
märkused	opombi
märkused	zapiski
märkused	komentarjev
märkused	komentarji
märkused	opombe
märkused	pripombe
liitlane	zaveznika
liitlane	zaveznik
liitlane	ally
gaz	gaz
magus	sladkih
magus	sladko
magus	sladki
magus	sladka
rongid	vlaki
rongid	vlake
irving	irving
rebecca	rebeka
rebecca	rebecca
aruanne	prijavi
aruanne	poročilo
