तुर्कमेनिस्तान	turkmenistánu
चट्टानें	kamení
चट्टानें	kameny
चट्टानें	skal
चट्टानें	skály
तीतर	partridge
चतुर	chytré
चतुर	chytrý
चतुर	mazaný
खानपान	stravování
अस्वीकृत	zamítnuto
अस्वीकृत	popřel
अस्वीकृत	odmítl
अस्वीकृत	odmítli
अस्वीकृत	odmítnuta
अस्वीकृत	odmítnuto
अस्वीकृत	zamítnuto
अस्वीकृत	zamítnuta
अस्वीकृत	odmítnut
अस्वीकृत	odmítnout
अस्वीकृत	zamítnout
सजातीय	homogenní
परिवर्तक	konvertor
किराया	nájemné
किराया	pronájem
किराया	nájem
किराया	pronajmout
खिलौने	hračky
महीना	měsíc
रिपोर्टिंग	vykazování
रिपोर्टिंग	hlášení
रिपोर्टिंग	nahlášení
नैनो	nano
नमकीन	slané
नमकीन	slaná
नमकीन	slaný
चुनावी	volební
प्लेग	mor
प्लेग	moru
निजीकरण	privatizaci
निजीकरण	privatizace
अज्ञान	nevědomosti
अज्ञान	nevědomost
आर्द्र	vlhko
नबी	prorok
नबी	proroka
नबी	proroku
नबी	nabi
हेल	hel
परी	víla
परी	pari
परी	anděli
परी	andílek
परी	angel
परी	anděl
कीचड़	bahno
कीचड़	bahna
कीचड़	bláto
न्यूर्क	newarku
स्नायु	vaz
छुपा	skryto
छुपा	skrytý
छुपा	ukrytý
छुपा	skrytá
छुपा	skryté
छुपा	skrýt
छुपा	schovat
डिफ़ॉल्ट	výchozí
ड्राफ्ट	návrh
ड्राफ्ट	koncept
राइस	rýži
राइस	rýže
मात	maat
रेफरी	rozhodčí
साहसी	dobrodružná
साहसी	odvážné
साहसी	odvážný
ताज़ा	čerstvé
ताज़ा	fresh
ताज़ा	svěží
ताज़ा	čerstvý
ताज़ा	čerstvá
ताज़ा	osvěžující
उपेक्षित	ignoroval
उपेक्षित	ignorovali
ज़िंदगी	life
ज़िंदगी	zivot
ज़िंदगी	životní
ज़िंदगी	život
दरें	sazby
अवशिष्ट	zbytkové
पेशेवरों	profesionálové
पेशेवरों	odborníci
श्वार्ज़नेगर	schwarzenegger
धूमकेतु	kometa
कॉनकॉर्ड	concorde
आइटम	položky
आइटम	předměty
आइटम	položek
आइटम	položka
आइटम	položku
आइटम	předmět
क्षणिक	přechodný
क्षणिक	přechodná
क्षणिक	přechodné
क्षणिक	momentální
वेदना	melancholie
दुर्गम	vředy
जीमेल	gmail
विचलित	roztržitý
फॉर्मेट	formát
फेस	tvář
फेस	obličej
फेस	face
कस्तूरी	pižmo
पांव	nohy
पांव	chodidla
पांव	nožky
छड़	pruty
छड़	tyče
मीट्रिक	metriky
मीट्रिक	metrických
बांग्लादेशी	bangladéši
डिज़ाइनर	návrhář
क्रीड़ा	sportovní
क्रीड़ा	sport
क्रीड़ा	sporty
एकाग्रता	koncentrace
एकाग्रता	soustředění
एकाग्रता	koncentrace
ईकाई	jednotka
ईकाई	unit
भतीजे	synovce
भतीजे	synovec
भतीजे	synovce
भतीजे	synovci
कुंभ	vodnář
संभाव्यता	pravděpodobnost
संभाव्यता	pravděpodobnosti
दंगे	výtržnosti
दंगे	nepokoje
अपर	horní
मेरिल	merrill
स्तनधारियों	savců
स्तनधारियों	savce
स्तनधारियों	savci
संकेतक	kurzor
संकेतक	ukazatel
ठाकरे	thackeray
स्पष्टता	jasnost
स्पष्टता	jasnosti
बेंज	benz
तंजानिया	tanzanie
गोल्डबर्ग	goldberg
एडी	eddie
एडी	eddieho
नहरों	kanál
नहरों	kanálu
नहरों	kanály
पिस्तौल	pistoli
पिस्तौल	pistol
पिस्तौल	pistole
विभेदन	usnesení
विभेदन	rozlišení
विभेदन	rezoluce
गुफाएं	jeskyně
गुफाएं	jeskyní
सूक्ष्मजैविकी	mikrobiologie
उज़्बेकिस्तान	uzbekistánu
सीरियल	nigérie
सीरियल	sériový
सीरियल	sériová
सीरियल	sériové
सीरियल	alžírsko
रिवर्स	reverzní
रिवर्स	obrátit
रिवर्स	zvrátit
रिवर्स	zpětný
कार्यपालिका	výkonné
कार्यपालिका	výkonný
कार्यपालिका	výkonná
कास्ट	obsazení
ठहरने	obyvatelné
झटका	šoku
झटका	šok
झटका	blb
झटका	blbec
कैदी	zajatec
कैदी	vězeň
कैदी	vězně
कैदी	vězni
कैदी	zajatci
गृहस्थ	domácké
साओ	cao
साओ	sao
विंडो	okénko
विंडो	okno
खोने	prohra
खोने	ztrácí
कैश	cache
केंट	kenta
केंट	kent
इराकी	irácké
इराकी	irák
इराकी	iráku
इराकी	iráčanů
अराजकता	anarchie
अराजकता	chaosu
अराजकता	chaos
पेले	pelle
मेटा	meta
सिग्मा	sigma
पाला	pala
आजीविका	kariéra
आजीविका	kariéru
आजीविका	živobytí
फायदे	přínosy
फायदे	přínos
फायदे	výhody
फायदे	dávky
गूढ़	esoterické
गिरवी	pěšák
बार्कलेज	barclays
नवीकरण	renovace
नवीकरण	obnovení
नवीकरण	obnova
नाममात्र	nominální
मल्टीमीडिया	multimediální
ग्लेशियर	ledovec
ग्लेशियर	ledovce
ग्लेशियर	ledovce
ग्लेशियर	ledovců
निरोध	kondom
प्रतिबंधों	sankce
उपासक	uctívači
मैराथन	maraton
पोटेशियम	draslíku
पोटेशियम	draslík
पोटेशियम	draselný
लारा	lara
थर्मल	tepelné
थर्मल	tepelná
थर्मल	termální
झाड़ी	keř
डेविल	čert
डेविल	ďábel
कक्षीय	orbitální
अधूरा	neúplná
अधूरा	nedokončené
अधूरा	neúplné
स्क्रीनिंग	promítání
सर्वसम्मति	konsensus
सर्वसम्मति	shoda
सर्वसम्मति	konsenzus
सर्वसम्मति	konsensu
टर्बाइन	turbíny
उत्साही	nadšení
उत्साही	nadšený
उत्साही	nadšené
कार्यशील	běžící
कार्यशील	běží
कार्यशील	běh
कार्यशील	běhání
कार्यशील	utíkat
सराहनीय	obdivuhodné
सराहनीय	obdivuhodný
किंवदंती	legend
किंवदंती	legenda
लाओस	laosu
साइप्रस	kypru
साइप्रस	kypr
स्वायत्तता	autonomie
स्वायत्तता	autonomii
गाढ़ा	odvážné
गाढ़ा	odvážná
गाढ़ा	smělý
गाढ़ा	odvážný
पित्ताशय	žlučník
एंथोनी	anthony
एंथोनी	anthonyho
एंथोनी	antonín
बाग़	sady
बाग़	sadu
बाग़	sad
कुण्डली	horoskop
बीयर	piva
बीयर	pivní
बीयर	pivo
बीयर	pivko
ड्राइविंग	řízení
ड्राइविंग	jízda
वेनेजुएला	venezuele
वेनेजुएला	venezuely
जीनों	genů
जीनों	geny
बोनस	bonus
बोनस	prémie
बोनस	bonusy
बोनस	příplatek
बोनस	bonusy
बोनस	prémie
जलाकर	zapálil
ज्या	sine
थाना	věznice
थाना	vězení
झूठे	lhář
झूठे	lháři
झूठे	lháře
झूठे	lháři
अस्थियों	kosti
अस्थियों	kostí
पिक्सेल	pixelů
पिक्सेल	pixelu
पिक्सेल	pixel
लॉयड	lloyd
एनर्जी	enron
ब्रेट	brett
हीट	horko
हीट	žár
हीट	tepla
हीट	teplo
सुनहरा	zlaté
सुनहरा	zlatý
सुनहरा	zlatí
सुनहरा	golden
सुनहरा	zlatá
सुनहरा	zlato
सुनहरा	zlatá
सुनहरा	zlatý
सुनहरा	gold
सुनहरा	zlaté
नमाज़	salah
नमाज़	modlitbu
नमाज़	modlitba
कर्कट	rakovina
कर्कट	rakovinu
कर्कट	rakoviny
शौचालय	záchod
शौचालय	toaleta
शौचालय	wc
पर्सनल	osobní
पर्सनल	osobního
मॉनमाउथशायर	monmouthshire
पहिया	kolo
पहिया	kolečko
पहिया	pneumatiku
पहिया	pneumatika
मेगाडेथ	megadeth
लोकल	lokální
लोकल	místní
पुनरुद्धार	obnovení
पुनरुद्धार	obnova
पुनरुद्धार	renovace
पुनरुद्धार	oživení
मस्जिदों	mešity
मस्जिदों	mešity
विकासवादी	evoluční
डेयरी	mléčné
प्रतिरूपण	klonování
जावास्क्रिप्ट	javascript
गेल	gail
गेल	gayle
छू	dotek
छू	dotyk
छू	dotkne
पंक्तियाँ	řad
पंक्तियाँ	řádky
पंक्तियाँ	řádků
पंक्तियाँ	tratě
पंक्तियाँ	řádky
पंक्तियाँ	linky
पंक्तियाँ	čáry
पंक्तियाँ	linie
हाइकु	haiku
ट्रेक	trek
जेफ	jeffa
जेफ	jeff
मददगार	pomocník
मददगार	pomocníka
वर्णनात्मक	popisné
मद	položky
मद	předměty
मद	položek
मद	položka
मद	položku
मद	předmět
मिशनरी	misionář
बियोवुल्फ़	beowulf
पिताजी	táta
पिताजी	otec
पिताजी	tati
पिताजी	taťka
पिताजी	táta
पिताजी	tatínek
मोल	moll
संधारित्र	kondenzátor
सबवे	metra
सबवे	metrem
सबवे	metru
सबवे	metro
गढ़ा	hrnčířského
वू	woo
चोटियों	peaks
चोटियों	vrcholy
पुनर्जन्म	reinkarnaci
पुनर्जन्म	znovuzrození
पर्यायवाची	synonymum
रनर	běžce
रनर	běžec
जेसन	jason
घेराबंदी	obléhání
घेराबंदी	obležení
क्रोएशिया	chorvatsko
क्रोएशिया	chorvatska
आरा	ara
कल्याणकारी	příčiny
कल्याणकारी	způsobuje
सेटिंग	nastavení
सेटिंग	nastavení
नीरो	nero
उस्मानी	osmanské
ग्लासगो	glasgow
आंखें	oči
परिसंचरण	oběhu
परिसंचरण	oběh
ईश्वरीय	zbožný
ताश	karet
ताश	karty
ताश	vizitky
सजावटी	dekorativní
प्रेषण	převodovka
प्रेषण	vysílání
प्रेषण	předávání
प्रेषण	přenos
प्रेषण	předání
प्रेषण	odeslání
प्रेषण	dispečink
एमिली	emily
शील	skromnost
पोलियो	obrnu
लिथियम	lithium
बॉयल	boyle
पालक	špenát
फैमिली	rodina
फैमिली	rodinný
फैमिली	rodinná
फैमिली	rodinné
फैमिली	rodinka
बॉक्सिंग	box
बॉक्सिंग	boxu
हिरन	jelení
हिरन	jelen
हिरन	jelena
धारकों	držitelé
धारकों	držitelů
चैपल	kaple
होंडा	honda
ज्योतिषी	astrolog
मध्यस्थ	prostředník
अभिभावक	rodiče
अभिभावक	rodiči
अभिभावक	rodiče
अभिभावक	rodič
फ्लैट	plochý
फ्लैट	byt
फ्लैट	ploché
फ्लैट	plochá
बौद्धों	buddhisté
टेन	tan
टेन	desítka
टेन	deset
शील्ड	štít
शील्ड	shield
चीड़	pine
चीड़	borovice
आइवी	lvy
आइवी	ivy
गार्डनर	gardner
चुंबक	magnet
मॉन्ट्रियल	montrealu
अठारहवीं	osmnáctého
अठारहवीं	eighteenth
हेलो	ahoj
हेलो	halo
कविताएं	básně
कविताएं	básní
सेमीफाइनल	semifinále
कोका	kokainu
कोका	kokain
कोका	coca
रॉड	tyč
रॉड	rod
रॉड	prut
निरस्त	zrušit
बुद्धिमत्ता	inteligence
बुद्धिमत्ता	inteligenci
बुद्धिमत्ता	moudrosti
बुद्धिमत्ता	moudrost
एसिटिक	octové
चेचक	neštovice
नर्स	sestřičky
नर्स	sestry
नर्स	sestřička
नर्स	sestra
उठती	rostoucí
उठती	stoupá
उठती	stoupající
इकट्ठे	shromáždit
ब्रोमाइड	bromid
राष्ट्रसंघ	dors
पकड़कर	drží
पकड़कर	držící
पकड़कर	držení
पकड़कर	hospodářství
जया	jaya
नार्वे	norsko
धैर्य	trpělivost
धैर्य	trpělivosti
धैर्य	výdrž
धैर्य	vytrvalost
फट	praskla
उत्पादकों	výrobci
उत्पादकों	producenti
महत्वाकांक्षी	ambiciózní
त्रिनिदाद	trinidad
मौतों	úmrtí
निराकरण	vyřešit
निराकरण	vyřešení
बकाया	vynikající
सुपरहीरो	superhrdina
कोल्ड	studené
कोल्ड	studený
कोल्ड	studená
कोल्ड	zima
कोल्ड	chlad
ज़ांज़ीबार	zanzibar
संयोजी	pojivové
कै	kai
प्रकार्य	funkci
प्रकार्य	funkcí
प्रकार्य	funkce
शरणार्थी	uprchlík
शरणार्थी	uprchlíka
शरणार्थी	uprchlíků
शरणार्थी	uprchlíky
शरणार्थी	uprchlíci
गुंजाइश	působnosti
गुंजाइश	působnost
गुंजाइश	rozsah
देय	splatné
धीमे	pomalá
धीमे	pomalé
धीमे	pomalý
धीमे	pomalu
धीमे	pomalu
दानों	vyrážka
अवांछित	nežádoucí
अवांछित	nechtěné
समोआ	samoa
सममिति	symetrie
हरियाली	zelení
हरियाली	zeleň
हरियाली	zeleně
कैस्पियन	kaspického
कक्षों	chambers
कक्षों	komnaty
कक्षों	komory
स्पार्टा	sparta
व्यापकता	prevalence
रिमोट	vzdálená
रिमोट	vzdálený
रिमोट	ovladač
रिमोट	vzdálené
आत्माओं	duchu
आत्माओं	duch
आत्माओं	destiláty
आत्माओं	lihoviny
आत्माओं	duchové
खुशबू	pach
खुशबू	vůně
खुशबू	vůně
खुशबू	aroma
कस्बों	města
त्रिशूल	trojzubec
स्तनपान	kojení
इनाम	cena
इनाम	ceny
जिन्दगी	life
जिन्दगी	zivot
जिन्दगी	životní
जिन्दगी	život
गरमी	horko
गरमी	žár
गरमी	tepla
गरमी	teplo
नोड	uzel
नोड	uzly
असंगत	nekonzistentní
असंगत	neslučitelná
असंगत	neslučitelné
जीरा	kmín
पूर्वाग्रह	zaujatost
पूर्वाग्रह	předsudky
जैकेट	sako
जैकेट	bundu
जैकेट	bunda
आयतें	verše
आयतें	přikázání
अफवाह	zvěsti
अफवाह	fámy
उत्सुक	zvědavá
उत्सुक	zvědavý
परीक्षक	checker
परीक्षक	tester
प्रिंटिंग	tisk
टैबलेट	tablet
टैबलेट	tablety
टैबलेट	tabulka
टैबलेट	tabletu
टैबलेट	tablet
टैबलेट	tablety
चैरिटी	charitu
चैरिटी	dobročinnost
चैरिटी	charity
चैरिटी	charitativní
चैरिटी	charita
देसी	desi
शिविरों	tábory
शिविरों	táborů
तुला	váhy
टैंगो	tango
न्यूकैसल	newcastle
केट	kate
केट	cate
नतीजे	stočený
पांचवां	pátá
पांचवां	páté
पांचवां	pátý
प्रयोगकर्ता	uživatele
प्रयोगकर्ता	uživatelů
प्रयोगकर्ता	uživatelé
अनैतिक	nemorální
रोनाल्ड	ronald
रोनाल्ड	ronalda
कटु	hořké
मोनिका	monika
मोनिका	monica
मोनिका	monika
ग्रेस	grace
ग्रेस	milost
चोटों	zranění
चोटों	poranění
मैजिक	magie
मैजिक	magic
मैजिक	čáry
मैजिक	kouzlo
मैजिक	kouzelné
भुट्टो	bhuttová
रॉकी	rockyho
रॉकी	rocky
चुम्बक	magnet
रयान	ryanovi
रयान	ryan
एडिडास	adidas
फास्फोरस	fosforu
फास्फोरस	fosfor
एथलेटिक	sportovní
नेविगेशन	navigaci
नेविगेशन	navigačních
नेविगेशन	navigace
शिश्न	penis
शिश्न	penisu
अधूरी	neúplná
अधूरी	nedokončené
अधूरी	neúplné
फ़ौज	armáda
फ़ौज	armádní
फ़ौज	armádu
फ़ौज	vojsko
फ़ौज	army
पागलपन	šílenství
वर्गीय	průřezové
युआन	yuan
रोमांच	vzrušení
बर्बर	barbarské
सूख	suchá
सूख	suché
सूख	sucho
सूख	suchý
दिग्गज	obři
दिग्गज	veterán
इजाजत	svolení
इजाजत	povolení
इजाजत	oprávnění
सगाई	zasnoubení
सगाई	angažmá
सगाई	zásnubní
सगाई	zapojení
सगाई	zásnuby
सगाई	zasnoubená
सगाई	zasnoubeni
सगाई	zasnoubený
अन्तराल	rozestup
अन्तराल	mezery
मोनोऑक्साइड	uhelnatým
कोस	kos
अटलांटा	atlantě
अटलांटा	atlanty
मैडिसन	madison
चमकीले	glazované
पैराशूट	padák
खरगोश	králíky
खरगोश	králíci
खरगोश	králíček
खरगोश	zajíc
खरगोश	králík
मेज़बान	moderátor
मेज़बान	hostitel
मेज़बान	hostitele
मेज़बान	hostitelský
तकलीफ	nepohodlí
तकलीफ	neštěstí
मृतक	zesnulý
कैट	cat
कैट	kocka
कैट	kočka
कैट	kocour
वीरों	hrdinů
वीरों	hrdinové
वीरों	hrdiny
काका	kako
लिफ्ट	zvedat
लिफ्ट	výtah
लिफ्ट	zvednout
लिफ्ट	výtah
गाँठ	cysta
सिंथेटिक	syntetický
सिंथेटिक	syntetická
सिंथेटिक	syntetické
समझौतों	dohod
समझौतों	dohody
बैरल	barel
बैरल	sud
बैरल	hlaveň
खुजली	svědění
खुजली	svědění
अन्वेषक	vyšetřovatel
मूर्ख	blázen
मूर्ख	blbý
मूर्ख	hloupý
बीम	paprsek
कोडिंग	kódování
अशांति	nepokoje
अविश्वसनीय	neuvěřitelné
अविश्वसनीय	neuvěřitelný
अविश्वसनीय	neuvěřitelné
अविश्वसनीय	neuvěřitelný
शीन	sheen
कर्षण	trakční
इम्पीरियल	císařský
इम्पीरियल	císařské
इम्पीरियल	imperiální
इम्पीरियल	imperial
वहा	tam
घोषणापत्र	manifest
रेट	sazba
रेट	míra
सत्रह	seventeen
सत्रह	sedmnáct
सोया	sojové
मक्खी	létat
मक्खी	moucha
मक्खी	leť
उद्यमों	podniky
कॉन्सर्ट	koncertní
कॉन्सर्ट	koncert
कॉन्सर्ट	koncertů
कॉन्सर्ट	koncerty
छायांकन	stínování
छायांकन	fotografie
छायांकन	fotografování
छायांकन	záchrana
छायांकन	ukládání
छायांकन	úspory
छायांकन	záchranu
छायांकन	uložení
कॉर्नेल	cornell
नंदी	nandi
वानिकी	lesnictví
टेनेसी	tennessee
नजारा	krajina
