ஷேன்	شین
ஓவன்	فر
ஓவன்	فره
ஓவன்	اجاق
ஓவன்	تنور
மறுக்க	مقاومت
இணையதளங்கள்	وبسایتهای
கழுவி	شست
கழுவி	شسته
கார்டு	کورد
கார்டு	کارت
கார்டு	ورق
வீடியோக்கள்	ویدئوهای
வீடியோக்கள்	ویدیو
வீடியோக்கள்	ویدیوها
வீடியோக்கள்	ویدیوهای
பயோட்டின்	بیوتین
பட்ஜெட்	بودجه
அனிதா	آنیتا
பென்னெட்	بنت
அரங்கநாதன்	رانگاناتان
மிசூரி	میزوری
சோங்	چونگ
ரீவ்ஸ்	ریوز
பக்கவாதம்	نوازش
பக்கவாதம்	سکته
சுமாராக	نجیب
கடவுச்சொல்	گذرواژه
கடவுச்சொல்	پسورد
நகைச்சுவையான	فکاهی
மாவை	خمیر
எழுகிறது	طلوع
சென்ட்	سنت
நண்பகல்	نیمروز
நண்பகல்	ظهر
சியாட்டில்	سیاتل
டேனிஷ்	دانمارکی
டேனிஷ்	دانمارک
கௌரவம்	عزت
கௌரவம்	شرافت
கௌரவம்	شرف
கௌரவம்	افتخار
கொலம்பிய	کلمبیایی
கொலம்பிய	کلمبیا
டர்னர்	ترنم
டர்னர்	ترنر
சுமையை	سربار
சுமையை	باری
வியாபாரி	فروشنده
கோர்னிகோவா	کورنیکوا
எதிர்ப்பாளர்கள்	معترضین
எதிர்ப்பாளர்கள்	معترضان
பிரமிட்	هرم
பிரமிட்	هرمی
பிரமிட்	اهرام
உதய	طلوع
தூசு	زباله
சுரங்கப்பாதை	مترو
சுரங்கப்பாதை	متروی
பெங்	پنگ
திறந்திருக்கும்	باز
காண்டாமிருகம்	کرگدن
ரேஞ்சர்ஸ்	تکاور
சிங்கங்கள்	شیرهای
சிங்கங்கள்	شیرها
பழக்கத்தை	رژیم
சாளரம்	پنجره
திருடி	دزدی
பேஸ்பால்	بیسبال
கியா	کیا
ஷியா	شیعه
ஆணைகள்	دستورالعملها
ஆணைகள்	دستورالعمل
நின்றுகொண்டு	قیام
நின்றுகொண்டு	ایستاده
நின்றுகொண்டு	ایستادن
மெல்போர்ன்	ملبورن
பூட்டு	قفل
அடைக்கப்பட்ட	پرشده
நிக்கி	نیکی
காடை	بلدرچین
அனுமதிக்கப்பட்டது	مجاز
அனுமதிக்கப்பட்டது	تأیید
அப்பாவி	بیگناهی
அப்பாவி	بیگناه
அப்பாவி	معصوم
உள்ளுணர்வு	شهود
உள்ளுணர்வு	غریزه
உள்ளுணர்வு	غریزی
போர்வை	روکش
போர்வை	پتوی
போர்வை	پتو
வெளிறிய	کمرنگ
பெனின்	بنین
அனாதை	پرورشگاه
அனாதை	یتیم
அனாதை	یتیمی
அசுரர்கள்	هیولاهای
அசுரர்கள்	هیولاهایی
அசுரர்கள்	هیولاها
குறுகலான	باریکه
குறுகலான	باریک
விருப்பங்கள்	ترجیحات
விருப்பங்கள்	تنظیمات
விருப்பங்கள்	لایک
விருப்பங்கள்	favorites
செசில்	سسیل
அழைக்கிறோம்	فراخوانی
மனிதரும்	انسان
மனிதரும்	انسانی
மனிதரும்	بشر
லெப்	lep
அக்தர்	اختر
ரியா	ریا
தேவையா	نیاز
தேவையா	نیازمند
வாங்	وانگ
வாங்	ونگ
யூஜின்	یوجین
யூஜின்	اوژن
தண்டர்	تندر
தண்டர்	رعد
யீ	یی
பிரேக்	ترمز
பளபளப்பான	براق
ரூச்	روژ
பாலஸ்தீனம்	فلسطین
பாலஸ்தீனம்	فلسطینی
ஆக்சோ	oxo
பரபரப்பான	شورانگیز
பரபரப்பான	هیجانی
காதிர்	قدیر
பயணிக்கிறது	بادبان
லின்னேயஸ்	لینه
நம்பும்	تراست
நம்பும்	توکل
நம்பும்	اعتماد
தொங்க	چسبید
தொங்க	آویخته
தொங்க	آویزان
மால்டா	مالت
காஃபி	قهوه
புகாரி	بوهاری
புகாரி	بخاری
பிஜு	bju
நம	nama
உத்தரவாதம்	تضمین
உத்தரவாதம்	تضمینی
உத்தரவாதம்	تضمین
உத்தரவாதம்	اطمینانی
உத்தரவாதம்	تضمین
உத்தரவாதம்	تضمینی
உத்தரவாதம்	ضامن
உத்தரவாதம்	ضمانت
சவ்வு	غشای
சவ்வு	غشاء
தெற்கத்திய	جنوب
தெற்கத்திய	جنوبی
பரவாயில்லை	بهتر
பரவாயில்லை	بهترش
பங்களாதேஷ்	بنگلادش
மாடம்	مام
வொயேஜர்	وویجر
ஃபேஷன்	فشن
ஃபேஷன்	مد
ஃபேஷன்	fashion
ஃபேஷன்	مُد
முடுக்கி	شتابدهنده
திலீப்	دیلیپ
வீடுபேறு	موکشا
ஒடிசி	ادیسی
கினியா	گینه
துக்கம்	عزاداری
துக்கம்	عزا
துக்கம்	سوگواری
துக்கம்	ماتم
கொட்டைகள்	آجیل
பேண்ட்	band
பேண்ட்	بند
பேண்ட்	گروه
ரிக்கி	ریکی
ஸ்பெக்ட்ரம்	طیف
சீமாட்டி	بانوی
சீமாட்டி	بانو
ராகேஷ்	راکش
மாதந்தோறும்	ماهانه
மாதந்தோறும்	ماهنامه
மாதந்தோறும்	ماهیانه
கூழ்ம	کلوئید
மெசொப்பொத்தேமியா	النهرین
பண்டு	بانتو
சாத்	سعد
சாத்	چاد
சாத்	چد
தீங்கிழைக்கும்	مضر
நாகரீகம்	فشن
நாகரீகம்	مد
நாகரீகம்	fashion
நாகரீகம்	مُد
ஸ்டைல்	سبک
அலுவலகப்	اداره
அலுவலகப்	دفتر
கொசுக்கள்	پشه
பிரியங்கா	پریانکا
கருத்தரங்கில்	سمپوزیوم
ஓட்டை	سوراخ
ஓட்டை	حفره
ஓட்டை	گودال
விசித்திரமான	عجیبی
விசித்திரமான	عجیب
விளையாடு	پخش
விளையாடு	بازی
பரிமாணங்கள்	ابعاد
சேமிக்கப்படுகிறது	نجات
சேமிக்கப்படுகிறது	ذخیره
சேமிக்கப்படுகிறது	ذخیرۀ
வகுப்புக்கள்	کلاس
வகுப்புக்கள்	کلاسهای
வகுப்புக்கள்	کلاسها
முகேஷ்	موکش
தோனி	دویی
சாப்பிட	بخورید
சாப்பிட	بخور
சாப்பிட	بخورم
ஆஃபினியம்	هافنیم
காஷ்மீரி	کشمیری
ஜமால்	جمال
சொடுக்கி	موش
சொடுக்கி	موشی
சொடுக்கி	ماوس
பேயர்	بایر
ஜென்	جن
ஜென்	ذن
ஜென்	گن
கடிய	حاد
பாலின்	پائولین
உழைப்பாளர்	کارگری
உழைப்பாளர்	کارگر
கிளாசிக்	کلاسیک
கிளாசிக்	classic
ஆவியாதல்	تبخیر
சல்வடோர்	سالوادور
பூத்	بوث
பூத்	بوت
பூத்	باجه
பூத்	غرفه
நோலன்	نولان
பூண்ட	پونتا
உடையில்	لباس
சாமுராய்	سامورایی
தட்டும்	مهر
தட்டும்	بکوب
தட்டும்	تمبر
தட்டும்	پایت
ரிதம்	نواخت
ரிதம்	موزون
ரிதம்	ریتم
நக்சலைட்	ناکزال
பைட்டு	بایت
லைபீரியா	لیبریا
கண்டறியப்படுகிறது	آشکارسازی
மீரட்	میروت
உறங்கும்	خوابم
உறங்கும்	خواب
உறங்கும்	خوابیدن
உறங்கும்	خفته
உறங்கும்	خواب
உளவியலாளர்	روانشناس
வெல்ஷ்	ولش
வெல்ஷ்	ولز
வேனில்	وان
வேனில்	فان
வேனில்	ون
வேனில்	وَن
ஜுராசிக்	ژوراسیک
குடித்து	مستی
குடித்து	مست
அபிஷேக்	آبیشک
செருப்பு	صندل
இயந்திரத்தில்	ماشینی
இயந்திரத்தில்	ماشین
இயந்திரத்தில்	دستگاه
ஐதரோகுளோரிக்	هیدروکلریک
இறகு	پر
இறகு	پرم
பயணங்களை	سفرها
தொலைநோக்கிகள்	تلسکوپهای
சிரில்	سیریل
பொத்தான்	دکمه
பொத்தான்	بوتان
செப்	اسپ
செப்	sep
தருணம்	لحظه
தருணம்	گشتاور
ஆன்டி	اندی
பெர்சி	پرسی
பிசாசு	شیطان
ராபின்சன்	رابینسون
நீர்மூழ்கி	زیردریایی
செர்ரி	گیلاس
செர்ரி	چری
செர்ரி	آلبالو
லேசிக்	لیزیک
ஐரிஸ்	آیرس
ஐரிஸ்	آیریس
ஐரிஸ்	زنبق
எர்னஸ்ட்	ارنست
மாசச்சூசெட்ஸ்	ماساچوست
போகோ	بوگو
டர்பன்	دوربان
ஆன்லைனில்	online
ஆன்லைனில்	برخط
ஆன்லைனில்	آنلاین
அமிலத்தன்மை	اسیدی
பருவகால	فصلی
கவர்ச்சிகரமான	آراسته
கவர்ச்சிகரமான	جذاب
எதிரொலி	پژواک
எதிரொலி	اکو
நைரோபி	نایروبی
ஏமாற்றி	تقلب
ஏமாற்றி	فریب
மையங்களை	مراکز
மலிவு	متناسب
மோனிகா	مونیکا
நோரிஸ்	نوریس
பவளம்	کورال
பவளம்	مرجان
பவளம்	مرجانی
தைமூர்	تیمور
பத்ரி	بدری
டேனி	دنی
சமந்தா	سامانتا
நிரப்பப்பட்ட	پرشده
சல்பர்	سولفور
அவதாரங்கள்	خاستگاه
அவதாரங்கள்	مبدأ
அவதாரங்கள்	منشأ
அவதாரங்கள்	مبدا
நகம்	nail
நகம்	ناخن
நகம்	میخ
மினார்	مناره
கலீபகம்	خلافت
நைட்டிங்கேல்	بلبل
ஆபாச	پورن
அறிவிப்பாளர்	منادی
அறிவிப்பாளர்	بانگ
பங்க்	ولگرد
பங்க்	پانک
சௌத்	سعود
ராயல்ஸ்	استاده
சம்மேளனம்	ccc
திசைகள்	جهت
திசைகள்	مسیرها
கொதி	جوش
பிரித்தெடுத்து	آنپلاگد
இழுக்க	pull
#என்	#من
ஷெல்லி	شلی
அருகாமை	مجاور
அருகாமை	نزدیک
மதிப்பிடப்பட்ட	میزان
இன்ச்	اینچ
எதிர்பார்க்கலாம்	انتظار
அனிஸ்டன்	آنیستون
சந்தைப்படுத்துதல்	بازاریابی
சந்தைப்படுத்துதல்	marketing
சாப்	ساپ
பைட்டுகள்	بایت
கூண்டு	قفسی
கூண்டு	کیج
கூண்டு	قفس
கூண்டு	فرش
கூண்டு	موکت
கூண்டு	قالی
கூண்டு	قالیچه
ஆமென்	آمین
பைரன்	بایرون
பைரன்	بایرن
விழித்திரை	شبکیه
ஒட்டும்	چسبناک
ஒட்டும்	چسبنده
அறிவுரைகள்	پند
அறிவுரைகள்	نصیحت
அறிவுரைகள்	دستورالعملها
அறிவுரைகள்	دستورالعمل
எங்களது	ما
தோழர்கள்	جفت
பாதுகாப்பற்ற	متزلزل
பாதுகாப்பற்ற	ناامن
பாதுகாப்பற்ற	ناامن
பிரிஸ்பேன்	بریزبن
வாலை	تیل
வாலை	دم
வாலை	دمش
உற்சாகம்	هیجان
கீதாஞ்சலி	گیتانجالی
பிரம்மபுத்திரா	براهماپوترا
காலணிகள்	کفش
அழுத்தமான	ضخیم
அழுத்தமான	کلفت
தனியாள்	تکی
தனியாள்	single
தனியாள்	تک
டெர்மினேட்டர்	نابودگر
இயேசுவே	عیسی
ஸ்டெர்லிங்	استرلینگ
வரவும்	بیا
வரவும்	بیاید
தவறானது	نامعتبر
கலிஸ்டஸ்	کالیکتوس
தூவி	دوی
மெக்கா	مکه
கிப்சன்	گیبسون
வயர்	سیم
வயர்	کابل
வயர்	وایر
மர்மம்	معمای
ஐசனாவர்	آیزنهاور
கண்களின்	چشمها
கண்களின்	چشمانی
கண்களின்	چشم
கண்களின்	چشمان
கருத்தரங்குகள்	سمینارهای
மீத்தைல்	متیل
நெவாடா	نوادا
பியர்ஸ்	پیرس
மேல்முறையீடு	توسل
ஹா	هه
ஆணவம்	متکبر
ஆணவம்	مغرور
ஆணவம்	تکبر
புகாரா	بخارا
முன்னிருந்த	پیشفرض
நிக்கராகுவா	نیکاراگوئه
பெர்முடா	برمودا
ஃபை	فیا
ஃபை	فی
வடு	زخم
தும்	توم
தும்	tum
எதிர்பார்க்க	انتظار
பாவங்கள்	گناهان
ராஜூ	راجو
அழைப்புகள்	دعوت
அழைப்புகள்	میخواند
அழைப்புகள்	بخواند
அழைப்புகள்	دعوتنامه
கணக்கீடுகள்	برآورد
கணக்கீடுகள்	محاسبات
வதந்தி	شایعه
வதந்தி	شایع
சென்டிமீட்டர்	سانتیمتر
டெஸ்	des
டெஸ்	دس
தலையங்கம்	تیتر
தலையங்கம்	سرمقاله
உறுதிப்படுத்துகிறது	مصدق
உறுதிப்படுத்துகிறது	تصدیق
மீயுரை	hypertext
பெல்ட்	کمربند
டெஸ்க்டாப்	رومیزی
ப்ளூஸ்	بلوز
அச்சுக்கலை	تایپوگرافی
தயமின்	تیامین
மைனா	مینای
சாகிர்	ظاهر
கிப்பன்	گیبون
உறக்கம்	خوابم
உறக்கம்	خواب
தலைப்புக்கள்	عناوین
மரைனர்	مارینر
பேர்டினண்ட்	فردیناند
நிப்பான்	نیپون
ஆனா	ana
ஆனா	ولی
ஆனா	اما
ரஷ்	راش
அடர்த்தியாக	شدید
பதிவேடு	ثبت
பெண்களே	خانما
பெண்களே	بانوان
பெண்களே	خانمها
ஆரோன்	آرون
நிலைத்தன்மை	تأکید
நிலைத்தன்மை	همخوانی
