домейн	डोमेन
перспектива	आउटलुक
перспектива	परिदृश्य
перспектива	पर्सपेक्टिव
перспектива	परिप्रेक्ष्य
розов	पिंक
розов	गुलाबी
ребека	रेबेका
глория	ग्लोरिया
разпръснати	बिखरे
древно	प्राचीन
повърхности	सतहों
започване	दीक्षा
изгаряне	लिखें
изгаряне	जला
изгаряне	बर्न
изгаряне	दहन
валидни	वैध
валидни	मान्य
фар	हेडलाइट
пръстени	छल्ले
пръстени	बजती
юбилей	जयंती
юбилей	वर्षगाँठ
юбилей	सालगिरह
юбилей	वर्षगांठ
опасен	खतरनाक
кулите	मीनारें
жулиета	जूलियट
индийска	भारतीय
модерно	आधुनिक
карате	कराटे
карате	karate
карате	कराते
магически	जादुई
следа	ट्रेल
координатите	निर्देशांक
доход	आमदनी
доход	इनकम
доход	आय
уравнението	समीकरण
наказанието	सजा
наказанието	दंड
заповеди	ऑर्डर
заповеди	आदेश
късмет	भाग्य
късмет	किस्मत
късмет	लक
свиня	हॉग
свиня	स्वाइन
свиня	सूअर
свиня	सुअर
треньорът	कोच
говеда	ढोरों
говеда	ढोर
говеда	चौपायों
косата	बालों
косата	हेयर
косата	बाल
бракове	विवाह
филиал	संबद्ध
скорости	गियर्स
тайлър	टायलर
студен	कोल्ड
студен	ठंड
студен	सर्दी
студен	ठंडा
кириленко	किरिलैंको
тънък	पतली
тънък	पतला
съпруги	पत्नियों
съпруги	पत्नियाँ
съпруги	पत्नियां
скулптори	शिल्पकार
стърлинг	स्टर्लिंग
стърлинг	स्टर्लिंग
резерви	आरक्षण
резерви	रिज़र्वेशन
резерви	आरक्षित
механична	यांत्रिक
механична	mechanical
правоъгълна	आयताकार
транскрипция	ट्रांसक्रिप्शन
рисунка	रेखाचित्र
рисунка	ड्राइंग
рисунка	चित्रांकन
рисунка	आरेखण
дишане	साँस
дишане	श्वास
дишане	श्वसन
достоевски	दोस्तोयेव्स्की
земен	स्थलीय
земен	पृथ्वी
земен	धरती
планк	प्लांक
кисело	खट्टा
найджъл	निगेल
стандартни	मानक
господари	मास्टर्स
тежести	बोझ
ритуал	रीति
ритуал	अनुष्ठान
видими	दृष्टिगोचर
видими	दृश्यमान
видими	दृश्य
ашли	एशले
влака	ट्रेन
влака	रेलगाड़ी
влака	ट्रैन
идентифицира	पहचानें
идентифицира	पहचानो
цигулар	violinist
блокирането	ब्लॉकिंग
килограма	किलोग्राम
килограма	गामा
метална	धात्विक
данте	दांते
астрономи	खगोलशास्त्रियों
бременност	गर्भावस्था
топли	गरम
педагогически	pedagogical
нотингам	nottingham
комисии	आयोग
комисии	समितियां
комисии	समितियों
лори	लॉरी
лори	लोरी
медни	ताँबा
медни	ताम्र
медни	तांबा
медни	कॉपर
медни	तांबे
пер	स्वादानुसार
пер	प्रति
сцените	दृश्यों
драматично	नाटकीय
библия	बाइबिल
библия	बाइबल
агата	अगाथा
заобиколен	घिरी
шулц	शुल्ज़
сплит	विभाजित
минали	अतीत
минали	पास्ट
стандартно	मानक
ежедневно	रोज
ежедневно	नित्य
ежедневно	रोजाना
ежедневно	दैनिक
ежедневно	प्रतिदिन
ежедневно	रोज़
осиновен	अपनाया
кадър	फ्रेम
кадър	ढांचा
кадър	गठन
кадър	फ़्रेम
нико	निको
нико	निको
ницше	नीत्शे
биографията	जीवनी
биолог	जीवविज्ञानी
брест	brest
пътниците	यात्रियों
пътниците	यात्री
виждане	दर्शन
виждане	दृष्टि
революционно	क्रांतिकारी
разширен	विस्तारित
разширен	विस्तारित
дялове	शेयर
дялове	साझा
пас	दर्रा
пас	पास
пас	pass
обреди	कर्मकांड
обреди	कर्मकाण्ड
обреди	संस्कार
обреди	संस्कार
химици	chemists
геноцид	नरसंहार
лариса	लरिसा
монро	मुनरो
единодушно	सर्वसम्मत
оае	यूएई
оае	uae
демократичен	लोकतांत्रिक
кодиране	एनक्रिप्शन
кодиране	एन्क्रिप्शन
кодиране	कोडिंग
кодиране	एनकोडिंग
кодиране	एन्कोडिंग
променен	परिवर्तित
променен	बदला
променен	परिवर्तित
променен	संशोधित
променен	परिवर्धित
забележки	नोट्स
забележки	नोट
забележки	टिप्पणी
забележки	टीप
забележки	टिप्पणियां
забележки	टिप्पणियाँ
забележки	टिप्पणी
вградени	इनलाइन
вградени	अंतःस्थापित
екзекутирани	चलाया
ечемик	जौ
ниуе	नियू
лима	लीमा
незаконно	अवैध
катон	केटो
голф	गोल्फ
голф	गोल्फ़
джуджета	dwarfs
уникално	अनोखा
уникално	अनूठा
уникално	बेजोड़
уникално	अद्वितीय
хаос	अव्यवस्था
хаос	अराजकता
порно	अश्लील
абхазия	अबख़ाज़िया
цялост	अखंडता
хелмут	हेल्मुट
норфолк	नॉर्फ़ोक
шесто	छठी
шесто	छठा
шесто	छठे
оформени	तराशा
неуспешно	असफल
неуспешно	विफल
обозначаване	नामांकन
харбър	तट
харбър	हार्बर
нинджа	निंजा
атомите	अणु
дойл	डोयल
васал	vassal
свещени	पवित्र
чудовище	राक्षस
чудовище	दैत्य
чудовище	दानव
издигане	आरोहण
грим	श्रृंगार
грим	श्रंगार
грим	मेकअप
муса	मूसा
муса	मौसा
муса	मूसा
уил	करेंगे
уил	होगी
уил	करेगा
уил	करेगी
уил	होगा
отбранителна	रक्षात्मक
мозайка	मोज़ेक
платформата	प्लेटफ़ॉर्म
платформата	प्लेटफॉर्म
платформата	मंच
православието	कट्टरवाद
препоръка	अनुशंसा
кори	कोरी
кори	कोरी
елцин	येल्तसिन
