ρότερνταμ	ロッテルダム
διανοητική	知識人
καμπούλ	カブール
κυρ	太陽
κυρ	sun
απογοητευμένος	イライラ
απογοητευμένος	がっかり
χέλμουτ	ヘルムート
αντιβασιλέα	摂政
αντιβασιλέα	総督
αγαθό	商品
εγκυμοσύνη	妊娠
σεϋχέλλες	セーシェル
