maryland	maryland
wiarygodne	vjerodostojan
wiarygodne	pouzdani
wiarygodne	pouzdanih
wiarygodne	pouzdano
wiarygodne	vjerodostojnih
twierdząc	tvrdeći
echo	jeka
zwyczaj	habitus
zwyczaj	običaj
guillaume	guillaume
bogaty	bogata
bogaty	bogato
bogaty	bogati
bogaty	bogatim
bogaty	bogat
bogaty	bogati
producenci	proizvođača
producenci	proizvođači
championships	prvenstava
gnu	gnu
enrique	enrique
zauważyłem	primijetili
mechanizmu	mehanizam
mieszanej	mješovite
mieszanej	mješovita
knight	vitez
knight	skakač
knight	viteza
promocja	promocije
promocja	promocija
regiony	regije
regiony	regija
palmer	palmer
sant	sant
malezji	malezija
malezji	malezijski
schody	koraka
schody	koraci
schody	stepenica
schody	stepenice
aktorką	glumica
fundusz	fond
wybiera	bira
podana	dat
profesorów	profesora
profesorów	profesori
magda	magda
simona	simona
paulina	paulina
paulina	pauline
muzułmanów	muslimani
julio	julio
flagę	zastava
maraton	maraton
jedynki	singl
buntu	pobuna
buntu	pobunu
buntu	pobuni
buntu	pobune
socjalistów	socijaliste
socjalistów	socijalista
socjalistów	socijalistima
wniosków	aplikacije
wniosków	prijave
grunty	land
grunty	kopnena
grunty	zemlja
asyst	pomaže
asyst	asistencija
