ஈறு	歯茎
ஊறுகாய்	ピクルス
ஊறுகாய்	漬物
ஊறுகாய்	酢漬け
மாரா	マーラ
உள்ளங்கை	手のひら
உள்ளங்கை	ヤシ
உள்ளங்கை	パーム
பேரழிவுகள்	災害
கவிஞன்	詩人
கவிஞன்	歌人
கோமா	昏睡
விபத்துக்குள்ளானது	沖縄
கோமாளி	道化師
கிர்கிஸ்தான்	キルギス
துணையை	マテ
துணையை	メイト
கீரி	マングース
சுருக்கப்பட்ட	短縮
அழுத்தவும்	プレス
தொலைநிலை	リモート
கண்ணியம்	威厳
கண்ணியம்	品格
கண்ணியம்	尊厳
கிடங்குகள்	倉庫
உண்ணிகள்	イボ
வாளி	バケット
வாளி	バケツ
பியா	ピア
பியா	ビヤ
கொழுந்து	ブレイズ
ஃபால்	落ちる
ஃபால்	落下
குறிச்சொல்	用語
குறிச்சொல்	キーワード
இறந்தவரின்	故人
துள்ளும்	弾む
சிரி	笑い
சிரி	笑う
மொசில்லா	mozilla
சுகர்	砂糖
பூத்து	ブース
ரெய்க்	ライヒ
கிமி	きみ
கிமி	キミ
துடிப்பான	活気
தலைப்பாகை	ターバン
வாழ்க்கைமுறை	生き方
வாழ்க்கைமுறை	ライフスタイル
சுவரொட்டிகள்	ポスター
பலாவு	パラオ
விட்டும்	から
டையர்	ダイアー
மாயம்	magic
மாயம்	魔法
மாயம்	マジック
கிரெடிட்	信用
கிரெடிட்	クレジット
