五つ	ஐந்து
ストレッチ	நீட்சி
ジークフリート	சிக்ஃபிரைட்
インフレーション	பணவீக்கம்
寄託	டெபாசிட்
ロドニー	ரோட்னி
パドヴァ	படுவா
タロット	tarot
対価	விலை
対価	கட்டணம்
デミ	டெமி
フッ素	புளோரின்
フラミンゴ	பூநாரை
触角	antennae
スパイダー	சிலந்தி
読み込み	ஏற்று
読み込み	உள்வாங்கு
読み込み	சுமை
読み込み	வாசி
読み込み	படியுங்கள்
読み込み	வாசிக்க
読み込み	படித்த
読み込み	படித்தது
読み込み	படி
トレイシー	ட்ரேசி
不透明	ஒளிபுகா
香水	திரவியங்கள்
香水	வாசனை
セラミック	செராமிக்
愛着	இணைப்பு
愛着	பாசத்தை
愛着	பாசம்
愛着	பாசமும்
パティ	புட்டு
ダミアン	டேமியன்
ダミアン	டேமியன்
ペンシルバニア	பென்சில்வேனியா
タイマー	கடிகாரம்
賄賂	லஞ்சம்
コナー	கானர்
プラム	பிளம்
ホウ素	போரான்
ダイニング	சாப்பாட்டு
アステカ	அசுட்டெக்
凶器	ஆயுதம்
イタチ	வீசல்
フィヨルド	இடுக்கேரிகள்
ハンニバル	ஹன்னிபால்
コーリー	கோரி
コーリー	கோரி
アダプター	தகவி
レンチ	கவ்வி
デリバリー	வாடா
デリバリー	வழங்கல்
デリバリー	டெலிவரி
デリバリー	விநியோகங்கள்
発育	வளர்ச்சிக்கு
発育	வளர்ச்சியை
発育	வளர்ச்சி
持病	தீராத
オマハ	ஒமஹா
モニタリング	கண்காணிப்பு
タマネギ	வெங்காயம்
チョイス	தெரிவு
チョイス	தேர்வு
チョイス	சாய்ஸ்
オンス	அவுன்ஸ்
コング	காங்
トレース	தடமறிதல்
トレース	சுவடு
ムスタファ	முஸ்தபா
シーケンス	தொடர்ச்சி
ブレイブ	தைரியமாக
ブレイブ	அஞ்சா
クリスティン	கிறிஸ்டின்
きつい	இறுக்கமான
きつい	இறுக்கமாக
恐喝	கப்பம்
恐喝	மிரட்டல்
昏睡	கோமா
避難所	தங்குமிடம்
パッション	மோகம்
サンドイッチ	சாண்ட்விச்
マシューズ	மத்தியூஸ்
束縛	பிணைப்பு
純度	தூய்மை
デモンストレーション	ஆர்ப்பாட்டம்
足首	கணுக்கால்
バッチ	batch
ゴング	gong
九月	செப்டம்பர்
辞表	ராஜினாமா
四半期	காலாண்டு
四半期	கால்
四半期	காலாண்டு
印章	முத்திரை
トルクメニスタン	துர்க்மெனிஸ்தான்
ギャレット	காரெட்
美味しい	சுவையான
美味しい	ருசி
美味しい	சுவையான
振り子	pendulum
磁器	பீங்கான்
ベルナルド	பெர்னார்டோ
ラファイエット	lafayette
アガサ	அகதா
もうすぐ	விரைவில்
もうすぐ	சீக்கிரமே
ショッキング	அதிர்ச்சி
トロピカル	வெப்பமண்டல
蜃気楼	கானல்
蜃気楼	மிராஜ்
ヴァスコ	vasco
クラウディオ	கிளாடியோ
ボツワナ	போட்ஸ்வானா
