口服	வாய்வழி
戲法	தந்திரம்
戲法	தந்தி
濃縮	enrichment
治癒	குணமாக்கும்
治癒	ஆற்றும்
治癒	குணப்படுத்த
治癒	குணப்படுத்தும்
鉑	பிளாட்டினம்
賓客	விருந்தினர்கள்
賓客	விருந்தினர்
賓客	விருந்தினர்
賓客	விருந்தாளி
賓客	விருந்தினராக
代名詞	pronoun
屁股	பட்
用具	உபகரணங்கள்
碎石	இடிபாடு
熱力學	வெப்பவியக்கவியல்
蠟	மெழுகு
常設	நிற்கும்
常設	நின்று
常設	நிற்கிறார்
常設	நின்றுகொண்டு
常設	நிற்பது
捐獻	நன்கொடை
捐獻	வழங்கு
捐獻	தானம்
捐獻	நன்கொடை
贖罪	யோம்
採礦	சுரங்க
採礦	சுரங்கம்
表妹	உறவினர்
幼兒園	மழலையர்
幼兒園	நர்சரி
牌匾	டேப்லெட்
透明度	ஊடுருவல்
緋聞	ஊழல்
緋聞	விவகாரம்
計數	எண்ணிக்கை
計數	எண்
計數	எண்ணும்
約翰遜	ஜான்சன்
雄鹿	ஸ்டேக்
尷尬	சங்கடம்
天秤	துலாம்
罪人	குற்றவாளிகள்
罪人	பாவிகள்
罪人	பாவி
船廠	செய்கிறீர்கள்
左輪手槍	துப்பாக்கி
勺	கரண்டி
鏡子	மிரர்
鏡子	கண்ணாடி
仙人掌	கள்ளி
圖示	சின்னம்
圖示	ஐகான்
圖示	குறும்படம்
醫務	மருத்துவம்
醫務	மருத்துவ
獵鷹	falcon
加侖	கேலன்
加侖	gal
鴿	புறா
鴿	புறாக்கள்
鴿	புறா
評比	மதிப்பீடுகள்
評比	மதிப்பீடு
泥石流	நிலச்சரிவு
業績	செயல்திறன்
迴路	மின்சுற்று
通風	காற்றோட்ட
滿族	மஞ்சு
水牛城	எருமை
乞丐	பிச்சைக்காரர்கள்
乞丐	பிச்சைக்காரன்
高雅	நேர்த்தியான
高雅	நேர்த்தி
高雅	நுட்பங்களுடன்
艱難	கடுமையான
艱難	கஷ்டமான
艱難	கடினமான
艱難	கடினம்
艱難	கடினமானது
瞎	குருட்டு
巡遊	அணிவகுப்பு
巡遊	அணிவகுப்பில்
南瓜	பூசணி
南瓜	பூசணிக்காய்
佈道	பிரசங்கம்
佈道	போதிக்க
數列	தொடர்ச்சி
溶劑	கரைப்பான்
赫茲	ஏர்ட்சு
直覺	உள்ளுணர்வை
直覺	உள்ளுணர்வு
獎品	பரிசு
季風	பருவமழை
甲苯	தொலுயீன்
鬆散	இழப்பு
倒退	தாழ்த்தப்பட்ட
倒退	பின்னோக்கி
倒退	கடுஞ்
難過	சோகம்
難過	வருத்தமளிக்கிறது
母系	matrilineal
磁鐵	காந்தம்
磁鐵	காந்தங்கள்
程式設計	நிரலாக்கம்
受限	லிமிடெட்
詩篇	சங்கீதம்
關切	கவலைகள்
關切	கவலை
絲綢	பட்டு
絲綢	சில்க்
寶貴	விலைமதிப்பற்ற
寶貴	பொன்னான
寶貴	மதிப்பானது
寶貴	மதிப்புமிக்க
小刀	கத்தி
停電	இருட்டடிப்பு
肉類	இறைச்சி
真實性	இடையிலுள்ள
洗澡	குளிக்க
洗澡	குளியல்
洗澡	பாத்
內衣	உள்ளாடை
內衣	உள்ளாடைகள்
尖銳	கூர்மை
尖銳	கூர்மையான
尖銳	கடிய
冷漠	அலட்சியம்
面孔	முகங்கள்
預訂	இடஒதுக்கீடு
預訂	முன்பதிவு
僱主	நிறுவனம்
迴圈	வட்டம்
迴圈	சுழற்சி
迴圈	சுழற்சி
迴圈	கண்ணி
迴圈	மடக்கு
迴圈	லூப்
迴圈	சுற்றறிக்கை
無知	அறியாமையை
無知	அறியாமை
疲勞	சோர்வு
小貓	பூனைக்குட்டி
吉普	ஜீப்
休克	அதிர்ச்சி
無聲	அமைதியாக
無聲	அமைதி
馬勒	மாலர்
傳染	தொற்று
遊覽	சுற்றுப்பயணம்
遊覽	சுற்றுலா
遊覽	டூர்
遊覽	உலா
占星術	சோதிடம்
占星術	ஜோதிடம்
多層	அடுக்குகள்
悲哀	சோகம்
悲哀	சோகத்தை
悲哀	சோகம்
悲哀	வருத்தமளிக்கிறது
毯	போர்வை
駱駝	ஒட்டகம்
佛祖	புத்தரின்
佛祖	புத்தர்
折疊	மடி
折疊	சுருக்கு
博雅	போசா
住家	முகப்பு
住家	இல்ல
住家	வீடு
住家	வீடுகள்
住家	வீடுகளில்
院子	முற்றத்தில்
惡性	malignant
無用	பயனற்றது
膝蓋	முழங்கால்
膝蓋	முட்டி
遠足	உயர்வு
拖曳	இழு
拖曳	இழுக்கவும்
拖曳	இழுத்து
職銜	தலைப்புக்கள்
澱粉	ஸ்டார்ச்
阿姨	ஆன்ட்டி
阿姨	அத்தை
小狗	நாய்க்குட்டி
收穫	அறுவடை
收穫	அறுவடை
樂趣	வேடிக்கை
樂趣	வேடிக்கையானது
購置	கையகப்படுத்துதல்
體質	physique
幾十年	பத்தாண்டுகளாக
馬鞍	சேணம்
俾斯麥	பிஸ்மார்க்
爭端	மோதல்கள்
爭端	புகாரை
爭端	தகராறு
爭端	தர்க்கம்
筆記本	மடிக்கணினி
筆記本	லேப்டாப்
筆記本	நோட்புக்
蘭花	மந்தாரை
蘭花	ஆர்க்கிட்
章魚	ஆக்டோபஸ்
島民	தீவினர்
牙科	பல்
暴君	கொடுங்கோல்
苛刻	ஹர்ஷ்
洗禮	ஸ்நானம்
洗禮	ஞானஸ்நானம்
書目	நூலடைவு
午後	மதியம்
午後	மதிய
守護神	கார்டியன்
跌倒	வீழ்ச்சி
跌倒	விழும்
跌倒	விழுதல்
跌倒	விழுந்து
跌倒	ஃபால்
肚子	வயிறு
肚子	இரைப்பை
肚子	வயிற்று
肚子	வயிற்றில்
肚子	வயிறு
肚子	தொப்பை
重度	கடுமையான
反轉	reverse
增訂	புதுப்பிக்கவும்
各地區	மாவட்டங்கள்
強國	சக்திவாய்ந்த
賓士	மெர்சிடிஸ்
賓士	பென்ஸ்
納米	நானோ
蹲	ஸ்குவாட்
西裝	சாதிகள்
西裝	சூட்
朝聖	ஹஜ்
用餐	சாப்பாட்டு
螺絲	முறுக்கு
遺孀	விதவை
溫室	பைங்குடில்
禮服	tux
禮服	உடையில்
禮服	ஆடை
禮服	உடை
奇才	சூனியக்காரர்கள்
計量	metrology
計量	அளவியல்
計量	அளவீடு
計量	அளக்க
燒烤	கிரில்
貝魯特	பெய்ரூட்
備份	காப்பு
獨裁者	சர்வாதிகாரி
獨裁者	சர்வாதிகாரிகள்
勵志	ஊக்கமளிக்கும்
胸口	நெஞ்சு
胸口	மார்பு
咽喉	தொண்டை
乾淨	சுத்தமாக
乾淨	சுத்தமான
狂人	பைத்தியக்காரன்
銷毀	அழிவு
革命性	புரட்சிகரமான
革命性	புரட்சிகர
母體	அணி
母體	மேட்ரிக்ஸ்
假冒	போலி
假冒	பொய்யான
假冒	போலி
假冒	போலியான
社論	தலையங்கம்
皮毛	ஃபர்
龐德	இனைப்பு
蠔	சிப்பி
生物化學	உயிர்வேதியியல்
參贊	ஆலோசகர்
貼紙	ஸ்டிக்கர்
舒曼	சூமான்
搖擺	ஊஞ்சல்
搖擺	மூச்சில்
商事	வணிக
商事	வணிகம்
口琴	ஹார்மோனிகா
電視機	தொலைக்காட்சி
紙張	பேப்பர்
紙張	தாள்
紙張	காகிதம்
演進	பரிணாமம்
麵粉	மாவு
安曼	அம்மன்
加爾各答	கல்கத்தா
收割	அறுவடை
孤兒院	அனாதை
咖啡館	கஃபே
咖啡館	அருந்தகம்
咖啡館	கபே
堆疊	அடுக்கப்பட்ட
斥責	வன்மையாக
儀表	பூசிய
殘忍	கொடூரமான
窒息	அடைக்கிறது
音量	ஒலியளவு
塔台	டவர்
塔台	கோபுரம்
睡覺	தூக்கம்
睡覺	தூக்கத்தை
睡覺	உறக்கம்
睡覺	உறங்கும்
睡覺	உறங்க
睡覺	உறங்கும்
睡覺	தூங்கி
睡覺	தூங்கும்
獲救	மீட்கப்பட்ட
數位化	digitized
鬼魂	ஆவி
鬼魂	பேய்
奢侈品	சொகுசு
奢侈品	ஆடம்பர
奢侈品	ஆடம்பரம்
養育	பெற்றோர்
保姆	ஆயா
收音機	ரேடியோ
收音機	வானொலி
閃爍	மினுக்கும்
閃爍	இமை
閃爍	இமைக்கும்
張力	பதற்றம்
處女座	கன்னி
熔化	உருகிய
熔化	உருக்கி
學分	credits
樹枝	கிளைகள்
渡船	படகில்
流暢	சரளமாக
盎格魯	கோணங்கள்
救贖	சாபவிமோசனம்
板凳	பெஞ்ச்
祝賀	வாழ்த்துக்கள்
祝賀	வாழ்த்துகள்
祝賀	வாழ்த்துக்கள்
祝賀	வாழ்த்துகள்
裂變	fission
紅花	குங்குமப்பூ
紅花	காவி
迦南	கானான்
更替	turnover
糖業	சுகர்
糖業	சர்க்கரை
糖業	சீனி
宏觀	மேக்ரோ
柔軟	மென்மையான
柔軟	மென்மை
定價	விலை
分批	batch
墮胎	கருக்கலைப்பு
