nyikolajevics	نیکولاویچ
hivatalnok	کارمند
primer	ابتدایی
primer	اصلی
primer	اولیه
ikrek	جمینای
ikrek	دوقلوها
ikrek	دوقلو
összegyűlt	گردآوری
braunschweig	براونشوایگ
kitty	پیشی
gps	یاب
munkaerő	کارگری
munkaerő	کارگر
gombot	دکمه
fedezet	وثیقه
egyenlőség	مساوات
egyenlőség	تساوی
egyenlőség	برابری
illusztrált	مثلی
campo	کامپو
pius	پیوس
gyulladás	التهابی
gyulladás	التهاب
jelleg	سرشت
jelleg	طبیعت
marty	مارتی
macbeth	مکبث
elektronika	الکترونیک
henrietta	هنریتا
nebraska	نبراسکا
hammond	هموند
külföldiek	خارجه
külföldiek	خارجی
prédikátor	واعظ
szövet	بافت
szövet	بافتی
szövet	بافتهای
szövet	پارچه
szövet	پارچه
útvonalak	مسیرهای
útvonalak	مسیرها
sql	sql
csajkovszkij	چایکوفسکی
megkülönböztetés	تبعیض
megkülönböztetés	تمایز
kedvelte	دوست
kedvelte	پسندید
paradise	بهشت
függőlegesen	عمودی
függőlegesen	عمودی
megállt	ایستاد
kering	مدارهای
démonok	خبیث
démonok	اهریمن
démonok	شیاطین
aurora	آرورا
aurora	اورورا
lendületet	تکانه
gnu	گنو
gnu	gnu
másolat	تکراری
másolat	تکثیر
másolat	کپی
másolat	رونوشت
másolat	بدل
másolat	بدلی
botswana	بوتسوانا
tamara	تامارا
miroslav	میروسلاو
azték	آزتک
bradley	بردلی
ellenségei	دشمنان
cardiff	کاردیف
kerékpár	دوچرخه
kerékpár	دوچرخه
kerékpár	موتور
kerékpár	دوچرخه
ösztöndíjat	بورسیه
ösztöndíjat	یاران
ösztöndíjat	تحقیقی
ösztöndíjat	بورسیه
ragyogó	درخشیدن
ragyogó	درخشان
ragyogó	براق
ragyogó	درخشش
ragyogó	تابان
ragyogó	درخشان
ragyogó	درخشنده
ragyogó	درخشنده
ragyogó	تابشی
malmö	مالمو
rejlő	ذاتی
hátrafelé	عقبگرد
antenna	هوایی
antenna	انتن
antenna	آنتن
dacia	داچیا
megújuló	تجدیدپذیر
zamora	سامرا
lezárva	مهر
szarajevó	سارایوو
bölcsek	خردمند
bölcsek	حکیمی
bölcsek	حکیم
bölcsek	فرزانه
cink	فلز
cink	روی
andersen	اندرسن
kaszinó	کازینو
kaszinó	کازینوی
atatürk	آتاترک
cox	کاکس
bfc	bfc
gazdálkodó	کشاورز
liguria	لیگوریا
euro	یورو
magányosan	تنهایی
magányosan	تنها
magányosan	تنهای
rubens	روبنس
jaj	آخ
bertrand	برترند
bertrand	برتراند
dakar	داکار
washingtonban	واشینگتون
washingtonban	واشنگتون
washingtonban	واشینگتن
washingtonban	واشنگتن
whisky	ویسکی
whisky	ھم
whisky	اسکاچ
whisky	ویسکی
