न्यायाधीशों	நீதிபதிகள்
पाण्डव	பாண்டவர்கள்
ट्रेक	ட்ரெக்
जेफ	ஜெஃப்
मददगार	உதவியாளர்
मद	உருப்படிகள்
मद	பொருட்கள்
मद	பொருள்கள்
मद	உருப்படி
तेंदुलकर	டெண்டுல்கர்
मिशनरी	missionary
पिताजी	அப்பாவும்
पिताजी	அப்பா
पिताजी	அப்பா
सबवे	சுரங்கப்பாதை
वू	வூ
पुनर्जन्म	மறுபிறப்பு
पुनर्जन्म	மறுபிறவி
रनर	ரன்னர்
रनर	ஓட்டம்
जेसन	ஜேசன்
घेराबंदी	முற்றுகை
क्रोएशिया	குரோஷியா
अग्निहोत्री	அக்னிஹோத்ரி
आरा	ஆரா
कल्याणकारी	காரணங்கள்
कल्याणकारी	செய்கிறான்
सेटिंग	அமைப்பு
सेटिंग	அமைப்புகள்
सेटिंग	அமைப்புகளில்
नायनमार	நாயன்மார்
टीपू	திப்பு
नीरो	நீரோ
उस्मानी	ஓட்டோமான்
ग्लासगो	கிளாஸ்கோ
आंखें	கண்களும்
आंखें	கண்களின்
आंखें	கண்கள்
आंखें	கண்களால்
आंखें	கண்களை
परिसंचरण	சுற்றோட்டத்
ताश	கார்டுகள்
ताश	அட்டைகள்
प्रेषण	ஒலிபரப்பு
सारनाथ	சாரநாத்
एमिली	எமிலி
लिथियम	இலித்தியம்
पालक	கீரை
फैमिली	குடும்பத்தினர்
फैमिली	குடும்பம்
फैमिली	குடும்பத்தார்
बॉक्सिंग	குத்துச்சண்டை
हिरन	மான்
धारकों	holders
धारकों	வைத்திருப்பவர்கள்
चैपल	சிற்றாலயம்
होंडा	ஹோண்டா
ज्योतिषी	ஜோதிடர்
ज्योतिषी	யாகம்
अभिभावक	பெற்றோர்
अभिभावक	பெற்றோரும்
अभिभावक	பெற்றோர்கள்
अभिभावक	பெற்றோர்களே
अभिभावक	பெற்றோர்
फ्लैट	தட்டை
फ्लैट	தட்டையான
टेन	tan
टेन	பத்து
सुग्रीव	சுக்கிரீவன்
शील्ड	கவசம்
चीड़	சைன்
चीड़	பைன்
आइवी	ஐவி
तोड़कर	breaking
तोड़कर	உடைப்பு
हस्तशिल्प	கைத்தொழில்
चुंबक	காந்தம்
मॉन्ट्रियल	montreal
हेलो	ஹலோ
हेलो	வணக்கம்
हेलो	hello
हेलो	ஹல்லோ
कविताएं	கவிதைகள்
सुरेन्द्र	சுரேந்தர்
कोका	கோகோயின்
रॉड	கம்பியை
रॉड	ராட்
बुद्धिमत्ता	உளவுத்துறை
बुद्धिमत्ता	புலனாய்வு
बुद्धिमत्ता	நுண்ணறிவு
बुद्धिमत्ता	ஞானம்
बुद्धिमत्ता	ஞானத்தை
एसिटिक	அசிட்டிக்
चेचक	pox
नर्स	செவிலியர்கள்
नर्स	செவிலியர்
नर्स	நர்ஸ்
उठती	உதயசூரியன்
उठती	உதய
उठती	எழுகிறது
मुड़	முறுக்கி
ब्रोमाइड	புரோமைடு
हड़प्पा	அரப்பா
पकड़कर	ஏந்திய
जया	ஜெயா
जया	ஜயா
नार्वे	நோர்வே
नार्वे	நார்வே
धैर्य	பொறுமை
उत्पादकों	தயாரிப்பாளர்கள்
महत्वाकांक्षी	லட்சிய
त्रिनिदाद	டிரினிடாட்
मोहिनी	மோகினி
अश्विनी	அஸ்வினி
कोल्ड	குளிரில்
कोल्ड	சளி
कोल्ड	ஜலதோஷம்
कोल्ड	குளிர்
खड़गपुर	கரக்பூர்
नागालैण्ड	நாகாலாந்து
कै	காய்
बिजनौर	பிஜ்னோர்
प्रकार्य	செயல்பாடு
प्रकार्य	செயல்
शरणार्थी	அகதி
शरणार्थी	அகதிகள்
गुंजाइश	கருவி
धीमे	மெதுவானது
धीमे	மெதுவான
धीमे	மெதுவாக
धीमे	மெல்ல
धीमे	மெதுவாக
चरक	சரக
अवांछित	தேவையற்ற
समोआ	சமோவா
लोदी	லோடி
कीर्तन	கீர்த்தனை
अनमोल	விலைமதிப்பற்ற
अनमोल	பொன்னான
हरियाली	பசுமை
कैस्पियन	காசுப்பியன்
बिरला	பிர்லா
कक्षों	சேம்பர்ஸ்
स्पार्टा	எசுபார்த்தா
बीड	பீடு
रिमोट	ரிமோட்
रिमोट	தொலை
रिमोट	தொலைநிலை
रिमोट	புற
आत्माओं	ஆவி
आत्माओं	மதுபானங்கள்
प्रभारी	பொறுப்பாளர்
खुशबू	செண்ட்
खुशबू	சென்ட்
खुशबू	வாசனை
कस्बों	ஊர்கள்
त्रिशूल	திரிசூலம்
स्तनपान	தாய்ப்பால்
इनाम	பரிசு
जिन्दगी	வாழ்க்கை
जिन्दगी	உயிர்
जिन्दगी	ஆயுள்
गरमी	வெப்பம்
गरमी	வெப்பத்தை
गरमी	வெயிலின்
द्रोणाचार्य	துரோணர்
नोड	முடிச்சு
नोड	முடிச்சுகளை
जीरा	சீரகம்
पूर्वाग्रह	பாரபட்சம்
जैकेट	ஜாக்கெட்
अफवाह	வதந்திகள்
अफवाह	வதந்தி
प्रिंटिंग	அச்சிடுதல்
प्रिंटिंग	அச்சில்
टैबलेट	tablets
टैबलेट	டேப்லெட்
भीमसेन	பீம்சென்
चैरिटी	தொண்டு
देसी	தேசி
शिविरों	முகாம்கள்
तुला	துலாம்
न्यूकैसल	newcastle
केट	கேட்
पांचवां	ஐந்தாம்
पांचवां	ஐந்தாவது
प्रयोगकर्ता	பயன்படுத்துபவர்
प्रयोगकर्ता	பயனர்கள்
जन्मभूमि	ஜென்மபூமி
रोनाल्ड	ரொனால்ட்
भोजपुर	போஜ்பூர்
तस्करी	கடத்தல்
कटु	கசப்பான
कटु	கசப்பு
ब्रेकिंग	breaking
ब्रेकिंग	உடைப்பு
मोनिका	மோனிகா
राधाकृष्णन	radhakrishnan
राधाकृष्णन	இராதாகிருஷ்ணன்
राधाकृष्णन	ராதாகிருஷ்ணன்
ग्रेस	கருணை
ग्रेस	கிரேஸ்
ग्रेस	அருளும்
चोटों	காயங்கள்
मैजिक	மாய
मैजिक	சூனியம்
मैजिक	மாயம்
मैजिक	மேஜிக்
दिगम्बर	திகம்பரர்
भुट्टो	பூட்டோ
रॉकी	ராக்கி
चुम्बक	காந்தம்
रयान	ரியான்
एडिडास	அடிடாஸ்
फास्फोरस	பாஸ்பரஸ்
जामनगर	jamnagar
एथलेटिक	தடகள
ग़ुलाम	குலாம்
नेविगेशन	உலாவல்
शिश्न	ஆண்குறி
अधूरी	முடிவற்ற
अधूरी	முழுமையற்ற
मोतीलाल	மோதிலால்
फ़ौज	இராணுவம்
फ़ौज	army
फ़ौज	ராணுவம்
ओड़िया	ஒரியா
युआन	யுவான்
चतुर्थी	சதுர்த்தி
रोमांच	சுகமே
कारगिल	கார்கில்
सूख	வறண்டு
सूख	வறண்ட
सूख	உலர்
सूख	உலர்ந்த
सूख	காய்ந்த
दिग्गज	அரக்கர்கள்
इजाजत	அனுமதி
सगाई	நிச்சயதார்த்தம்
सगाई	ஈடுபாடு
सगाई	ஈடுபட்டுள்ள
सूद	சூத்
मोनोऑक्साइड	ஓராக்சைடு
अटलांटा	அட்லாண்டா
हलवा	அல்வா
सीताराम	சீத்தாராம்
मैडिसन	மேடிசன்
मृदु	கனிந்த
पैराशूट	பாராசூட்
अविवाहित	திருமணமாகாத
द्रोण	துரோணர்
खरगोश	முயல்கள்
खरगोश	முயல்
मेज़बान	சேவையகம்
मेज़बान	ஹோஸ்ட்
मेज़बान	புரவலன்
मेज़बान	புரவன்
मेज़बान	வழங்குநர்
नागालैंड	நாகாலாந்து
तकलीफ	துன்பத்தை
तकलीफ	அசௌகரியம்
तकलीफ	துன்பம்
मृतक	இறந்தவரின்
कैट	பூனையை
कैट	பூனை
वीरों	ஹீரோக்கள்
वीरों	நாயகர்கள்
लिफ्ट	உயர்த்தி
सिंथेटिक	செயற்கை
अन्वेषक	துப்பறிவாளர்
मूर्ख	முட்டாள்
मूर्ख	முட்டாள்கள்
मूर्ख	முட்டாள்தனமாக
मूर्ख	முட்டாள்
बीम	பீம்
गाव	கா
अविश्वसनीय	நம்பமுடியாத
शीन	ஷீன்
कर्षण	traction
इम्पीरियल	இம்பீரியல்
वहा	அங்கே
वहा	அங்கு
रेट	மதிப்பிடு
रेट	மதிப்பிடவும்
रेट	விகிதம்
रेट	வீதம்
राठौड़	ரத்தோர்
पर्वतारोही	மலையேறி
सत्रह	பதினேழு
सोया	சோயா
मक्खी	பறந்து
मक्खी	பறக்க
मदुरै	மதுரை
बड़ौदा	ஆராதனா
उद्यमों	enterprises
कॉन्सर्ट	இசைநிகழ்ச்சி
कॉन्सर्ट	கச்சேரி
कॉन्सर्ट	கச்சேரிகள்
छायांकन	நிழல்
छायांकन	சாயல்
छायांकन	புகைப்படக்கலை
छायांकन	புகைப்படம்
छायांकन	சேமிப்பு
छायांकन	சேமிக்கப்படுகிறது
छायांकन	சேமிக்கிறது
छायांकन	சேமிக்கும்
नंदी	நந்தி
वानिकी	காடுகள்
टेनेसी	டென்னிசி
जहाँगीर	ஜஹாங்கீர்
नजारा	காட்சியமைப்பு
मधुमक्खी	தேனீ
मधुमक्खी	பீ
टिप्पणियां	கருத்துகளில்
टिप्पणियां	கருத்துக்களில்
टिप्पणियां	கருத்துகள்
टिप्पणियां	கருத்துக்கள்
गुलामी	அடிமைத்தனம்
गोआ	கோவா
प्रलेखन	ஆவணங்கள்
घटी	குறைந்துள்ளது
घटी	குறை
पक्षपात	பாகுபாடு
इजरायल	இஸ்ரேல்
पकाया	சமைத்த
गेंदबाज़ी	பந்துவீச்சு
बस्तर	பஸ்தர்
आबू	அபு
आबू	அபூ
अनुरक्षण	எஸ்கார்ட்
मीठी	இனிமை
मीठी	இனிமையான
मीठी	இனிப்பு
मीठी	இனிமையாக
पुष्कर	புஷ்கர்
ब्रॉडवे	பிராட்வே
जिगर	கல்லீரல்
अंगोला	அங்கோலா
अंगोला	மங்கோலியா
एक्सटेंशन	விரிவாக்கம்
संस्थापकों	நிறுவனர்கள்
गोथिक	கோதிக்
ऐंठन	தசைப்பிடிப்பு
शिरोमणि	சிரோன்மணி
केसर	குங்குமப்பூ
केसर	காவி
गुरुद्वारा	குருத்வாரா
दस्ते	ஸ்குவாட்
आयोडीन	அயோடின்
परावर्तन	பிரதிபலிக்கும்
परावर्तन	பிரதிபலிப்பு
छानबीन	விசாரணை
नीतियां	கொள்கைகள்
तेरहवीं	பதிமூன்றாம்
लेस	லெஸ்
विन्स	வெற்றி
विन्स	வெற்றிகள்
रणबीर	ரன்பீர்
मॉरिस	மொரிஷியஸ்
मॉरिस	மொரிசியசு
मॉरिस	மோரிஸ்
सिरसा	சிர்சா
सीन	காட்சி
रंगोली	கோலம்
रंगोली	கோலங்கள்
ईशा	ஈஷா
ईशा	ஈஷா
ईशा	இஷா
दिव्या	திவ்யா
कैफे	காஃபின்
नींबू	எலுமிச்சை
नींबू	எலுமிச்சம்
सदाशिव	சதாசிவ
हडसन	ஹட்சன்
धावक	ரன்னர்
धावक	ஓட்டம்
मार्क्सवाद	மார்க்சியம்
लद्दाख	லடாக்
बर्न	bern
बर्न	பழுப்பு
बर्न	எழுது
नेहा	நேஹா
शाहिद	ஷாஹித்
अनुशंसा	பரிந்துரை
अनुशंसा	பரிந்துரைக்கவும்
अनुशंसा	பரிந்துரையை
अनुशंसा	பரிந்துரை
जोखिमों	hazards
डिक	டிக்
निरर्थक	திருப்பப்பட்டது
अमान्य	தவறானது
अमान्य	செல்லாத
झगड़े	சண்டைகள்
होड़	ரஷ்
होड़	அவசரத்தில்
होड़	போட்டியிடும்
बाल्टिक	பால்டிக்
केतु	கேது
देयता	பொறுப்பு
पोते	பேரன்கள்
गोखले	கோகலே
अमेज़न	amazon
अमेज़न	அமேசான்
एसएमएस	sms
वैंकूवर	வான்கூவர்
खेलकूद	விளையாட்டுகள்
खेलकूद	விளையாட்டு
खेलकूद	விளையாட்டுக்கள்
त्रिवेंद्रम	திருவனந்தபுரம்
प्यास	தாகம்
प्यास	தாகம்
देशपांडे	தேஷ்பாண்டே
मार्टिना	மார்டினா
अत्याधुनिक	கணிப்புகள்
काराकोरम	காரகோரம்
पीटर्सबर्ग	petersburg
महाजन	மகாஜன்
खलीफा	கலீபா
कीथ	கீத்
एडमंड	எட்மன்ட்
प्रकाशिकी	ஒளியியல்
छुट्टियों	விடுமுறை
छुट्टियों	விடுமுறைகள்
विमल	விமல்
किंडरगार्टन	மழலையர்
खेड़ा	கேடா
जबतक	அதுவரை
जबतक	வரை
जबतक	வரையில்
डिप्टी	துணை
डेटिंग	டேட்டிங்
कमरा	அறை
कमरा	அறையை
कमरा	ரூம்
माइनर	சிறு
माइनर	மைனர்
गड्ढे	குழி
कपडे	ஆடைகள்
कपडे	ஆடை
कपडे	ஆடைகள்
कपडे	உடைகள்
कपडे	துணிகளை
कपडे	உடைகளை
कपडे	ஆடைகளை
सोयाबीन	சோயாபீன்ஸ்
एनबीए	nbc
एनबीए	nba
चर्चिल	சர்ச்சில்
खजाना	புதையல்
खजाना	பொக்கிஷம்
आइंस्टीन	ஐன்ஸ்டீன்
गिब्सन	கிப்சன்
सुझाया	பரிந்துரைக்கப்பட்டவை
सुझाया	பரிந்துரைக்கப்பட்ட
सुझाया	பரிந்துரைக்கப்பட்டது
निर्वासन	நாட்டை
नोटिस	அறிவிப்பு
नोटिस	கவனிக்க
महोदय	ஐயா
महोदय	சார்
महोदय	அய்யா
महोदय	சர்
सीनेटर	செனட்டர்
आईपीएल	ஐபிஎல்
आईपीएल	ipl
उदारता	பெருந்தன்மை
स्पिरिट	மதுபானங்கள்
स्पिरिट	ஆவி
बारबरा	பார்பரா
एटीएम	ஏடிஎம்
एटीएम	atm
कन्याकुमारी	கன்னியாகுமரி
धर्मेन्द्र	தர்மேந்திரா
ड्राइंग	வரைதல்
चुप	அமைதியாக
चुप	அமைதி
दिवालिया	திவால்
बाल्यकाल	சிறுவயது
ज़िम्मेदारी	பொறுப்பு
सावन	பருவமழை
यूनानियों	கிரேக்கர்கள்
यूनानियों	கிரீஸ்
वाचक	பேசுபவர்கள்
