अमोनिया	аміак
जैकेट	куртку
जैकेट	куртка
जैकेट	піджак
आयतें	вірші
आयतें	заповідей
अफवाह	чутки
अफवाह	чутки
उत्सुक	цікаво
प्रिंटिंग	друку
प्रिंटिंग	друк
टैबलेट	планшетів
टैबलेट	таблички
टैबलेट	таблеток
टैबलेट	таблички
टैबलेट	планшет
चैरिटी	благодійна
चैरिटी	благодійний
चैरिटी	благодійність
देसी	десі
शिविरों	табори
शिविरों	кам
तुला	терези
टैंगो	танго
न्यूकैसल	ньюкасл
केट	kate
केट	кейт
प्रयोगकर्ता	користувачі
प्रयोगकर्ता	користувачів
रोनाल्ड	рональд
तस्करी	торгівля
तस्करी	обігом
कटु	гіркі
कटु	гіркий
कटु	гірко
ब्रेकिंग	порушення
मोनिका	моніка
मोनिका	monika
मोनिका	моніка
ग्रेस	благодать
ग्रेस	милість
मैजिक	чарівна
मैजिक	магія
मैजिक	magic
भुट्टो	бхутто
रॉकी	рокі
चुम्बक	магніт
रयान	раян
जुताई	оранка
एडिडास	adidas
फास्फोरस	фосфор
नेविगेशन	навігація
नेविगेशन	навігації
शिश्न	пеніс
अधूरी	неповна
अधूरी	незавершений
अधूरी	неповним
फ़ौज	армії
फ़ौज	армія
फ़ौज	військо
फ़ौज	армійський
पागलपन	божевілля
ओड़िया	орія
युआन	юань
बर्बर	варварство
सूख	сухий
सूख	суха
सूख	сухо
सूख	сухе
सूख	сухі
दिग्गज	гіганти
दिग्गज	ветеран
इजाजत	дозволу
इजाजत	дозвіл
सगाई	заручини
सगाई	взаємодія
सगाई	заручена
सगाई	вивели
अन्तराल	інтервал
अन्तराल	проміжки
कोस	відзначення
अटलांटा	атланти
मैडिसन	медісон
पैराशूट	парашут
खरगोश	кролики
खरगोश	кролик
खरगोश	кріль
खरगोश	кролі
मेज़बान	вузол
मेज़बान	ведуча
तकलीफ	страждання
तकलीफ	біді
तकलीफ	лиха
तकलीफ	дискомфорт
मृतक	померлих
कैट	кіт
कैट	кішка
वीरों	heroes
वीरों	герої
वीरों	героїв
लिफ्ट	підняти
लिफ्ट	ліфт
लिफ्ट	підібрали
लिफ्ट	ліфті
लिफ्ट	ліфт
सिंथेटिक	synthetic
समझौतों	угод
बैरल	бочку
बैरल	бочка
खुजली	свербіж
अन्वेषक	дослідник
मूर्ख	дурень
मूर्ख	тупо
मूर्ख	дурна
मूर्ख	дурне
मूर्ख	дурний
बीम	промінь
कोडिंग	програмування
कोडिंग	кодування
अविश्वसनीय	неймовірно
अविश्वसनीय	неймовірна
शीन	шин
कर्षण	тяга
इम्पीरियल	імператорський
इम्पीरियल	імперський
इम्पीरियल	imperial
वहा	туди
वहा	там
घोषणापत्र	маніфест
रेट	оцінити
रेट	частота
रेट	швидкість
रेट	оцініть
रेट	ставка
सत्रह	сімнадцять
सोया	сої
मक्खी	fly
मक्खी	літати
मक्खी	муха
मक्खी	лети
उद्यमों	підприємств
उद्यमों	підприємства
कॉन्सर्ट	концерт
कॉन्सर्ट	концерти
छायांकन	затінення
छायांकन	згортання
छायांकन	тіні
छायांकन	фотографія
छायांकन	зберігається
छायांकन	заощадження
छायांकन	збереження
कॉर्नेल	корнелл
नंदी	нанді
टेनेसी	теннессі
उक्ति	dictum
नजारा	краєвид
मधुमक्खी	бджола
मधुमक्खी	бджоли
टिप्पणियां	коментарях
टिप्पणियां	коментарів
टिप्पणियां	коментарі
गुलामी	рабство
सरलीकृत	спрощена
गोआ	гоа
प्रलेखन	документація
संकेतन	нотація
घटी	зменшити
पक्षपात	дискримінації
पक्षपात	дискримінація
इजरायल	ізраїлі
इजरायल	ізраїлю
इजरायल	ізраїль
पकाया	приготував
पकाया	приготували
पकाया	готувала
गेंदबाज़ी	боулінг
आबू	абу
अनुरक्षण	супроводу
डीलर	творами
डीलर	дилер
डीलर	шахраїв
मीठी	солодка
मीठी	солодкі
मीठी	солодкий
पुष्कर	пушкар
ब्रॉडवे	бродвей
जिगर	печінка
जिगर	печінки
अंगोला	анголи
अंगोला	монголії
एक्सटेंशन	суфікси
एक्सटेंशन	додатки
एक्सटेंशन	розширення
एक्सटेंशन	суфікс
एक्सटेंशन	розширення
संस्थापकों	засновники
संस्थापकों	засновників
ऐंठन	спазми
बहुपद	многочлен
मुरैना	морена
दस्ते	відділення
दस्ते	загін
आयोडीन	йод
परावर्तन	відбити
परावर्तन	відбиття
छानबीन	розслідування
छानबीन	розслідувати
छानबीन	слідство
छानबीन	дослідження
छानबीन	подібній
कामुक	чуттєвий
नीतियां	політично
नीतियां	політики
नीतियां	правила
तेरहवीं	тринадцята
लेस	лез
लेस	ле
लेस	лес
लेस	лесь
विन्स	перемог
विन्स	посіла
विन्स	виграє
मॉरिस	маврикію
मॉरिस	морріс
त्रासदी	трагедія
सीन	сцени
सीन	сцена
कैफे	кофеїн
नींबू	лимон
नींबू	лимони
ओपल	опал
गिग्स	гіга
हडसन	хадсон
धावक	runner
धावक	біг
धावक	бігунів
मार्क्सवाद	марксизм
बर्न	берн
बर्न	спалити
बर्न	записати
बर्न	burn
निष्पादित	виконання
इंडेक्स	index
इंडेक्स	покажчик
इंडेक्स	індекс
तेंदुआ	барс
अनुशंसा	порадити
अनुशंसा	рекомендувати
अनुशंसा	рекомендує
अनुशंसा	рекомендацію
जोखिमों	hazards
डिक	дік
निरर्थक	марними
निरर्थक	нульовий
निरर्थक	фіктивних
अमान्य	некоректний
अमान्य	некоректна
अमान्य	неправильний
झगड़े	поєдинки
झगड़े	бої
झगड़े	образи
होड़	кайф
होड़	конкуруючих
घिरी	оточують
घिरी	оточили
कतार	черги
कतार	чергу
कतार	черга
कतार	поставити
बाल्टिक	балтійське
केतु	кету
देयता	відповідальність
शकीरा	шакіра
अमेज़न	amazon
अमेज़न	амазон
एसएमएस	sms
एसएमएस	смс
वैंकूवर	ванкувер
खेलकूद	спорт
खेलकूद	спортивні
खेलकूद	спорту
प्यास	пити
प्यास	спрага
मार्टिना	мартіна
दृष्टांत	випадки
दृष्टांत	екземплярів
काराकोरम	каракорум
पीटर्सबर्ग	петербург
पीलिया	новонароджених
खलीफा	халіф
खलीफा	халіфа
एडमंड	едмунд
प्रकाशिकी	оптика
छुट्टियों	свята
जबतक	доки
जबतक	до
जबतक	поки
डिप्टी	депутат
डिप्टी	заступник
डेटिंग	побачення
डेटिंग	побачень
डेटिंग	знайомств
कमरा	кімната
कमरा	кімнату
माइनर	мінор
माइनर	незначна
माइनर	молодший
माइनर	незначний
माइनर	молодші
गड्ढे	глибині
गड्ढे	ямі
कपडे	одяг
कपडे	одяг
सोयाबीन	соя
एनबीए	викладала
एनबीए	нба
असत्य	unreal
खजाना	скарб
आइंस्टीन	ейнштейн
गिब्सन	гібсон
सुझाया	рекомендації
सुझाया	запропоновані
सुझाया	рекомендовані
निर्वासन	вигнання
नोटिस	помічав
नोटिस	помічати
नोटिस	зауваження
नोटिस	помітити
रू	роо
महोदय	сер
महोदय	пане
सीनेटर	сенатор
सुरक्षात्मक	захисту
दलाल	брокер
उदारता	щедрість
स्पिरिट	духи
स्पिरिट	духів
स्पिरिट	колорит
स्पिरिट	дух
स्पिरिट	spirit
पार्कर	паркер
मेलों	ярмарки
बारबरा	барбара
प्रवचन	дискурс
प्रायोजन	спонсором
ड्राइंग	креслення
ड्राइंग	малюнок
ड्राइंग	малювання
चुप	тиха
चुप	мовчазна
दिवालिया	банкрутства
दिवालिया	керуючий
बाल्यकाल	дитинство
बाल्यकाल	дитинства
द्रुत	швидкого
ज़िम्मेदारी	відповідальність
सावन	мусон
छोड़ो	вихід
छोड़ो	вийти
स्क्वाड्रन	ескадрильї
यूनानियों	греки
यूनानियों	греції
यूनानियों	греція
वाचक	диктора
वाचक	диктор
प्रिंसटन	princeton
सौम्य	ніжний
मालदीव	мальдіви
डिस्कवरी	відкриття
डिस्कवरी	знахідка
पर्यवेक्षक	наглядачі
सत्यापित	перевірено
सत्यापित	сертифікований
सत्यापित	перевірити
सत्यापित	підтвердити
बाइक	велосипеди
बाइक	байки
बाइक	велосипед
बाइक	велосипедом
