பாஸ்பரஸ்	fosfor
கொடுமைகள்	zločine
அனுபவிக்க	uživaju
அனுபவிக்க	uživati
ஐரிஸ்	iris
எர்னஸ்ட்	ernest
மாசச்சூசெட்ஸ்	massachusetts
டர்பன்	durban
ஆன்லைனில்	online
பருவகால	sezonski
பருவகால	sezonske
எதிரொலி	jeka
நைரோபி	nairobi
உயிர்களை	živi
உயிர்களை	živote
மையங்களை	centara
மையங்களை	centri
மையங்களை	centrima
மோனிகா	monica
மோனிகா	monika
நோரிஸ்	norris
பவளம்	koralno
பவளம்	korala
பவளம்	koralni
தைமூர்	timur
டேனி	deni
டேனி	danny
சமந்தா	samantha
நிரப்பப்பட்ட	ispunio
சல்பர்	sumpor
அவதாரங்கள்	porijekla
அவதாரங்கள்	porijeklo
மினார்	munara
ஊக்குவிக்கிறது	promovira
கலீபகம்	hilafet
ஆற்றல்கள்	motora
ஆற்றல்கள்	motori
நைட்டிங்கேல்	nightingale
பங்க்	pank
சௌத்	saud
பெரி	peri
சம்மேளனம்	ccc
திசைகள்	pravci
திசைகள்	pravcima
திசைகள்	pravaca
காவலன்	catarina
கொதி	ključanja
பிரித்தெடுத்து	unplugged
அரக்கர்கள்	džinova
ஷெல்லி	shelley
குடியேறியவர்கள்	iseljenici
அருகாமை	obližnje
மதிப்பிடப்பட்ட	ocijenjeno
மதிப்பிடப்பட்ட	ocijenio
இன்ச்	pedalj
புறப்பாடு	odlazak
எதிர்பார்க்கலாம்	očekuju
எதிர்பார்க்கலாம்	očekivati
அனிஸ்டன்	aniston
திரைகள்	posmatrači
திரைகள்	posmatrača
சந்தைப்படுத்துதல்	marketing
சாப்	sap
பைட்டுகள்	bajtova
கூண்டு	cage
கூண்டு	tepiha
ஆமென்	amin
குடிப்பழக்கம்	alkoholizam
பைரன்	byron
விழித்திரை	mrežnjača
ஒட்டும்	sticky
அறிவுரைகள்	savjet
அறிவுரைகள்	uputstvu
அறிவுரைகள்	uputstva
அறிவுரைகள்	upute
அறிவுரைகள்	instrukcije
எங்களது	naše
எங்களது	naša
எங்களது	naš
தோழர்கள்	tipovi
தோழர்கள்	drugova
தோழர்கள்	drugovi
பிரிஸ்பேன்	brisbane
வாலை	rep
கணிப்புகள்	predviđanja
கணிப்புகள்	proročanstva
உற்சாகம்	uzbuđenje
பிரம்மபுத்திரா	brahmaputra
காலணிகள்	shoes
அழுத்தமான	gusta
தனியாள்	single
டெர்மினேட்டர்	terminator
இயேசுவே	isus
இரவீந்திரநாத்	rabindranath
வரவும்	dođu
வரவும்	dolaze
வரவும்	dolazi
வரவும்	doći
நேரலை	live
தவறானது	nevažeće
தவறானது	nevažeći
கலிஸ்டஸ்	kalist
தூவி	dewey
மெக்கா	mekka
கிப்சன்	gibson
வயர்	žica
மர்மம்	misterija
கண்களின்	eyes
கண்களின்	očima
கண்களின்	oči
கருத்தரங்குகள்	seminara
மீத்தைல்	metil
நெவாடா	nevada
பியர்ஸ்	pierce
மேல்முறையீடு	žalbi
ஹீ	hee
மக்காச்சோளம்	kukuruz
முன்னிருந்த	default
முன்னிருந்த	uobičajeni
முன்னிருந்த	uobičajena
நிக்கராகுவா	nikaragve
பெர்முடா	bermudi
ஃபை	phi
தும்	tum
எதிர்பார்க்க	očekuju
எதிர்பார்க்க	očekivati
பாவங்கள்	grijeha
பாவங்கள்	grijesi
பாவங்கள்	grijehe
ராஜூ	raju
அழைப்புகள்	poziva
அழைப்புகள்	poziva
அழைப்புகள்	pozive
கணக்கீடுகள்	procjenama
கணக்கீடுகள்	procjene
கணக்கீடுகள்	proračunima
டெஸ்	des
டெஸ்	tes
தலையங்கம்	naslovi
உறுதிப்படுத்துகிறது	potvrđuje
உறுதிப்படுத்துகிறது	potvrđujući
மீயுரை	hipertekst
பெல்ட்	pojas
டெஸ்க்டாப்	desktop
ப்ளூஸ்	blues
அச்சுக்கலை	tipografija
முனைவோர்	edp
